landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A10001,1.0471,20.25,7.9662,7.9796,23.6455,1.8341,3.7587,2.7,4.95,20.7104,113.4,1.9578,0,7.5,8.8594,1.9578,0,8.8594,1.9578,0,7.5,8.8594,6.3730,6.3837,18.9164,1.4673,3.0070,3.96
A10003,1.1169,20.25,7.4533,7.4669,16.1740,1.5750,3.3686,2.7,4.95,18.5611,113.4,3.8819,0,7.5,8.8594,3.8819,0,8.8594,3.8819,0,7.5,8.8594,5.9626,5.9735,12.9392,1.2600,2.6949,3.96
A10005,1.1940,20.25,12.5317,12.5424,25.9636,2.3076,4.4719,2.7,4.95,24.6404,113.4,3.1555,0,7.5,8.8594,3.1555,0,8.8594,3.1555,0,7.5,8.8594,10.0253,10.0339,20.7709,1.8461,3.5776,3.96
A11001,1.2837,20.25,7.7087,7.7042,12.5586,1.6961,1.5551,2.7,4.95,8.5686,113.4,1.9235,0,7.5,8.8594,1.9235,0,8.8594,1.9235,0,7.5,8.8594,6.1669,6.1634,10.0468,1.3569,1.2441,3.96
A24001,0.7796,20.25,11.2050,11.2164,14.6059,2.5963,1.9081,2.7,4.95,10.5138,113.4,1.7790,0,7.5,8.8594,1.7790,0,8.8594,1.7790,0,7.5,8.8594,8.9640,8.9732,11.6847,2.0770,1.5265,3.96
A24003,1.1674,20.25,7.7198,7.7333,15.9859,1.9525,2.4151,2.7,4.95,13.3072,113.4,3.6695,0,7.5,8.8594,3.6695,0,8.8594,3.6695,0,7.5,8.8594,6.1758,6.1866,12.7887,1.5620,1.9321,3.96
A24005,1.1498,20.25,8.5788,8.5918,16.7455,1.8724,2.9307,2.7,4.95,16.1483,113.4,2.4660,0,7.5,8.8594,2.4660,0,8.8594,2.4660,0,7.5,8.8594,6.8630,6.8734,13.3964,1.4979,2.3446,3.96
A24009,0.9987,20.25,8.2177,8.2309,15.3264,1.9448,2.0256,2.7,4.95,11.1610,113.4,2.2584,0,7.5,8.8594,2.2584,0,8.8594,2.2584,0,7.5,8.8594,6.5742,6.5847,12.2612,1.5558,1.6205,3.96
A24011,1.1599,20.25,10.2386,10.2506,17.7335,1.9624,3.4389,2.7,4.95,18.9482,113.4,3.7321,0,7.5,8.8594,3.7321,0,8.8594,3.7321,0,7.5,8.8594,8.1909,8.2005,14.1868,1.5699,2.7511,3.96
A24013,1.1018,20.25,9.1125,9.1252,25.2035,1.8570,3.2289,2.7,4.95,17.7913,113.4,2.3672,0,7.5,8.8594,2.3672,0,8.8594,2.3672,0,7.5,8.8594,7.2900,7.3002,20.1628,1.4856,2.5831,3.96
