landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A10001,0.0588,0.6103,1.8567,1.8925,2.4071,0.8790,1.1816,0.3639,0.6354,14.3454,80.0680,0.2318,1.7589,6.1390,3.2717,0.2318,1.7589,3.2717,0.2318,1.7589,6.1390,3.2717,1.6710,1.7032,2.1664,0.7911,1.0634,0.3275
A10003,0.0588,0.6103,1.6536,1.6856,2.5455,0.6377,1.0492,0.3639,0.6354,12.7384,80.0680,0.5605,1.8571,6.1390,3.2717,0.5605,1.8571,3.2717,0.5605,1.8571,6.1390,3.2717,1.4882,1.5171,2.2910,0.5740,0.9443,0.3275
A10005,0.0588,0.6103,3.1458,3.2053,2.5405,1.3736,1.5322,0.3639,0.6354,18.6021,80.0680,0.3259,1.8293,6.1390,3.2717,0.3259,1.8293,3.2717,0.3259,1.8293,6.1390,3.2717,2.8312,2.8848,2.2865,1.2362,1.3790,0.3275
A11001,0.0588,0.6103,1.6168,1.6465,2.3050,0.7608,0.5147,0.3639,0.6354,6.2492,80.0680,0.2351,1.6889,6.1390,3.2717,0.2351,1.6889,3.2717,0.2351,1.6889,6.1390,3.2717,1.4552,1.4818,2.0745,0.6848,0.4633,0.3275
A24001,0.0588,0.6103,1.5773,1.6080,2.1719,0.5567,0.5583,0.3639,0.6354,6.7786,80.0680,0.3971,1.5505,6.1390,3.2717,0.3971,1.5505,3.2717,0.3971,1.5505,6.1390,3.2717,1.4196,1.4472,1.9547,0.5010,0.5025,0.3275
A24003,0.0588,0.6103,1.6108,1.6421,2.6445,0.8007,0.7701,0.3639,0.6354,9.3499,80.0680,0.5221,1.7945,6.1390,3.2717,0.5221,1.7945,3.2717,0.5221,1.7945,6.1390,3.2717,1.4497,1.4779,2.3800,0.7207,0.6931,0.3275
A24005,0.0588,0.6103,1.5853,1.6162,2.5025,0.6604,0.9159,0.3639,0.6354,11.1200,80.0680,0.2409,1.7542,6.1390,3.2717,0.2409,1.7542,3.2717,0.2409,1.7542,6.1390,3.2717,1.4268,1.4546,2.2522,0.5944,0.8243,0.3275
A24009,0.0588,0.6103,1.5129,1.5424,2.6492,0.7268,0.6211,0.3639,0.6354,7.5407,80.0680,0.3103,1.7931,6.1390,3.2717,0.3103,1.7931,3.2717,0.3103,1.7931,6.1390,3.2717,1.3616,1.3882,2.3843,0.6541,0.5590,0.3275
A24011,0.0588,0.6103,2.3748,2.4201,2.5812,1.0968,1.1546,0.3639,0.6354,14.0178,80.0680,0.5748,1.8387,6.1390,3.2717,0.5748,1.8387,3.2717,0.5748,1.8387,6.1390,3.2717,2.1373,2.1781,2.3231,0.9871,1.0391,0.3275
A24013,0.0588,0.6103,1.6091,1.6404,2.3898,0.6506,0.9940,0.3639,0.6354,12.0684,80.0680,0.3342,1.7190,6.1390,3.2717,0.3342,1.7190,3.2717,0.3342,1.7190,6.1390,3.2717,1.4482,1.4763,2.1508,0.5856,0.8946,0.3275
A24015,0.0588,0.6103,1.6651,1.6974,2.4638,0.8651,0.9528,0.3639,0.6354,11.5677,80.0680,0.3000,1.7967,6.1390,3.2717,0.3000,1.7967,3.2717,0.3000,1.7967,6.1390,3.2717,1.4986,1.5277,2.2174,0.7786,0.8575,0.3275
A24017,0.0588,0.6103,1.5184,1.5480,2.3539,0.7155,0.6746,0.3639,0.6354,8.1905,80.0680,0.4272,1.6852,6.1390,3.2717,0.4272,1.6852,3.2717,0.4272,1.6852,6.1390,3.2717,1.3665,1.3932,2.1185,0.6440,0.6072,0.3275
A24019,0.0588,0.6103,1.8441,1.8797,2.2630,0.8473,0.7212,0.3639,0.6354,8.7563,80.0680,0.6215,1.8342,6.1390,3.2717,0.6215,1.8342,3.2717,0.6215,1.8342,6.1390,3.2717,1.6597,1.6917,2.0367,0.7626,0.6491,0.3275
A24021,0.0588,0.6103,1.5842,1.6150,2.4294,0.5789,1.0982,0.3639,0.6354,13.3325,80.0680,0.3151,1.6475,6.1390,3.2717,0.3151,1.6475,3.2717,0.3151,1.6475,6.1390,3.2717,1.4258,1.4535,2.1864,0.5210,0.9883,0.3275
A24023,0.0588,0.6103,1.5671,1.5976,2.3600,0.6352,0.7230,0.3639,0.6354,8.7781,80.0680,0.7095,2.0145,6.1390,3.2717,0.7095,2.0145,3.2717,0.7095,2.0145,6.1390,3.2717,1.4104,1.4378,2.1240,0.5717,0.6507,0.3275
A24025,0.0588,0.6103,1.5364,1.5664,2.4281,0.6123,0.9317,0.3639,0.6354,11.3112,80.0680,0.3514,1.8453,6.1390,3.2717,0.3514,1.8453,3.2717,0.3514,1.8453,6.1390,3.2717,1.3828,1.4097,2.1853,0.5511,0.8385,0.3275
A24027,0.0588,0.6103,1.5762,1.6069,2.3225,0.7143,0.8981,0.3639,0.6354,10.9032,80.0680,0.2891,1.7344,6.1390,3.2717,0.2891,1.7344,3.2717,0.2891,1.7344,6.1390,3.2717,1.4186,1.4462,2.0903,0.6429,0.8082,0.3275
A24029,0.0588,0.6103,1.6919,1.7247,2.3227,0.7864,0.8335,0.3639,0.6354,10.1195,80.0680,0.5148,1.8281,6.1390,3.2717,0.5148,1.8281,3.2717,0.5148,1.8281,6.1390,3.2717,1.5227,1.5522,2.0904,0.7078,0.7502,0.3275
A24031,0.0588,0.6103,1.5701,1.6007,2.5131,0.6469,0.9231,0.3639,0.6354,11.2074,80.0680,0.2228,1.6426,6.1390,3.2717,0.2228,1.6426,3.2717,0.2228,1.6426,6.1390,3.2717,1.4131,1.4406,2.2618,0.5823,0.8308,0.3275
A24033,0.0588,0.6103,1.6198,1.6513,2.4493,0.8550,0.7963,0.3639,0.6354,9.6684,80.0680,0.2560,1.6732,6.1390,3.2717,0.2560,1.6732,3.2717,0.2560,1.6732,6.1390,3.2717,1.4578,1.4862,2.2044,0.7695,0.7167,0.3275
A24035,0.0588,0.6103,1.6403,1.6722,2.3950,0.7370,0.8967,0.3639,0.6354,10.8873,80.0680,0.3446,1.7992,6.1390,3.2717,0.3446,1.7992,3.2717,0.3446,1.7992,6.1390,3.2717,1.4763,1.5049,2.1555,0.6633,0.8071,0.3275
A24037,0.0588,0.6103,1.5201,1.5497,2.2503,0.7120,0.7299,0.3639,0.6354,8.8613,80.0680,0.3691,1.7339,6.1390,3.2717,0.3691,1.7339,3.2717,0.3691,1.7339,6.1390,3.2717,1.3681,1.3948,2.0253,0.6408,0.6569,0.3275
A24039,0.0588,0.6103,4.6246,4.7111,2.3944,1.9867,1.5692,0.3639,0.6354,19.0511,80.0680,0.6641,1.9044,6.1390,3.2717,0.6641,1.9044,3.2717,0.6641,1.9044,6.1390,3.2717,4.1621,4.2400,2.1550,1.7880,1.4122,0.3275
A24041,0.0588,0.6103,1.6001,1.6312,2.1870,0.7535,0.8220,0.3639,0.6354,9.9794,80.0680,0.5849,1.8439,6.1390,3.2717,0.5849,1.8439,3.2717,0.5849,1.8439,6.1390,3.2717,1.4401,1.4681,1.9683,0.6782,0.7398,0.3275
A24043,0.0588,0.6103,1.5654,1.5959,2.3954,0.7644,0.9269,0.3639,0.6354,11.2530,80.0680,0.1444,1.5747,6.1390,3.2717,0.1444,1.5747,3.2717,0.1444,1.5747,6.1390,3.2717,1.4089,1.4363,2.1559,0.6879,0.8342,0.3275
A24045,0.0588,0.6103,5.4970,5.5996,2.5167,2.0980,1.9929,0.3639,0.6354,24.1962,80.0680,0.4565,1.8549,6.1390,3.2717,0.4565,1.8549,3.2717,0.4565,1.8549,6.1390,3.2717,4.9473,5.0396,2.2651,1.8882,1.7937,0.3275
A24047,0.0588,0.6103,2.8851,2.9398,2.2993,1.3831,1.0886,0.3639,0.6354,13.2170,80.0680,0.4612,1.8387,6.1390,3.2717,0.4612,1.8387,3.2717,0.4612,1.8387,6.1390,3.2717,2.5966,2.6458,2.0694,1.2448,0.9798,0.3275
A24510,0.0588,0.6103,1.7404,1.7723,2.7480,0.7841,0.5250,0.3639,0.6354,6.3738,80.0680,0.4273,1.8101,6.1390,3.2717,0.4273,1.8101,3.2717,0.4273,1.8101,6.1390,3.2717,1.5663,1.5951,2.4732,0.7057,0.4725,0.3275
A36003,0.0588,0.6103,1.5616,1.5920,2.2273,0.6573,0.5778,0.3639,0.6354,7.0153,80.0680,0.4961,1.5566,6.1390,3.2717,0.4961,1.5566,3.2717,0.4961,1.5566,6.1390,3.2717,1.4054,1.4328,2.0046,0.5915,0.5200,0.3275
A36007,0.0588,0.6103,1.5592,1.5895,2.2805,0.7153,0.5612,0.3639,0.6354,6.8132,80.0680,0.5159,1.6540,6.1390,3.2717,0.5159,1.6540,3.2717,0.5159,1.6540,6.1390,3.2717,1.4033,1.4306,2.0524,0.6437,0.5051,0.3275
A36015,0.0588,0.6103,1.4777,1.5026,2.1678,0.7050,0.5358,0.3639,0.6354,6.5057,80.0680,0.4393,1.4972,6.1390,3.2717,0.4393,1.4972,3.2717,0.4393,1.4972,6.1390,3.2717,1.3299,1.3524,1.9510,0.6345,0.4823,0.3275
A36017,0.0588,0.6103,1.6447,1.6767,2.2145,0.7591,0.5613,0.3639,0.6354,6.8143,80.0680,0.5933,1.8066,6.1390,3.2717,0.5933,1.8066,3.2717,0.5933,1.8066,6.1390,3.2717,1.4803,1.5090,1.9931,0.6832,0.5051,0.3275
A36023,0.0588,0.6103,1.6950,1.7279,2.2456,0.8102,0.5828,0.3639,0.6354,7.0756,80.0680,0.5456,1.8137,6.1390,3.2717,0.5456,1.8137,3.2717,0.5456,1.8137,6.1390,3.2717,1.5255,1.5551,2.0211,0.7292,0.5245,0.3275
A36025,0.0588,0.6103,1.5589,1.5804,2.1802,0.7308,0.5369,0.3639,0.6354,6.5190,80.0680,0.5083,1.7185,6.1390,3.2717,0.5083,1.7185,3.2717,0.5083,1.7185,6.1390,3.2717,1.4030,1.4224,1.9622,0.6577,0.4832,0.3275
A36043,0.0588,0.6103,1.6113,1.6426,2.1722,0.7732,0.5719,0.3639,0.6354,6.9437,80.0680,0.5720,1.9689,6.1390,3.2717,0.5720,1.9689,3.2717,0.5720,1.9689,6.1390,3.2717,1.4502,1.4784,1.9549,0.6959,0.5147,0.3275
A36051,0.0588,0.6103,1.4334,1.4614,2.3400,0.8040,0.6815,0.3639,0.6354,8.2737,80.0680,0.4477,1.5485,6.1390,3.2717,0.4477,1.5485,3.2717,0.4477,1.5485,6.1390,3.2717,1.2900,1.3153,2.1060,0.7236,0.6133,0.3275
