
ITER 1
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-71.9	-37.8	-46.5	3.9	-67.5	173.1	-2.4	-24.4	73.7 )
set NO23      = (	-44.4	-45.4	-7.1	15.6	27.0	81.3	249.2	-10.9	80.4 )
set ORGN      = (	-19.9	-50.6	-50.7	-58.4	-55.6	-65.4	-57.6	-25.5	17.5 )
set TOTN      = (	-38.9	-46.9	-37.2	-23.4	-34.1	-8.2	20.0	-16.1	58.9 )
set PO4X      = (	-15.7	-60.2	-42.6	25.2	6.8	-9.9	18.7	12.9	26.5 )
set PIPX      = (	79.6	1.7	-44.9	-25.7	496.4	568.3	1469.7	-30.2	287.4 )
set ORGP      = (	-37.1	-62.9	-52.6	-72.8	-55.4	-75.1	-79.0	-66.1	-75.2 )
set TOTP      = (	-4.6	-39.2	-46.9	-37.5	19.2	67.0	-27.7	-36.6	12.7 )
set TSED      = (	92.3	3.7	-5.4	-17.1	792.5	1032.4	231.5	56.5	263.6 )
set TSSX      = (	93.0	5.0	23.7	9.5	932.0	1351.8	388.2	58.7	265.2 )

ITER 2
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-66.3	-56.5	-71.1	27.5	-32.4	-28.9	106.2	-7.3	95.7 )
set NO23      = (	-46.7	-46.6	-15.2	15.3	-7.2	31.5	197.1	-14.0	74.2 )
set ORGN      = (	62.1	-21.1	-35.5	-44.4	-27.4	-52.5	-38.2	41.0	-26.0 )
set TOTN      = (	-18.4	-38.1	-30.6	-15.3	-22.3	-24.7	25.7	2.9	41.0 )
set PO4X      = (	12.7	-21.7	-16.0	7.0	5.4	76.8	31.2	22.8	23.2 )
set PIPX      = (	-20.7	-23.1	-64.6	-21.6	48.0	7.5	988.9	-38.9	283.7 )
set ORGP      = (	-5.6	-50.3	-35.8	-64.5	-24.8	-59.9	-68.0	-40.6	-81.3 )
set TOTP      = (	-7.0	-35.0	-45.0	-34.0	-11.0	-17.4	-26.3	-27.5	7.8 )
set TSED      = (	-40.2	-23.3	-44.2	-15.1	-26.5	-55.2	95.0	32.1	196.1 )
set TSSX      = (	-37.7	-21.9	-26.1	12.1	-2.2	-39.9	190.6	34.3	197.6 )

ITER 3
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-62.3	-51.5	-69.1	35.2	-40.4	-2.9	144.6	-1.7	97.2 )
set NO23      = (	-45.2	-43.5	-6.2	16.5	4.2	39.0	175.6	-13.5	71.8 )
set ORGN      = (	58.4	-24.3	-41.3	-43.3	-23.0	-38.1	-32.2	45.6	-36.1 )
set TOTN      = (	-18.2	-37.1	-31.6	-13.9	-16.8	-12.1	26.3	5.1	36.2 )
set PO4X      = (	7.7	5.2	3.2	5.0	39.9	35.6	33.3	29.7	17.2 )
set PIPX      = (	0.6	-28.6	-68.2	-19.4	92.0	13.4	887.8	-33.9	289.5 )
set ORGP      = (	-12.8	-55.6	-42.9	-64.3	-24.9	-53.9	-65.1	-41.3	-82.9 )
set TOTP      = (	-6.7	-34.2	-44.7	-33.0	0.4	-21.4	-25.7	-24.4	6.1 )
set TSED      = (	-29.5	-28.3	-43.0	-9.6	-4.1	-53.2	65.9	45.3	170.1 )
set TSSX      = (	-27.4	-27.1	-25.0	19.2	21.7	-38.2	148.1	47.2	171.5 )

ITER 4
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-58.0	-46.3	-56.3	39.0	-37.2	8.3	154.1	-2.1	95.9 )
set NO23      = (	-43.2	-40.8	2.1	18.0	26.1	38.6	161.2	-13.0	70.1 )
set ORGN      = (	53.6	-28.3	-44.1	-43.1	-30.5	-28.8	-27.4	47.3	-41.8 )
set TOTN      = (	-17.9	-36.6	-30.4	-13.0	-15.7	-5.8	26.6	5.9	33.1 )
set PO4X      = (	21.5	5.1	15.4	5.3	28.6	38.3	33.4	26.5	7.1 )
