SL9_2720_0001, NH3X, MEAN, 0.4527E+07, 0.5682E+07, 1.25513585155732273028
SL9_2720_0001, ORGN, MEAN, 0.5773E+08, 0.3748E+08, .64922917027542005889
SL9_2720_0001, ORGP, MEAN, 0.2114E+07, 0.3753E+07, 1.77530747398297067171
SL9_2720_0001, PO4X, MEAN, 0.1192E+07, 0.8864E+06, .74362416107382550335
SL9_2720_0001, PIPX, MEAN, 0.3203E+07, 0.1576E+07, .49203871370590079488
SL9_2720_0001, TSED, MEAN, 0.1953E+07, 0.2324E+07, 1.18996415770609318996
SL9_2720_0001, NO23, MEAN, 0.7155E+08, 0.9785E+08, 1.36757512229210342417
SL9_2720_0001, TOTN, MEAN, 0.1338E+09, 0.1407E+09, 1.05156950672645739910
SL9_2720_0001, TOTP, MEAN, 0.6508E+07, 0.6227E+07, .95682237246465888137
SL9_2720_0001, TSSX, MEAN, 0.3945E+10, 0.4713E+10, 1.19467680608365019011
PM7_4820_0001, NH3X, MEAN, 0.1270E+07, 0.1194E+07, .94015748031496062992
PM7_4820_0001, ORGN, MEAN, 0.1233E+08, 0.1686E+08, 1.36739659367396593673
PM7_4820_0001, ORGP, MEAN, 0.6091E+06, 0.1799E+07, 2.95353800689541947135
PM7_4820_0001, PO4X, MEAN, 0.5854E+06, 0.7525E+06, 1.28544584899214212504
PM7_4820_0001, PIPX, MEAN, 0.1345E+07, 0.1407E+07, 1.04609665427509293680
PM7_4820_0001, TSED, MEAN, 0.1141E+07, 0.1454E+07, 1.27432077125328659070
PM7_4820_0001, NO23, MEAN, 0.2151E+08, 0.3178E+08, 1.47745234774523494653
PM7_4820_0001, TOTN, MEAN, 0.3511E+08, 0.4974E+08, 1.41669040159498718313
PM7_4820_0001, TOTP, MEAN, 0.2540E+07, 0.3946E+07, 1.55354330708661417322
PM7_4820_0001, TSSX, MEAN, 0.2296E+10, 0.2912E+10, 1.26829268292682926829
JL7_7100_7030, NH3X, MEAN, 0.8582E+06, 0.4012E+06, .46749009554882311815
JL7_7100_7030, ORGN, MEAN, 0.3565E+07, 0.7403E+07, 2.07657784011220196353
JL7_7100_7030, ORGP, MEAN, 0.3552E+06, 0.7954E+06, 2.23930180180180180180
JL7_7100_7030, PO4X, MEAN, 0.8052E+06, 0.5464E+06, .67858917039244908097
JL7_7100_7030, PIPX, MEAN, 0.7761E+06, 0.1168E+07, 1.50496070094060043808
JL7_7100_7030, TSED, MEAN, 0.7994E+06, 0.8692E+06, 1.08731548661496122091
JL7_7100_7030, NO23, MEAN, 0.4527E+07, 0.3457E+07, .76364037994256682129
JL7_7100_7030, TOTN, MEAN, 0.8950E+07, 0.1127E+08, 1.25921787709497206703
JL7_7100_7030, TOTP, MEAN, 0.1937E+07, 0.2514E+07, 1.29788332472896231285
JL7_7100_7030, TSSX, MEAN, 0.1604E+10, 0.1348E+10, .84039900249376571094
RU5_6030_0001, NH3X, MEAN, 0.2061E+06, 0.1453E+06, .70499757399320718098
RU5_6030_0001, ORGN, MEAN, 0.1332E+07, 0.2247E+07, 1.68693693693693668364
RU5_6030_0001, ORGP, MEAN, 0.9051E+05, 0.2448E+06, 2.70467351673848193569
RU5_6030_0001, PO4X, MEAN, 0.6939E+05, 0.6486E+05, .93471681798530047557
RU5_6030_0001, PIPX, MEAN, 0.3256E+06, 0.3520E+06, 1.08108108108108108108
RU5_6030_0001, TSED, MEAN, 0.1656E+06, 0.2656E+06, 1.60386473429951690821
RU5_6030_0001, NO23, MEAN, 0.2386E+07, 0.1893E+07, .79337803855825649622
RU5_6030_0001, TOTN, MEAN, 0.3924E+07, 0.4271E+07, 1.08843017329255847497
RU5_6030_0001, TOTP, MEAN, 0.4855E+06, 0.6549E+06, 1.34891864057672502574
RU5_6030_0001, TSSX, MEAN, 0.3318E+09, 0.4041E+09, 1.21790235081374321880
JA5_7480_0001, NH3X, MEAN, 0.9893E+05, 0.8699E+05, .87930860204184777115
JA5_7480_0001, ORGN, MEAN, 0.6156E+06, 0.9376E+06, 1.52306692657569850552
JA5_7480_0001, ORGP, MEAN, 0.4364E+05, 0.9246E+05, 2.11869844179651695692
JA5_7480_0001, PO4X, MEAN, 0.1653E+05, 0.2424E+05, 1.46642468239564428312
JA5_7480_0001, PIPX, MEAN, 0.6994E+05, 0.1510E+05, .21589934229339433800
JA5_7480_0001, TSED, MEAN, 0.2033E+05, 0.1917E+05, .94294146581406787998
JA5_7480_0001, NO23, MEAN, 0.6473E+06, 0.3811E+06, .58875328286729491734
JA5_7480_0001, TOTN, MEAN, 0.1362E+07, 0.1408E+07, 1.03377386196769471861
JA5_7480_0001, TOTP, MEAN, 0.1301E+06, 0.1319E+06, 1.01383551114527286702
JA5_7480_0001, TSSX, MEAN, 0.4176E+08, 0.3343E+08, .80052681992337164750
YP4_6720_6750, NH3X, MEAN, 0.7252E+05, 0.6184E+05, .85273028130170987313
