SL9_2720_0001, NH3X, MEAN, 0.5176E+07, 0.5682E+07, 1.09775888717156124188
SL9_2720_0001, ORGN, MEAN, 0.2860E+08, 0.3748E+08, 1.31048951048951065904
SL9_2720_0001, ORGP, MEAN, 0.2039E+07, 0.3753E+07, 1.84060814124570868072
SL9_2720_0001, PO4X, MEAN, 0.1158E+07, 0.8864E+06, .76545768566493955094
SL9_2720_0001, PIPX, MEAN, 0.3909E+07, 0.1576E+07, .40317216679457656649
SL9_2720_0001, TSED, MEAN, 0.1803E+07, 0.2324E+07, 1.28896283971159193443
SL9_2720_0001, NO23, MEAN, 0.1028E+09, 0.9785E+08, .95184824902723735408
SL9_2720_0001, TOTN, MEAN, 0.1366E+09, 0.1407E+09, 1.03001464128843338213
SL9_2720_0001, TOTP, MEAN, 0.7106E+07, 0.6227E+07, .87630171685899240078
SL9_2720_0001, TSSX, MEAN, 0.3640E+10, 0.4713E+10, 1.29478021978021978021
PM7_4820_0001, NH3X, MEAN, 0.1211E+07, 0.1194E+07, .98596201486374896779
PM7_4820_0001, ORGN, MEAN, 0.8577E+07, 0.1686E+08, 1.96572228051766351871
PM7_4820_0001, ORGP, MEAN, 0.6469E+06, 0.1799E+07, 2.78095532539805224918
PM7_4820_0001, PO4X, MEAN, 0.6026E+06, 0.7525E+06, 1.24875539329571855293
PM7_4820_0001, PIPX, MEAN, 0.1995E+07, 0.1407E+07, .70526315789473684210
PM7_4820_0001, TSED, MEAN, 0.1003E+07, 0.1454E+07, 1.44965104685942173479
PM7_4820_0001, NO23, MEAN, 0.2701E+08, 0.3178E+08, 1.17660125879303975194
PM7_4820_0001, TOTN, MEAN, 0.3680E+08, 0.4974E+08, 1.35163043478260869565
PM7_4820_0001, TOTP, MEAN, 0.3245E+07, 0.3946E+07, 1.21602465331278890600
PM7_4820_0001, TSSX, MEAN, 0.2023E+10, 0.2912E+10, 1.43944636678200692041
JL7_7100_7030, NH3X, MEAN, 0.8342E+06, 0.4012E+06, .48093982258451210740
JL7_7100_7030, ORGN, MEAN, 0.3758E+07, 0.7403E+07, 1.96993081426290580095
JL7_7100_7030, ORGP, MEAN, 0.3328E+06, 0.7954E+06, 2.39002403846153846153
JL7_7100_7030, PO4X, MEAN, 0.8015E+06, 0.5464E+06, .68172177167810355583
JL7_7100_7030, PIPX, MEAN, 0.1345E+07, 0.1168E+07, .86840148698884758364
JL7_7100_7030, TSED, MEAN, 0.5770E+06, 0.8692E+06, 1.50641247833622183708
JL7_7100_7030, NO23, MEAN, 0.4243E+07, 0.3457E+07, .81475371199622908319
JL7_7100_7030, TOTN, MEAN, 0.8836E+07, 0.1127E+08, 1.27546401086464463558
JL7_7100_7030, TOTP, MEAN, 0.2479E+07, 0.2514E+07, 1.01411859620814844695
JL7_7100_7030, TSSX, MEAN, 0.1159E+10, 0.1348E+10, 1.16307161345987920621
RU5_6030_0001, NH3X, MEAN, 0.2266E+06, 0.1453E+06, .64121800529567519858
RU5_6030_0001, ORGN, MEAN, 0.1072E+07, 0.2247E+07, 2.09608208955223880597
RU5_6030_0001, ORGP, MEAN, 0.7659E+05, 0.2448E+06, 3.19623971797884841363
RU5_6030_0001, PO4X, MEAN, 0.6738E+05, 0.6486E+05, .96260017809439002671
RU5_6030_0001, PIPX, MEAN, 0.5161E+06, 0.3520E+06, .68203836465801201317
RU5_6030_0001, TSED, MEAN, 0.1946E+06, 0.2656E+06, 1.36485097636176772867
RU5_6030_0001, NO23, MEAN, 0.2430E+07, 0.1893E+07, .77901234567901234567
RU5_6030_0001, TOTN, MEAN, 0.3728E+07, 0.4271E+07, 1.14565450643776824034
RU5_6030_0001, TOTP, MEAN, 0.6601E+06, 0.6549E+06, .99212240569610665050
RU5_6030_0001, TSSX, MEAN, 0.3897E+09, 0.4041E+09, 1.03695150115473441108
JA5_7480_0001, NH3X, MEAN, 0.8466E+05, 0.8699E+05, 1.02752185211433971178
JA5_7480_0001, ORGN, MEAN, 0.7734E+06, 0.9376E+06, 1.21230928368244116886
JA5_7480_0001, ORGP, MEAN, 0.4889E+05, 0.9246E+05, 1.89118429126610758846
JA5_7480_0001, PO4X, MEAN, 0.1996E+05, 0.2424E+05, 1.21442885771543086172
JA5_7480_0001, PIPX, MEAN, 0.8106E+05, 0.1510E+05, .18628176659264742166
JA5_7480_0001, TSED, MEAN, 0.2192E+05, 0.1917E+05, .87454379562043795620
JA5_7480_0001, NO23, MEAN, 0.4459E+06, 0.3811E+06, .85467593630858936981
JA5_7480_0001, TOTN, MEAN, 0.1304E+07, 0.1408E+07, 1.07975460122699403063
JA5_7480_0001, TOTP, MEAN, 0.1499E+06, 0.1319E+06, .87991994663108739159
JA5_7480_0001, TSSX, MEAN, 0.4533E+08, 0.3343E+08, .73748069711008162364
YP4_6720_6750, NH3X, MEAN, 0.7236E+05, 0.6184E+05, .85461580983969043670
YP4_6720_6750, ORGN, MEAN, 0.7919E+06, 0.8896E+06, 1.12337416340447026139
YP4_6720_6750, ORGP, MEAN, 0.5267E+05, 0.9499E+05, 1.80349344978165938864
YP4_6720_6750, PO4X, MEAN, 0.4728E+05, 0.3375E+05, .71383248730964467005
YP4_6720_6750, PIPX, MEAN, 0.9465E+05, 0.3187E+05, .33671421024828314844
YP4_6720_6750, TSED, MEAN, 0.4676E+05, 0.4306E+05, .92087254063301967493
YP4_6720_6750, NO23, MEAN, 0.5282E+06, 0.4424E+06, .83756152972358954941
YP4_6720_6750, TOTN, MEAN, 0.1392E+07, 0.1394E+07, 1.00143678160919540229
YP4_6720_6750, TOTP, MEAN, 0.1946E+06, 0.1599E+06, .82168550873586844809
YP4_6720_6750, TSSX, MEAN, 0.9427E+08, 0.6722E+08, .71305823697889042113
YM4_6620_0003, NH3X, MEAN, 0.4410E+05, 0.2632E+05, .59682539682539682539
YM4_6620_0003, ORGN, MEAN, 0.4592E+06, 0.4345E+06, .94621080139372822299
YM4_6620_0003, ORGP, MEAN, 0.1859E+05, 0.4412E+05, 2.37331898870360408821
YM4_6620_0003, PO4X, MEAN, 0.1424E+05, 0.1160E+05, .81460674157303370786
YM4_6620_0003, PIPX, MEAN, 0.1622E+05, 0.1148E+04, .07077681874229346485
YM4_6620_0003, TSED, MEAN, 0.9274E+04, 0.7277E+04, .78466681043778304938
YM4_6620_0003, NO23, MEAN, 0.2460E+06, 0.1497E+06, .60853658536585365853
YM4_6620_0003, TOTN, MEAN, 0.7493E+06, 0.6109E+06, .81529427465634592286
YM4_6620_0003, TOTP, MEAN, 0.4905E+05, 0.5676E+05, 1.15718654434250764525
YM4_6620_0003, TSSX, MEAN, 0.1896E+08, 0.9941E+07, .52431434599156118143
XU3_4650_0001, NH3X, MEAN, 0.1114E+06, 0.1184E+06, 1.06283662477558348294
XU3_4650_0001, ORGN, MEAN, 0.4033E+06, 0.4631E+06, 1.14827671708405653359
XU3_4650_0001, ORGP, MEAN, 0.2900E+05, 0.5093E+05, 1.75620689655172413793
XU3_4650_0001, PO4X, MEAN, 0.2361E+05, 0.2395E+05, 1.01440067767894959762
XU3_4650_0001, PIPX, MEAN, 0.8317E+05, 0.4775E+05, .57412528555969700613
XU3_4650_0001, TSED, MEAN, 0.3984E+05, 0.2625E+05, .65888554216867469879
XU3_4650_0001, NO23, MEAN, 0.1140E+07, 0.9910E+06, .86929824561403508771
XU3_4650_0001, TOTN, MEAN, 0.1655E+07, 0.1569E+07, .94803625377643516616
XU3_4650_0001, TOTP, MEAN, 0.1358E+06, 0.1225E+06, .90206185567010309278
XU3_4650_0001, TSSX, MEAN, 0.7989E+08, 0.5209E+08, .65202152960320440605
EM2_3980_0001, NH3X, MEAN, 0.2498E+05, 0.1995E+05, .79863891112890312249
EM2_3980_0001, ORGN, MEAN, 0.6600E+05, 0.1721E+06, 2.60757575757575757575
EM2_3980_0001, ORGP, MEAN, 0.3530E+04, 0.1773E+05, 5.02266288951841359773
EM2_3980_0001, PO4X, MEAN, 0.8393E+04, 0.9668E+04, 1.15191230787561062790
EM2_3980_0001, PIPX, MEAN, 0.2461E+05, 0.5181E+04, .21052417716375457131
