LSEG,SLSUR,LSUR
N10001,0.02288,50.001
N10003,0.08389,58.8716
N10005,0.0167,85.2514
N11001,0.18632,63.6841
N24001,0.25962,441.2507
N24003,0.10279,265.9133
N24005,0.13276,204.5044
N24009,0.15953,409.6514
N24011,0.02655,149.2727
N24013,0.15083,172.9082
N24015,0.09317,171.0405
N24017,0.08333,485.0722
N24019,0.01327,50
H24021,0.15651,999
N24021,0.17482,168.2491
H24023,0.15457,750.1458
N24023,0.19277,372.8032
N24025,0.1108,225.7693
N24027,0.12657,229.6125
N24029,0.05961,103.1723
N24031,0.11753,137.2714
N24033,0.09967,342.1586
N24035,0.0322,133.8611
N24037,0.09478,305.287
N24039,0.00906,68.2571
N24041,0.02944,115.204
N24043,0.19958,156.2308
N24045,0.0158,207.9217
N24047,0.02367,55.7068
N24510,0.14574,50
N36003,0.15487,518.8915
N36007,0.15885,355.6017
N36011,0.09527,50
N36015,0.19042,467.1064
N36017,0.12442,489.3233
N36023,0.15989,497.5692
N36025,0.23076,426.7694
N36043,0.11693,210.8162
N36051,0.13126,163.1628
N36053,0.1215,282.2396
N36065,0.07514,166.8036
N36067,0.11773,108.765
N36069,0.15363,104.1114
N36077,0.16652,280.5752
N36095,0.17777,425.7329
N36097,0.14709,156.2423
N36101,0.18781,387.2907
N36107,0.16632,357.4215
N36109,0.1374,158.0829
N36123,0.14533,50
N42001,0.13503,245.165
N42009,0.23811,557.1244
N42011,0.16507,276.2848
H42013,0.21528,999
N42013,0.23448,564.878
N42015,0.18237,354.4806
N42021,0.15228,438.2806
N42023,0.30188,978.2636
N42025,0.14697,357.8985
H42027,0.19531,999
N42027,0.19318,673.3917
N42029,0.12386,263.4502
N42033,0.15991,560.5484
N42035,0.24592,708.7608
N42037,0.21354,359.0352
N42041,0.17139,302.8826
H42043,0.16463,999
N42043,0.19222,77.6765
N42047,0.16038,810.8068
N42055,0.21339,356.7403
N42057,0.22307,609.4669
N42061,0.22803,370.7141
N42063,0.18332,392.9632
N42065,0.15115,539.1365
N42067,0.23,495.0577
L42069,0.15382,95.989
N42069,0.13891,311.3358
N42071,0.14837,63.4336
N42075,0.15068,283.6569
H42079,0.16871,660.9235
L42079,0.15656,61.0603
N42079,0.1433,332.7855
N42081,0.24815,583.8271
N42083,0.18015,825.1963
N42087,0.24846,560.7107
N42093,0.2153,194.1982
N42097,0.22791,122.3742
N42099,0.22044,524.5968
N42105,0.25869,999
N42107,0.18695,448.997
N42109,0.21204,354.2748
N42111,0.16831,438.7527
H42113,0.16516,774.8401
L42113,0.19998,743.5959
N42113,0.18654,676.4259
H42115,0.12022,265.0384
N42115,0.18047,366.6538
H42117,0.2331,999
N42117,0.2039,590.9903
H42119,0.20823,999
