lseg,State,name ***
A10001,DE,KENT
A10003,DE,NEW CASTLE
A10005,DE,SUSSEX
A11001,DC,DIST OF COLUMBIA
A24001,MD,ALLEGANY
A24003,MD,ANNE ARUNDEL
A24005,MD,BALTIMORE
A24009,MD,CALVERT
A24011,MD,CAROLINE
A24013,MD,CARROLL
A24015,MD,CECIL
A24017,MD,CHARLES
A24019,MD,DORCHESTER
A24021,MD,FREDERICK
A24023,MD,GARRETT
A24025,MD,HARFORD
A24027,MD,HOWARD
A24029,MD,KENT
A24031,MD,MONTGOMERY
A24033,MD,PRINCE GEORGES
A24035,MD,QUEEN ANNES
A24037,MD,ST MARYS
A24039,MD,SOMERSET
A24041,MD,TALBOT
A24043,MD,WASHINGTON
A24045,MD,WICOMICO
A24047,MD,WORCESTER
A24510,MD,BALTIMORE
A36003,NY,ALLEGANY
A36007,NY,BROOME
A36015,NY,CHEMUNG
A36017,NY,CHENANGO
A36023,NY,CORTLAND
A36025,NY,DELAWARE
A36043,NY,HERKIMER
A36051,NY,LIVINGSTON
A36053,NY,MADISON
A36065,NY,ONEIDA
A36067,NY,ONONDAGA
A36069,NY,ONTARIO
A36077,NY,OTSEGO
A36095,NY,SCHOHARIE
A36097,NY,SCHUYLER
A36101,NY,STEUBEN
A36107,NY,TIOGA
A36109,NY,TOMPKINS
A36123,NY,YATES
A37001,NC,ALAMANCE
A37005,NC,ALLEGHANY
A37009,NC,ASHE
A37033,NC,CASWELL
A37067,NC,FORSYTH
A37077,NC,GRANVILLE
A37081,NC,GUILFORD
A37131,NC,NORTHAMPTON
A37135,NC,ORANGE
A37145,NC,PERSON
A37157,NC,ROCKINGHAM
A37169,NC,STOKES
A37171,NC,SURRY
A37181,NC,VANCE
A37185,NC,WARREN
A37189,NC,WATAUGA
A42001,PA,ADAMS
A42009,PA,BEDFORD
A42011,PA,BERKS
A42013,PA,BLAIR
A42015,PA,BRADFORD
A42021,PA,CAMBRIA
A42023,PA,CAMERON
A42025,PA,CARBON
A42027,PA,CENTRE
A42029,PA,CHESTER
A42033,PA,CLEARFIELD
A42035,PA,CLINTON
A42037,PA,COLUMBIA
A42041,PA,CUMBERLAND
A42043,PA,DAUPHIN
A42047,PA,ELK
A42055,PA,FRANKLIN
A42057,PA,FULTON
A42061,PA,HUNTINGDON
A42063,PA,INDIANA
A42065,PA,JEFFERSON
A42067,PA,JUNIATA
A42069,PA,LACKAWANNA
A42071,PA,LANCASTER
A42075,PA,LEBANON
A42079,PA,LUZERNE
A42081,PA,LYCOMING
A42083,PA,MCKEAN
A42087,PA,MIFFLIN
A42093,PA,MONTOUR
A42097,PA,NORTHUMBERLAND
A42099,PA,PERRY
A42105,PA,POTTER
A42107,PA,SCHUYLKILL
A42109,PA,SNYDER
A42111,PA,SOMERSET
A42113,PA,SULLIVAN
A42115,PA,SUSQUEHANNA
A42117,PA,TIOGA
A42119,PA,UNION
A42127,PA,WAYNE
A42131,PA,WYOMING
A42133,PA,YORK
A47091,TN,JOHNSON
A47163,TN,SULLIVAN
A51001,VA,ACCOMACK
A51003,VA,ALBEMARLE
A51005,VA,ALLEGHANY
A51007,VA,AMELIA
A51009,VA,AMHERST
A51011,VA,APPOMATTOX
A51013,VA,ARLINGTON
A51015,VA,AUGUSTA
A51017,VA,BATH
A51019,VA,BEDFORD
A51021,VA,BLAND
A51023,VA,BOTETOURT
A51025,VA,BRUNSWICK
A51027,VA,BUCHANAN
A51029,VA,BUCKINGHAM
A51031,VA,CAMPBELL
A51033,VA,CAROLINE
A51035,VA,CARROLL
A51036,VA,CHARLES CITY
A51037,VA,CHARLOTTE
A51041,VA,CHESTERFIELD
A51043,VA,CLARKE
A51045,VA,CRAIG
A51047,VA,CULPEPER
A51049,VA,CUMBERLAND
A51051,VA,DICKENSON
A51053,VA,DINWIDDIE
A51057,VA,ESSEX
A51059,VA,FAIRFAX
A51061,VA,FAUQUIER
A51063,VA,FLOYD
A51065,VA,FLUVANNA
A51067,VA,FRANKLIN
A51069,VA,FREDERICK
A51071,VA,GILES
A51073,VA,GLOUCESTER
A51075,VA,GOOCHLAND
A51077,VA,GRAYSON
A51079,VA,GREENE
A51081,VA,GREENSVILLE
A51083,VA,HALIFAX
A51085,VA,HANOVER
A51087,VA,HENRICO
A51089,VA,HENRY
A51091,VA,HIGHLAND
A51093,VA,ISLE OF WIGHT
A51095,VA,JAMES CITY
A51097,VA,KING AND QUEEN
A51099,VA,KING GEORGE
A51101,VA,KING WILLIAM
A51103,VA,LANCASTER
A51105,VA,LEE
A51107,VA,LOUDOUN
A51109,VA,LOUISA
A51111,VA,LUNENBURG
A51113,VA,MADISON
A51115,VA,MATHEWS
A51117,VA,MECKLENBURG
A51119,VA,MIDDLESEX
A51121,VA,MONTGOMERY
A51125,VA,NELSON
A51127,VA,NEW KENT
A51131,VA,NORTHAMPTON
A51133,VA,NORTHUMBERLAND
A51135,VA,NOTTOWAY
A51137,VA,ORANGE
A51139,VA,PAGE
A51141,VA,PATRICK
A51143,VA,PITTSYLVANIA
A51145,VA,POWHATAN
A51147,VA,PRINCE EDWARD
A51149,VA,PRINCE GEORGE
A51153,VA,PRINCE WILLIAM
A51155,VA,PULASKI
A51157,VA,RAPPAHANNOCK
A51159,VA,RICHMOND
A51161,VA,ROANOKE
A51163,VA,ROCKBRIDGE
A51165,VA,ROCKINGHAM
A51167,VA,RUSSELL
A51169,VA,SCOTT
A51171,VA,SHENANDOAH
A51173,VA,SMYTH
A51175,VA,SOUTHAMPTON
A51177,VA,SPOTSYLVANIA
A51179,VA,STAFFORD
A51181,VA,SURRY
A51183,VA,SUSSEX
A51185,VA,TAZEWELL
A51187,VA,WARREN
A51191,VA,WASHINGTON
A51193,VA,WESTMORELAND
A51195,VA,WISE
A51197,VA,WYTHE
A51199,VA,YORK
A51510,VA,ALEXANDRIA
A51515,VA,BEDFORD
A51520,VA,BRISTOL
A51530,VA,BUENA VISTA
A51540,VA,CHARLOTTESVILLE
A51550,VA,CHESAPEAKE
A51570,VA,COLONIAL HEIGHTS
A51580,VA,COVINGTON
A51590,VA,DANVILLE
A51595,VA,EMPORIA
A51600,VA,FAIRFAX CITY
A51610,VA,FALLS CHURCH
A51620,VA,FRANKLIN
A51630,VA,FREDERICKSBURG
A51640,VA,GALAX
A51650,VA,HAMPTON
A51660,VA,HARRISONBURG
A51670,VA,HOPEWELL
A51678,VA,LEXINGTON
A51680,VA,LYNCHBURG
A51683,VA,MANASSAS
A51685,VA,MANASSAS PARK
A51690,VA,MARTINSVILLE
A51700,VA,NEWPORT NEWS
A51710,VA,NORFOLK
A51720,VA,NORTON
A51730,VA,PETERSBURG
A51735,VA,POQUOSON
A51740,VA,PORTSMOUTH
A51750,VA,RADFORD
A51760,VA,RICHMOND
A51770,VA,ROANOKE
A51775,VA,SALEM
A51790,VA,STAUNTON
