cell,rseg,weight***
C12TF,SL2_2480_0001,1.00
EL2OH,EU1_2650_0001,1.00
C12TF,SL9_2720_0001,1.00
NORTF,EU1_2810_0001,1.00
C12TF,SL2_3060_0001,1.00
BSHOH,WU0_3250_0001,1.00
BSHOH,WU1_3330_0001,1.00
GU2OH,WU3_3481_0001,1.00
GU2OH,WU1_3482_0001,1.00
CHSTF,EU2_3520_0001,1.00
PATMH,WM0_3650_0001,1.00
GU2OH,WU0_3670_0001,1.00
BACOH,WM0_3740_0001,1.00
CHSTF,EU0_3830_0001,1.00
PATMH,WM1_3910_0001,1.00
CHOTF,EM2_3980_0001,1.00
PATMH,WM3_4060_0001,1.00
CHOTF,EM2_4100_0001,1.00
MDATF,PL0_4510_0001,1.00
MDATF,PL1_4540_0001,1.00
DENTF,EL0_4562_0001,1.00
MDNTF,EL2_4590_0001,1.00
PAXTF,XU3_4650_0001,1.00
PAXTF,XL1_4690_0001,1.00
DCPTF,PL1_4780_0001,1.00
DCPTF,PM7_4820_0001,1.00
POVTF,PL0_5000_0001,1.00
PISTF,PL0_5070_0001,1.00
POVTF,PL1_5130_0001,1.00
FSBMH,EL1_5150_0001,1.00
MATTF,PL1_5230_0001,1.00
POVTF,PL3_5250_0001,1.00
POCTF,EL2_5270_0001,1.00
PAXOH,XL0_5320_0001,1.00
WICMH,EL0_5400_0001,1.00
POCTF,EL1_5430_0001,1.00
POVTF,PL0_5490_0001,1.00
POMMH,PL0_5510_0001,1.00
POCTF,EL1_5570_0001,1.00
POMMH,PL2_5630_0001,1.00
POVOH,PL1_5690_0001,1.00
POMMH,PL0_5710_0001,1.00
PO3OH,PL0_5720_0001,1.00
POMMH,PL0_5750_0001,1.00
POMMH,PL0_5830_0001,1.00
POMMH,PL1_5910_0001,1.00
MPCMH,EL1_6000_0001,1.00
RPPTF,RU5_6030_0001,1.00
RPPMH,RL1_6180_0001,1.00
RPPMH,RL0_6540_0001,1.00
PIAMH,YL2_6580_0001,1.00
MPNTF,YM4_6620_0001,1.00
PMKTF,YP4_6750_0001,1.00
PMKTF,YP0_6840_0001,1.00
CHKOH,JB0_7051_0001,1.00
CHKOH,JB0_7052_0001,1.00
CHKOH,JB3_7053_0001,1.00
JMSTFU,JL7_7070_0001,1.00
APPTF,JA2_7290_0001,1.00
APPTF,JA5_7480_0001,1.00
JMSMH,JB2_7800_0001,1.00
JMSMH,JB1_8090_0001,1.00
CHSOH,EU0_3726_0001,1.00
WICMH,EL0_5767_0001,1.00
