cell,lseg,rseg,weight***
N10001_EM3_4326_0000,N10001,EM3_4326_0000,0.1
N10001_EM3_4326_0000,N10001,EM3_4326_0000,0.1
N10001_EM3_4326_0000,N10001,EM3_4326_0000,0.1
N10001_EM3_4326_0000,N10001,EM3_4326_0000,0.1
N10001_EM3_4326_0000,N10001,EM3_4326_0000,0.6
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_DE0_2990_0000,N10003,DE0_2990_0000,0.1
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3010_0000,N10003,EU0_3010_0000,0.111111111
N10003_EU0_3011_0000,N10003,EU0_3011_0000,0.2
N10003_EU0_3011_0000,N10003,EU0_3011_0000,0.2
N10003_EU0_3011_0000,N10003,EU0_3011_0000,0.2
N10003_EU0_3011_0000,N10003,EU0_3011_0000,0.2
N10003_EU0_3011_0000,N10003,EU0_3011_0000,0.2
N10003_EU0_3201_0000,N10003,EU0_3201_0000,1
N10003_EU0_3361_0000,N10003,EU0_3361_0000,1
N10003_EU1_2981_0000,N10003,EU1_2981_0000,1
N10003_EU1_2983_0000,N10003,EU1_2983_0000,0.8
N10003_EU1_2983_0000,N10003,EU1_2983_0000,0.2
N10005_EL0_4591_0000,N10005,EL0_4591_0000,1
N10005_EL0_4594_0000,N10005,EL0_4594_0000,1
N10005_EL0_4597_0000,N10005,EL0_4597_0000,0.5
N10005_EL0_4597_0000,N10005,EL0_4597_0000,0.5
N10005_EL0_4631_0000,N10005,EL0_4631_0000,1
N10005_EL0_4632_0000,N10005,EL0_4632_0000,1
N10005_EL0_4633_0000,N10005,EL0_4633_0000,0.083333333
N10005_EL0_4633_0000,N10005,EL0_4633_0000,0.916666667
N10005_EL2_4630_0000,N10005,EL2_4630_0000,0.049986357
N10005_EL2_4630_0000,N10005,EL2_4630_0000,0.049986357
N10005_EL2_4630_0000,N10005,EL2_4630_0000,0.099972713
N10005_EL2_4630_0000,N10005,EL2_4630_0000,0.199945426
N10005_EL2_4630_0000,N10005,EL2_4630_0000,0.599836279
N10005_EL2_4634_0000,N10005,EL2_4634_0000,0.5
N10005_EL2_4634_0000,N10005,EL2_4634_0000,0.5
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4810_0000,N11001,PL2_4810_0000,0.090027051
N11001_PL2_4811_0000,N11001,PL2_4811_0000,0.890341328
N11001_PL2_4945_0000,N11001,PL2_4945_0000,0.638897889
N11001_PL2_4945_0000,N11001,PL2_4945_0000,0.006851452
N11001_PL2_4945_0000,N11001,PL2_4945_0000,0.210682146
N11001_PL7_4910_0000,N11001,PL7_4910_0000,0.175085746
N11001_PL7_4910_0000,N11001,PL7_4910_0000,0.175085746
N11001_PL7_4910_0000,N11001,PL7_4910_0000,0.175085746
N11001_PL7_4910_0000,N11001,PL7_4910_0000,0.175085746
N11001_PL7_4940_0000,N11001,PL7_4940_0000,0.029948677
N11001_PL7_4940_0000,N11001,PL7_4940_0000,0.119794707
N11001_PL7_4940_0000,N11001,PL7_4940_0000,0.059897353
N11001_PL7_4940_0000,N11001,PL7_4940_0000,0.08984603
N11001_PL7_4942_0000,N11001,PL7_4942_0000,0.019035531
N11001_PL7_4942_0000,N11001,PL7_4942_0000,0.019035531
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.047798311
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.047798311
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.047798311
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.047798311
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.047798311
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.238991553
N11001_PL7_4960_0000,N11001,PL7_4960_0000,0.238991553
N24003_WL0_4390_0000,N24003,WL0_4390_0000,1
N24003_WL0_4391_0000,N24003,WL0_4391_0000,0.05
N24003_WL0_4391_0000,N24003,WL0_4391_0000,0.1
N24003_WL0_4391_0000,N24003,WL0_4391_0000,0.2
N24003_WL0_4391_0000,N24003,WL0_4391_0000,0.6
N24003_WL0_4391_0000,N24003,WL0_4391_0000,0.025
N24003_WL0_4391_0000,N24003,WL0_4391_0000,0.025
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4392_0000,N24003,WL0_4392_0000,0.142857143
N24003_WL0_4393_0000,N24003,WL0_4393_0000,0.333333333
N24003_WL0_4393_0000,N24003,WL0_4393_0000,0.333333333
N24003_WL0_4393_0000,N24003,WL0_4393_0000,0.333333333
