cell,lseg,rseg,weight***
2C,N10001,EM3_4326_0000,0.1
2C,N10001,EM3_4326_0000,0.1
2C,N10001,EM3_4326_0000,0.1
2C,N10001,EM3_4326_0000,0.1
2C,N10001,EM3_4326_0000,0.6
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
0C,N10003,DE0_2990_0000,0.1
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3010_0000,0.111111111
4C,N10003,EU0_3011_0000,0.2
4C,N10003,EU0_3011_0000,0.2
4C,N10003,EU0_3011_0000,0.2
4C,N10003,EU0_3011_0000,0.2
4C,N10003,EU0_3011_0000,0.2
4C,N10003,EU0_3201_0000,1
4C,N10003,EU0_3361_0000,1
4C,N10003,EU1_2981_0000,1
4C,N10003,EU1_2983_0000,0.8
4C,N10003,EU1_2983_0000,0.2
1C,N10005,EL0_4591_0000,1
1C,N10005,EL0_4594_0000,1
1C,N10005,EL0_4597_0000,0.5
1C,N10005,EL0_4597_0000,0.5
1C,N10005,EL0_4631_0000,1
1C,N10005,EL0_4632_0000,1
1C,N10005,EL0_4633_0000,0.083333333
1C,N10005,EL0_4633_0000,0.916666667
1C,N10005,EL2_4630_0000,0.049986357
1C,N10005,EL2_4630_0000,0.049986357
1C,N10005,EL2_4630_0000,0.099972713
1C,N10005,EL2_4630_0000,0.199945426
1C,N10005,EL2_4630_0000,0.599836279
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4810_0000,0.090027051
7C,N11001,PL2_4811_0000,0.890341328
7C,N11001,PL2_4945_0000,0.638897889
7C,N11001,PL2_4945_0000,0.006851452
7C,N11001,PL2_4945_0000,0.210682146
7C,N11001,PL7_4910_0000,0.175085746
7C,N11001,PL7_4910_0000,0.175085746
7C,N11001,PL7_4910_0000,0.175085746
7C,N11001,PL7_4910_0000,0.175085746
7C,N11001,PL7_4940_0000,0.029948677
7C,N11001,PL7_4940_0000,0.119794707
7C,N11001,PL7_4940_0000,0.059897353
7C,N11001,PL7_4940_0000,0.08984603
7C,N11001,PL7_4942_0000,0.019035531
7C,N11001,PL7_4942_0000,0.019035531
7C,N11001,PL7_4960_0000,0.047798311
7C,N11001,PL7_4960_0000,0.047798311
7C,N11001,PL7_4960_0000,0.047798311
7C,N11001,PL7_4960_0000,0.047798311
7C,N11001,PL7_4960_0000,0.047798311
7C,N11001,PL7_4960_0000,0.238991553
7C,N11001,PL7_4960_0000,0.238991553
5C,N24003,WL0_4390_0000,1
5C,N24003,WL0_4391_0000,0.05
5C,N24003,WL0_4391_0000,0.1
5C,N24003,WL0_4391_0000,0.2
5C,N24003,WL0_4391_0000,0.6
5C,N24003,WL0_4391_0000,0.025
5C,N24003,WL0_4391_0000,0.025
5C,N24003,WL0_4392_0000,0.142857143
5C,N24003,WL0_4392_0000,0.142857143
5C,N24003,WL0_4392_0000,0.142857143
5C,N24003,WL0_4392_0000,0.142857143
5C,N24003,WL0_4392_0000,0.142857143
5C,N24003,WL0_4392_0000,0.142857143
