river,cal5 name  ***
BS1_8730_8540,"CRANES NEST RIVER NEAR CLINTWOOD, VA"
BS2_8590_8440,BIG SANDY R  RUSSELL FK
BS3_8350_8330,"LEVISA FORK AT BIG ROCK, VA"
BS3_8580_8440,MCCLURE R
BS4_8440_0003,"RUSSELL FORK AT HAYSI, VA"
BS4_8440_8441,BIG SANDY R  RUSSELL FK
BS4_8540_8441,"POUND RIVER BELOW FLANNAGAN DAM NEAR HAYSI, VA"
DE0_3791_0001,"ST JONES RIVER AT DOVER, DE"
DE0_4141_0001,MURDERKILL R
DE0_4231_0001,"BEAVERDAM BRANCH AT HOUSTON, DE"
EL0_4560_4562,NANTICOKE R  GRAVELLY FK
EL0_4561_4562,DEEP CR
EL0_4562_0001,NANTICOKE R
EL0_4562_0003,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE"
EL0_5400_0001,WICOMICO R
EL1_5150_0001,CHICAMCOMICO R
EL1_5430_0001,"NASSAWANGO CREEK NEAR SNOW HILL, MD"
EL1_5570_0001,DIVIDING CR
EL1_6000_0001,MARUMSCO CR
EL2_4400_4590,"MARSHYHOPE CREEK NEAR ADAMSVILLE, DE"
EL2_4590_0001,MARSHY HOPE CR
EL2_5110_5270,"POCOMOKE RIVER NEAR WILLARDS, MD"
EL2_5270_0001,POCOMOKE R
EM2_3980_0001,"CHOPTANK RIVER NEAR GREENSBORO, MD"
EM2_4100_0001,TUCKAHOE R
EU0_3830_0001,"UNICORN BRANCH NEAR MILLINGTON, MD"
EU1_2650_0001,"BIG ELK CREEK AT ELK MILLS, MD"
EU1_2810_0001,LITTLE NORTHEAST CR
EU2_3520_0001,CHSTR R  ANDOVER BR
GY0_3800_3801,"CASSELMAN RIVER AT GRANTSVILLE, MD"
GY0_3950_3952,"BEAR CREEK AT FRIENDSVILLE, MD"
GY0_3951_3952,"YOUGHIOGHENY RIVER AT FRIENDSVILLE, MD"
GY0_4240_3951,DEEP CR HYDROELECTRIC DAM
GY0_4530_4532,LITTLE YOUGHIOGHENY R
GY0_4531_4532,"YOUGHIOGHENY RIVER"
GY0_4532_0003,"YOUGHIOGHENY RIVER NEAR OAKLAND, MD"
GY0_4532_3951,YOUGHIOGHENY R
JA0_7291_7290,SWIFT CR
JA1_7600_7570,"DEEP CREEK NEAR MANNBORO, VA"
JA1_7640_7280,BUSHY R
JA2_7290_0001,SWIFT CR
JA2_7410_7470,FLAT CR
JA2_7550_7280,"APPOMATTOX RIVER AT FARMVILLE, VA"
JA2_7570_7480,WEST CR
JA4_7280_7340,"APPOMATTOX RIVER AT MATTOAX, VA"
JA4_7340_7470,APPOMATTOX R
JA4_7470_7480,APPOMATTOX R
JA5_7480_0001,"APPOMATTOX RIVER AT MATOACA, VA"
JB0_7051_0001,YARMOUTH CR
JB0_7052_0001,DIASCUND CR
JB1_8090_0001,LAKE MEAD DAM
JB2_7800_0001,WESTERN BRANCH DAM
JB3_6820_7053,"CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE, VA"
JB3_7053_0001,CHICAHOMINY R
JL1_6560_6440,"MECHUMS RIVER NEAR WHITE HALL, VA"
JL1_6760_6910,"HARDWARE RIVER BL BRIERY RUN NR SCOTTSVILLE, VA"
JL1_6770_6850,"ROCKFISH RIVER NEAR GREENFIELD, VA"
JL1_6910_6960,HARDWARE R
JL1_6940_7200,"TYE RIVER NEAR LOVINGSTON, VA"
JL1_7080_7190,"PINEY RIVER AT PINEY RIVER, VA"
JL1_7170_6800,DEEP CR
JL1_7190_7250,PINEY R
JL1_7200_7250,TYE R
JL1_7530_7430,WRECK ISLAND CR
JL2_6240_6520,"N F RIVANNA RIVER NEAR PROFFIT, VA"
JL2_6440_6441,RIVIANNA R  S FK
