cell,rseg,weight***
132267,EU1_2650_0001,1
118262,EU1_2810_0001,0.5
119262,EU1_2810_0001,0.5
115237,WU0_3250_0001,1
116236,WU1_3330_0001,1
118233,WU3_3481_0001,1
118233,WU1_3482_0001,1
174202,EU2_3520_0001,1
099219,WM0_3650_0001,1
116233,WU0_3670_0001,1
110222,WM0_3740_0001,1
174202,EU0_3830_0001,1
100215,WM3_4060_0001,1
174171,EM2_4100_0001,1
002111,PL0_4510_0001,1
002111,PL1_4540_0001,1
157141,EL0_4562_0001,1
157139,EL2_4590_0001,1
063138,XL1_4690_0001,1
007108,PL1_4780_0001,1
018105,PL0_5000_0001,1
026114,PL0_5070_0001,1
030102,PL1_5130_0001,1
152138,EL1_5150_0001,1
040116,PL1_5230_0001,1
036096,PL3_5250_0001,1
176088,EL2_5270_0001,1
076138,XL0_5320_0001,1
162134,EL0_5400_0001,1
176088,EL1_5430_0001,1
044100,PL0_5490_0001,1
079120,PL0_5510_0001,1
174088,EL1_5570_0001,1
078120,PL2_5630_0001,1
052097,PL1_5690_0001,1
078120,PL0_5710_0001,1
060114,PL0_5720_0001,1
083116,PL0_5750_0001,1
085117,PL0_5830_0001,1
104124,PL1_5910_0001,1
167088,EL1_6000_0001,0.5
168088,EL1_6000_0001,0.5
072073,RL1_6180_0001,1
075067,RL0_6540_0001,1
110064,YL2_6580_0001,1
075030,JB0_7051_0001,1
075031,JB0_7052_0001,1
075032,JB3_7053_0001,1
055021,JA2_7290_0001,1
101009,JB2_7800_0001,1
101009,JB1_8090_0001,1
