RIVER#,rseg,weight***
1,EL0_4562_0001,1
1,EL0_5400_0001,1
1,EL1_5150_0001,1
1,EL1_5430_0001,1
1,EL1_5570_0001,1
1,EL1_6000_0001,1
1,EL2_4590_0001,1
1,EL2_5270_0001,1
2,EM2_3980_0001,1
2,EM2_4100_0001,1
3,EU0_3830_0001,1
4,EU1_2650_0001,1
4,EU1_2810_0001,1
3,EU2_3520_0001,1
10,JA2_7290_0001,1
10,JA5_7480_0001,1
10,JB0_7051_0001,1
10,JB0_7052_0001,1
10,JB1_8090_0001,1
10,JB2_7800_0001,1
10,JB3_7053_0001,1
10,JL7_7070_0001,1
7,PL0_4510_0001,1
7,PL0_5000_0001,1
7,PL0_5070_0001,1
7,PL0_5490_0001,1
7,PL0_5510_0001,1
7,PL0_5710_0001,1
7,PL0_5720_0001,1
7,PL0_5750_0001,1
7,PL0_5830_0001,1
7,PL1_4540_0001,1
7,PL1_4780_0001,1
7,PL1_5130_0001,1
7,PL1_5230_0001,1
7,PL1_5690_0001,1
7,PL1_5910_0001,1
7,PL2_5630_0001,1
7,PL3_5250_0001,1
7,PM7_4820_0001,1
8,RL0_6540_0001,1
8,RL1_6180_0001,1
8,RU5_6030_0001,1
5,SL2_2480_0001,1
5,SL2_3060_0001,1
5,SL9_2720_0001,1
5,WM0_3650_0001,1
5,WM0_3740_0001,1
5,WM1_3910_0001,1
5,WM3_4060_0001,1
5,WU0_3250_0001,1
5,WU0_3670_0001,1
5,WU1_3330_0001,1
5,WU1_3482_0001,1
5,WU3_3481_0001,1
6,XL0_5320_0001,1
6,XL1_4690_0001,1
6,XU3_4650_0001,1
9,YL2_6580_0001,1
9,YM4_6620_0001,1
9,YP0_6840_0001,1
9,YP4_6750_0001,1
