TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.002415,0.,6.653076,1.000000,na,na,0.000100,0.004839,0.,3.326537,1.000000,na,na,0.000100,0.000811,0.002781,1.060277,0.200000,na,na,0.000100,0.000811,0.002781,0.195327,0.000100,4068.218,2536.878,0.0001,1.07,245.8078,3547.668,0.0001,1.07,17.43072,22.19936,0.0001,1.07,17.43072,22.19936,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000125,0.,10.00000,1.000000,na,na,0.000100,0.000250,0.,5.022965,1.000000,na,na,0.000100,0.001132,0.002028,1.729756,0.200000,na,na,0.000100,0.001132,0.002028,0.306192,0.000100,136.9198,1333.301,0.0001,1.07,7303.542,6750.169,0.0001,1.07,23.29481,29.32364,0.0001,1.07,23.29481,29.32364,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000141,0.,9.484702,1.000000,na,na,0.000100,0.000283,0.,4.742351,1.000000,na,na,0.000100,0.000118,0.010000,0.083348,0.200000,na,na,0.000100,0.000118,0.010000,0.013891,0.000100,0.100000,27632.95,0.0001,1.07,50000.00,325.6981,0.0001,1.07,31.98045,36.07759,0.0001,1.07,31.98045,36.07759,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.001048,0.,5.481333,1.000000,na,na,0.000100,0.002097,0.,2.740666,1.000000,na,na,0.000100,0.001009,0.002356,0.546243,0.200000,na,na,0.000100,0.001009,0.002356,0.091039,0.000100,1877.482,25570.79,0.0001,1.07,532.6282,351.9640,0.0001,1.07,11.54747,20.95556,0.0001,1.07,11.54747,20.95556,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000344,0.,7.369311,1.000000,na,na,0.000100,0.000689,0.,3.684654,1.000000,na,na,0.000100,0.000974,0.002327,1.219615,0.200000,na,na,0.000100,0.000974,0.002327,0.249294,0.000100,301.3864,1397.775,0.0001,1.07,3310.074,6438.806,0.0001,1.07,13.83102,19.36211,0.0001,1.07,13.83102,19.36211,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000169,0.,5.569799,1.000000,na,na,0.000100,0.000341,0.,2.784899,1.000000,na,na,0.000100,0.001431,0.002021,0.450182,0.200000,na,na,0.000100,0.001431,0.002651,0.075032,0.000100,246.4085,561.0444,0.0001,1.07,4058.305,16041.52,0.0001,1.07,23.16442,32.47617,0.0001,1.07,23.16442,32.47617,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.002285,0.,6.981502,1.000000,na,na,0.000100,0.004569,0.,3.490750,1.000000,na,na,0.000100,0.000182,0.010000,0.252298,0.200000,na,na,0.000100,0.000182,0.010000,0.042050,0.000100,2478.597,359.6107,0.0001,1.07,385.2692,25027.08,0.0001,1.07,30.38080,32.47746,0.0001,1.07,30.38080,32.47746,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000530,0.,5.760994,1.000000,na,na,0.000100,0.001066,0.,2.880497,1.000000,na,na,0.000100,0.000870,0.002519,1.277247,0.200000,na,na,0.000100,0.000870,0.002519,0.255985,0.000100,502.1922,225.7586,0.0001,1.07,1372.795,39865.62,0.0001,1.07,19.24512,21.87816,0.0001,1.07,19.24512,21.87816,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.000100,0.,8.358778,1.000000,na,na,0.000100,0.000100,0.,4.179389,1.000000,na,na,0.000100,0.000945,0.002187,1.110169,0.200000,na,na,0.000100,0.000945,0.002187,0.185027,0.000100,0.185842,3289.861,0.0001,1.07,50000.00,2735.677,0.0001,1.07,21.04364,26.40666,0.0001,1.07,21.04364,26.40666,0.0001,1.07,0.5,0.1,0,0,1.07,20
