TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.010000,1,0.03,0.3,0,50,55.27450,5,0.5,2,0,550,328.8925,5,1,8,0,300,6.672000,6,0.5,1,0,100,0,0,0,0,na,na
A10003,0.005000,1,0.03,0.3,0,50,973.9945,5,0.5,2,0,550,334.9155,5,1,8,0,300,6.817000,6,0.5,1,0,100,0,0,0,0,na,na
A10005,0.120500,1,0.03,0.3,0,50,280.8725,5,0.5,2,0,550,305.1225,5,1,8,0,300,8.138500,6,0.5,1,0,100,0,0,0,0,na,na
A11001,0.002000,1,0.03,0.3,0,50,125.1920,5,0.5,2,0,550,245.7285,5,1,8,0,300,5.689500,6,0.5,1,0,100,0,0,0,0,na,na
A24001,0.003000,1,0.03,0.3,0,50,516.2200,5,0.5,2,0,550,241.9475,5,1,8,0,300,6.136000,6,0.5,1,0,100,0,0,0,0,na,na
A24003,0.004000,1,0.03,0.3,0,50,550.3580,5,0.5,2,0,550,323.1350,5,1,8,0,300,7.267000,6,0.5,1,0,100,0,0,0,0,na,na
A24005,0.002000,1,0.03,0.3,0,50,78.83250,5,0.5,2,0,550,382.3460,5,1,8,0,300,9.103000,6,0.5,1,0,100,0,0,0,0,na,na
A24009,0.002000,1,0.03,0.3,0,50,276.0680,5,0.5,2,0,550,359.4555,5,1,8,0,300,7.407000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.,1,0.03,0.3,0,50,260.8520,5,0.5,2,0,550,347.9715,5,1,8,0,300,7.242500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,0.003000,1,0.03,0.3,0,50,506.0105,5,0.5,2,0,550,353.1220,5,1,8,0,300,7.791000,6,0.5,1,0,100,0,0,0,0,na,na
A24015,0.008500,1,0.03,0.3,0,50,194.0370,5,0.5,2,0,550,352.4905,5,1,8,0,300,8.073999,6,0.5,1,0,100,0,0,0,0,na,na
A24017,0.007000,1,0.03,0.3,0,50,126.9765,5,0.5,2,0,550,54.79900,5,1,8,0,300,2.093500,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.,1,0.03,0.3,0,50,224.4880,5,0.5,2,0,550,187.0115,5,1,8,0,300,4.367000,6,0.5,1,0,100,0,0,0,0,na,na
A24021,0.002000,1,0.03,0.3,0,50,446.8835,5,0.5,2,0,550,328.8440,5,1,8,0,300,7.013500,6,0.5,1,0,100,0,0,0,0,na,na
A24023,0.,1,0.03,0.3,0,50,952.2375,5,0.5,2,0,550,326.3075,5,1,8,0,300,7.434000,6,0.5,1,0,100,0,0,0,0,na,na
A24025,0.004000,1,0.03,0.3,0,50,313.4665,5,0.5,2,0,550,392.0280,5,1,8,0,300,8.773500,6,0.5,1,0,100,0,0,0,0,na,na
A24027,0.003000,1,0.03,0.3,0,50,318.4860,5,0.5,2,0,550,375.2200,5,1,8,0,300,8.731501,6,0.5,1,0,100,0,0,0,0,na,na
A24029,0.004500,1,0.03,0.3,0,50,659.5305,5,0.5,2,0,550,336.0260,5,1,8,0,300,6.314500,6,0.5,1,0,100,0,0,0,0,na,na
A24031,0.002000,1,0.03,0.3,0,50,167.7890,5,0.5,2,0,550,380.8685,5,1,8,0,300,8.786500,6,0.5,1,0,100,0,0,0,0,na,na
A24033,0.005000,1,0.03,0.3,0,50,117.4310,5,0.5,2,0,550,280.0855,5,1,8,0,300,6.311500,6,0.5,1,0,100,0,0,0,0,na,na
A24035,0.009000,1,0.03,0.3,0,50,186.8540,5,0.5,2,0,550,352.4150,5,1,8,0,300,6.712000,6,0.5,1,0,100,0,0,0,0,na,na
A24037,0.007500,1,0.03,0.3,0,50,415.8855,5,0.5,2,0,550,178.5945,5,1,8,0,300,3.710000,6,0.5,1,0,100,0,0,0,0,na,na
A24039,1.664000,1,0.03,0.3,0,50,1686.227,5,0.5,2,0,550,191.1350,5,1,8,0,300,5.488000,6,0.5,1,0,100,0,0,0,0,na,na
A24041,0.012000,1,0.03,0.3,0,50,341.3900,5,0.5,2,0,550,246.7970,5,1,8,0,300,5.191000,6,0.5,1,0,100,0,0,0,0,na,na
A24043,0.,1,0.03,0.3,0,50,5.749000,5,0.5,2,0,550,345.4955,5,1,8,0,300,7.820500,6,0.5,1,0,100,0,0,0,0,na,na
A24045,2.305000,1,0.03,0.3,0,50,1896.986,5,0.5,2,0,550,138.6430,5,1,8,0,300,4.935000,6,0.5,1,0,100,0,0,0,0,na,na
A24047,0.523500,1,0.03,0.3,0,50,754.1675,5,0.5,2,0,550,122.7535,5,1,8,0,300,4.649000,6,0.5,1,0,100,0,0,0,0,na,na
A24510,0.002000,1,0.03,0.3,0,50,569.5695,5,0.5,2,0,550,374.3385,5,1,8,0,300,8.062000,6,0.5,1,0,100,0,0,0,0,na,na
A36003,0.,1,0.03,0.3,0,50,1673.213,5,0.5,2,0,550,196.2010,5,1,8,0,300,4.754500,6,0.5,1,0,100,0,0,0,0,na,na
A36007,0.,1,0.03,0.3,0,50,806.4555,5,0.5,2,0,550,307.2785,5,1,8,0,300,7.319500,6,0.5,1,0,100,0,0,0,0,na,na
A36015,0.001000,1,0.03,0.3,0,50,1103.218,5,0.5,2,0,550,192.8170,5,1,8,0,300,5.395500,6,0.5,1,0,100,0,0,0,0,na,na
A36017,0.,1,0.03,0.3,0,50,928.2890,5,0.5,2,0,550,368.0395,5,1,8,0,300,7.823000,6,0.5,1,0,100,0,0,0,0,na,na
