landseg,SORGN,UORGN,LROGN,AORGN
A24037,     0.000,   117.296,    60.665,     0.000
A24009,     0.000,    98.240,    80.632,     0.371
F24009,     0.000,    97.528,    80.668,     0.382
F24037,     0.000,   177.051,    79.435,     0.165
A24033,     0.000,    61.192,    67.626,     0.130
F24033,     0.000,    90.423,    77.281,     0.368
A24003,     0.000,   131.556,    78.253,     0.035
F24003,     0.000,   131.887,    78.248,     0.033
A24027,     0.000,   101.479,    73.824,     0.493
F24027,     0.000,    80.035,    73.498,     0.493
A24031,     0.000,    78.861,    74.563,     0.376
F24031,     0.000,    59.730,    74.019,     0.315
A51073,     0.000,   143.646,    82.621,     0.546
A51115,     0.000,   151.658,    82.404,     0.640
A51119,     0.000,   131.147,    81.571,     0.653
A51199,     0.000,    54.439,    58.097,     0.085
F51199,     0.000,    54.421,    58.097,     0.085
A51095,     0.000,    39.422,    60.935,     0.845
A51097,     0.000,    43.409,    68.664,     0.245
A51127,     0.000,    20.723,    22.521,     0.330
A51830,     0.000,    44.421,    63.156,     0.132
F51095,     0.000,    39.446,    60.981,     0.842
F51830,     0.000,    44.340,    63.060,     0.130
A51650,     0.000,    90.574,    39.071,     0.000
A51735,     0.000,    20.915,    82.410,     0.525
F51650,     0.000,    90.662,    39.181,     0.000
F51735,     0.000,    20.694,    82.408,     0.532
A51101,     0.000,    54.626,    70.376,     0.466
A51033,     0.000,    49.447,    56.938,     0.000
F51033,     0.000,    39.188,    37.884,     0.000
A51177,     0.000,    65.513,     8.806,     0.718
F51177,     0.000,    64.918,     8.264,     0.725
F51101,     0.000,   136.876,    81.612,     0.749
A51109,     0.000,    83.265,    11.053,     0.063
A51003,     0.000,    85.291,    39.988,     0.038
A51065,     0.000,    65.982,    25.001,     0.000
A51075,     0.000,   107.721,    29.541,     0.000
A51103,     0.000,   145.201,    81.707,     0.700
A51133,     0.000,   146.694,    80.893,     0.739
A51057,     0.000,    52.915,    78.990,     0.680
A51159,     0.000,    81.669,    79.977,     0.453
F51159,     0.000,   140.577,    81.677,     0.564
A51099,     0.000,   135.331,    82.780,     0.512
A51630,     0.000,    61.715,    39.753,     0.000
F51057,     0.000,   113.094,    79.888,     0.865
F51099,     0.000,   135.689,    82.765,     0.512
F51630,     0.000,   155.339,    79.690,     0.162
A51047,     0.000,   108.429,    65.482,     0.275
A51061,     0.000,    72.064,    13.569,     0.748
A51157,     0.000,   143.088,    80.715,     0.259
B51061,     0.000,   124.162,    78.593,     0.238
B51157,     0.000,   176.312,    81.515,     0.176
F51061,     0.000,   129.389,    60.844,     0.000
F51157,     0.000,   145.609,    80.617,     0.244
A51113,     0.000,   104.569,    76.174,     0.556
B51113,     0.000,   180.026,    81.282,     0.479
F51113,     0.000,   139.101,    80.446,     0.564
A51079,     0.000,    95.644,    61.483,     0.333
B51079,     0.000,   160.438,    79.724,     0.409
F51079,     0.000,   144.572,    80.269,     0.446
A51137,     0.000,    80.581,    30.036,     0.069
F51137,     0.000,    95.974,    38.480,     0.000
A24005,     0.000,    64.777,    75.800,     0.271
A24510,     0.000,   145.025,    77.011,     0.259
F24005,     0.000,    69.063,    76.141,     0.351
F24510,     0.000,   145.303,    77.009,     0.252
A24013,     0.000,   121.961,    74.756,     0.281
F24013,     0.000,   214.545,    73.654,     0.373
