TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.005013,0.057599,0,0.000501,0.005013,0.500000,0.000058,0.812E-06
A10003,1,0,0,1,0,1,0,1,0,0.002227,0.025591,0,0.000223,0.002227,0.500000,0.000026,0.596E-06
A10005,1,0,0,1,0,1,0,1,0,0.004816,0.055335,0,0.000482,0.004816,0.500000,0.000055,0.549E-06
A11001,1,0,0,1,0,1,0,1,0,0.005059,0.058120,0,0.000506,0.005059,0.500000,0.000058,0.103E-05
A24001,1,0,0,1,0,1,0,1,0,0.003752,0.043110,0,0.000375,0.003752,0.500000,0.000043,0.161E-05
A24003,1,0,0,1,0,1,0,1,0,0.002277,0.026159,0,0.000228,0.002277,0.500000,0.000026,0.653E-06
A24005,1,0,0,1,0,1,0,1,0,0.004999,0.057437,0,0.000500,0.004999,0.500000,0.000057,0.640E-06
A24009,1,0,0,1,0,1,0,1,0,0.002762,0.031733,0,0.000276,0.002762,0.500000,0.000032,0.804E-06
A24011,1,0,0,1,0,1,0,1,0,0.001927,0.022139,0,0.000193,0.001927,0.500000,0.000022,0.702E-06
A24013,1,0,0,1,0,1,0,1,0,0.003572,0.041042,0,0.000357,0.003572,0.500000,0.000041,0.862E-06
A24015,1,0,0,1,0,1,0,1,0,0.003762,0.043216,0,0.000376,0.003762,0.500000,0.000043,0.801E-06
A24017,1,0,0,1,0,1,0,1,0,0.002105,0.024185,0,0.000211,0.002105,0.500000,0.000024,0.105E-05
A24019,1,0,0,1,0,1,0,1,0,0.001750,0.020108,0,0.000175,0.001750,0.500000,0.000020,0.800E-06
A24021,1,0,0,1,0,1,0,1,0,0.003450,0.039637,0,0.000345,0.003450,0.500000,0.000040,0.865E-06
A24023,1,0,0,1,0,1,0,1,0,0.001705,0.019591,0,0.000171,0.001705,0.500000,0.000020,0.594E-06
A24025,1,0,0,1,0,1,0,1,0,0.003749,0.043071,0,0.000375,0.003749,0.500000,0.000043,0.576E-06
A24027,1,0,0,1,0,1,0,1,0,0.004123,0.047371,0,0.000412,0.004123,0.500000,0.000047,0.739E-06
A24029,1,0,0,1,0,1,0,1,0,0.002243,0.025770,0,0.000224,0.002243,0.500000,0.000026,0.604E-06
A24031,1,0,0,1,0,1,0,1,0,0.004760,0.054687,0,0.000476,0.004760,0.500000,0.000055,0.820E-06
A24033,1,0,0,1,0,1,0,1,0,0.003400,0.039062,0,0.000340,0.003400,0.500000,0.000039,0.100E-05
A24035,1,0,0,1,0,1,0,1,0,0.003399,0.039052,0,0.000340,0.003399,0.500000,0.000039,0.644E-06
A24037,1,0,0,1,0,1,0,1,0,0.002822,0.032426,0,0.000282,0.002822,0.500000,0.000032,0.109E-05
A24039,1,0,0,1,0,1,0,1,0,0.001685,0.019364,0,0.000169,0.001685,0.500000,0.000019,0.819E-06
A24041,1,0,0,1,0,1,0,1,0,0.001949,0.022395,0,0.000195,0.001949,0.500000,0.000022,0.676E-06
A24043,1,0,0,1,0,1,0,1,0,0.013225,0.151946,0,0.001323,0.013225,0.500000,0.000152,0.643E-06
A24045,1,0,0,1,0,1,0,1,0,0.002343,0.026920,0,0.000234,0.002343,0.500000,0.000027,0.981E-06
A24047,1,0,0,1,0,1,0,1,0,0.002308,0.026511,0,0.000231,0.002308,0.500000,0.000027,0.942E-06
A24510,1,0,0,1,0,1,0,1,0,0.003299,0.037903,0,0.000330,0.003299,0.500000,0.000038,0.556E-06
A36003,1,0,0,1,0,1,0,1,0,0.002198,0.025257,0,0.000220,0.002198,0.500000,0.000025,0.120E-05
A36007,1,0,0,1,0,1,0,1,0,0.002559,0.029400,0,0.000256,0.002559,0.500000,0.000029,0.722E-06
A36015,1,0,0,1,0,1,0,1,0,0.003147,0.036154,0,0.000315,0.003147,0.500000,0.000036,0.133E-05
A36017,1,0,0,1,0,1,0,1,0,0.002239,0.025719,0,0.000224,0.002239,0.500000,0.000026,0.581E-06
A36023,1,0,0,1,0,1,0,1,0,0.002513,0.028874,0,0.000251,0.002513,0.500000,0.000029,0.535E-06
A36025,1,0,0,1,0,1,0,1,0,0.002244,0.025783,0,0.000224,0.002244,0.500000,0.000026,0.674E-06
A36043,1,0,0,1,0,1,0,1,0,0.001980,0.022750,0,0.000198,0.001980,0.500000,0.000023,0.580E-06
A36051,1,0,0,1,0,1,0,1,0,0.002379,0.027335,0,0.000238,0.002379,0.500000,0.000027,0.810E-06
A36053,1,0,0,1,0,1,0,1,0,0.002697,0.030981,0,0.000270,0.002697,0.500000,0.000031,0.542E-06
A36065,1,0,0,1,0,1,0,1,0,0.002367,0.027195,0,0.000237,0.002367,0.500000,0.000027,0.541E-06
A36067,1,0,0,1,0,1,0,1,0,0.002930,0.033667,0,0.000293,0.002930,0.500000,0.000034,0.504E-06
A36069,1,0,0,1,0,1,0,1,0,0.002758,0.031691,0,0.000276,0.002758,0.500000,0.000032,0.861E-06
A36077,1,0,0,1,0,1,0,1,0,0.002377,0.027315,0,0.000238,0.002377,0.500000,0.000027,0.614E-06
A36095,1,0,0,1,0,1,0,1,0,0.002406,0.027641,0,0.000241,0.002406,0.500000,0.000028,0.582E-06
A36097,1,0,0,1,0,1,0,1,0,0.002389,0.027446,0,0.000239,0.002389,0.500000,0.000027,0.934E-06
A36101,1,0,0,1,0,1,0,1,0,0.003057,0.035122,0,0.000306,0.003057,0.500000,0.000035,0.110E-05
A36107,1,0,0,1,0,1,0,1,0,0.002603,0.029911,0,0.000260,0.002603,0.500000,0.000030,0.890E-06
A36109,1,0,0,1,0,1,0,1,0,0.002096,0.024082,0,0.000210,0.002096,0.500000,0.000024,0.845E-06
A36123,1,0,0,1,0,1,0,1,0,0.002582,0.029662,0,0.000258,0.002582,0.500000,0.000030,0.869E-06
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.002436,0.027987,0,0.000244,0.002436,0.500000,0.000028,0.145E-05
A42009,1,0,0,1,0,1,0,1,0,0.002657,0.030531,0,0.000266,0.002657,0.500000,0.000031,0.828E-06
A42011,1,0,0,1,0,1,0,1,0,0.001686,0.019375,0,0.000169,0.001686,0.500000,0.000019,0.705E-06
A42013,1,0,0,1,0,1,0,1,0,0.003081,0.035393,0,0.000308,0.003081,0.500000,0.000035,0.665E-06
A42015,1,0,0,1,0,1,0,1,0,0.002938,0.033757,0,0.000294,0.002938,0.500000,0.000034,0.981E-06
A42021,1,0,0,1,0,1,0,1,0,0.002046,0.023508,0,0.000205,0.002046,0.500000,0.000024,0.602E-06
A42023,1,0,0,1,0,1,0,1,0,0.001714,0.019696,0,0.000171,0.001714,0.500000,0.000020,0.678E-06
A42025,1,0,0,1,0,1,0,1,0,0.001215,0.013963,0,0.000122,0.001215,0.500000,0.000014,0.748E-06
A42027,1,0,0,1,0,1,0,1,0,0.004397,0.050520,0,0.000440,0.004397,0.500000,0.000051,0.568E-06
A42029,1,0,0,1,0,1,0,1,0,0.002942,0.033806,0,0.000294,0.002942,0.500000,0.000034,0.692E-06
