TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.119932,0.267598,0,0.011994,0.119932,0.500000,0.000268,0.017007
A10003,1,0,0,1,0,1,0,1,0,0.101738,0.227002,0,0.010174,0.101738,0.500000,0.000227,0.015195
A10005,1,0,0,1,0,1,0,1,0,0.115362,0.257400,0,0.011537,0.115362,0.500000,0.000257,0.011490
A11001,1,0,0,1,0,1,0,1,0,0.114861,0.256284,0,0.011487,0.114861,0.500000,0.000256,0.021704
A24001,1,0,0,1,0,1,0,1,0,0.099308,0.221580,0,0.009931,0.099308,0.500000,0.000222,0.037083
A24003,1,0,0,1,0,1,0,1,0,0.103321,0.230534,0,0.010333,0.103321,0.500000,0.000231,0.016230
A24005,1,0,0,1,0,1,0,1,0,0.122622,0.273599,0,0.012263,0.122622,0.500000,0.000274,0.013395
A24009,1,0,0,1,0,1,0,1,0,0.114938,0.256456,0,0.011494,0.114938,0.500000,0.000256,0.017990
A24011,1,0,0,1,0,1,0,1,0,0.104142,0.232366,0,0.010415,0.104142,0.500000,0.000232,0.016709
A24013,1,0,0,1,0,1,0,1,0,0.109510,0.244343,0,0.010951,0.109510,0.500000,0.000244,0.019443
A24015,1,0,0,1,0,1,0,1,0,0.112493,0.250999,0,0.011250,0.112493,0.500000,0.000251,0.017733
A24017,1,0,0,1,0,1,0,1,0,0.112483,0.250977,0,0.011249,0.112483,0.500000,0.000251,0.024342
A24019,1,0,0,1,0,1,0,1,0,0.102032,0.227660,0,0.010204,0.102032,0.500000,0.000228,0.019015
A24021,1,0,0,1,0,1,0,1,0,0.111259,0.248246,0,0.011126,0.111259,0.500000,0.000248,0.019547
A24023,1,0,0,1,0,1,0,1,0,0.102861,0.229508,0,0.010287,0.102861,0.500000,0.000230,0.014404
A24025,1,0,0,1,0,1,0,1,0,0.114129,0.254649,0,0.011413,0.114129,0.500000,0.000255,0.012794
A24027,1,0,0,1,0,1,0,1,0,0.114988,0.256568,0,0.011499,0.114988,0.500000,0.000257,0.016317
A24029,1,0,0,1,0,1,0,1,0,0.108407,0.241883,0,0.010841,0.108407,0.500000,0.000242,0.014786
A24031,1,0,0,1,0,1,0,1,0,0.119724,0.267134,0,0.011973,0.119724,0.500000,0.000267,0.017478
A24033,1,0,0,1,0,1,0,1,0,0.110758,0.247129,0,0.011076,0.110758,0.500000,0.000247,0.021687
A24035,1,0,0,1,0,1,0,1,0,0.118943,0.265390,0,0.011895,0.118943,0.500000,0.000265,0.014409
A24037,1,0,0,1,0,1,0,1,0,0.105088,0.234477,0,0.010509,0.105088,0.500000,0.000234,0.026165
A24039,1,0,0,1,0,1,0,1,0,0.101285,0.225993,0,0.010129,0.101285,0.500000,0.000226,0.019198
A24041,1,0,0,1,0,1,0,1,0,0.105917,0.236328,0,0.010592,0.105917,0.500000,0.000236,0.016033
A24043,1,0,0,1,0,1,0,1,0,0.128674,0.287103,0,0.012868,0.128674,0.500000,0.000287,0.012007
A24045,1,0,0,1,0,1,0,1,0,0.106520,0.237671,0,0.010652,0.106520,0.500000,0.000238,0.021595
A24047,1,0,0,1,0,1,0,1,0,0.106841,0.238390,0,0.010685,0.106841,0.500000,0.000238,0.020808
A24510,1,0,0,1,0,1,0,1,0,0.110688,0.246971,0,0.011069,0.110688,0.500000,0.000247,0.013156
A36003,1,0,0,1,0,1,0,1,0,0.103221,0.230312,0,0.010323,0.103221,0.500000,0.000230,0.029270
A36007,1,0,0,1,0,1,0,1,0,0.104496,0.233157,0,0.010450,0.104496,0.500000,0.000233,0.016884
A36015,1,0,0,1,0,1,0,1,0,0.102006,0.227600,0,0.010201,0.102006,0.500000,0.000228,0.029758
A36017,1,0,0,1,0,1,0,1,0,0.103518,0.230975,0,0.010352,0.103518,0.500000,0.000231,0.013832
A36023,1,0,0,1,0,1,0,1,0,0.107101,0.238968,0,0.010711,0.107101,0.500000,0.000239,0.012299
A36025,1,0,0,1,0,1,0,1,0,0.110683,0.246961,0,0.011069,0.110683,0.500000,0.000247,0.015422
A36043,1,0,0,1,0,1,0,1,0,0.109882,0.245174,0,0.010989,0.109882,0.500000,0.000245,0.013362
A36051,1,0,0,1,0,1,0,1,0,0.113996,0.254352,0,0.011400,0.113996,0.500000,0.000254,0.019388
A36053,1,0,0,1,0,1,0,1,0,0.119587,0.266828,0,0.011959,0.119587,0.500000,0.000267,0.011551
A36065,1,0,0,1,0,1,0,1,0,0.117603,0.262401,0,0.011761,0.117603,0.500000,0.000262,0.011975
A36067,1,0,0,1,0,1,0,1,0,0.114415,0.255287,0,0.011442,0.114415,0.500000,0.000255,0.011018
A36069,1,0,0,1,0,1,0,1,0,0.116846,0.260713,0,0.011685,0.116846,0.500000,0.000261,0.020033
A36077,1,0,0,1,0,1,0,1,0,0.108635,0.242392,0,0.010864,0.108635,0.500000,0.000242,0.014258
A36095,1,0,0,1,0,1,0,1,0,0.113652,0.253586,0,0.011366,0.113652,0.500000,0.000254,0.013505
A36097,1,0,0,1,0,1,0,1,0,0.110577,0.246724,0,0.011058,0.110577,0.500000,0.000247,0.021909
A36101,1,0,0,1,0,1,0,1,0,0.117156,0.261405,0,0.011716,0.117156,0.500000,0.000261,0.024717
A36107,1,0,0,1,0,1,0,1,0,0.100703,0.224694,0,0.010071,0.100703,0.500000,0.000225,0.021056
A36109,1,0,0,1,0,1,0,1,0,0.096890,0.216186,0,0.009689,0.096890,0.500000,0.000216,0.020654
A36123,1,0,0,1,0,1,0,1,0,0.112911,0.251932,0,0.011292,0.112911,0.500000,0.000252,0.020311
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.097926,0.218497,0,0.009793,0.097926,0.500000,0.000218,0.035295
A42009,1,0,0,1,0,1,0,1,0,0.108337,0.241727,0,0.010834,0.108337,0.500000,0.000242,0.018522
A42011,1,0,0,1,0,1,0,1,0,0.093297,0.208169,0,0.009330,0.093297,0.500000,0.000208,0.018227
A42013,1,0,0,1,0,1,0,1,0,0.105373,0.235114,0,0.010538,0.105373,0.500000,0.000235,0.015736
A42015,1,0,0,1,0,1,0,1,0,0.101221,0.225848,0,0.010123,0.101221,0.500000,0.000226,0.022790
A42021,1,0,0,1,0,1,0,1,0,0.107912,0.240778,0,0.010792,0.107912,0.500000,0.000241,0.014428
A42023,1,0,0,1,0,1,0,1,0,0.101734,0.226993,0,0.010174,0.101734,0.500000,0.000227,0.016256
A42025,1,0,0,1,0,1,0,1,0,0.092510,0.206413,0,0.009251,0.092510,0.500000,0.000206,0.019846
A42027,1,0,0,1,0,1,0,1,0,0.127325,0.284093,0,0.012733,0.127325,0.500000,0.000284,0.012016
A42029,1,0,0,1,0,1,0,1,0,0.107163,0.239108,0,0.010717,0.107163,0.500000,0.000239,0.015900
A42033,1,0,0,1,0,1,0,1,0,0.108380,0.241823,0,0.010838,0.108380,0.500000,0.000242,0.013082
A42035,1,0,0,1,0,1,0,1,0,0.109920,0.245259,0,0.010993,0.109920,0.500000,0.000245,0.013200
A42037,1,0,0,1,0,1,0,1,0,0.106141,0.236826,0,0.010615,0.106141,0.500000,0.000237,0.014627
A42041,1,0,0,1,0,1,0,1,0,0.113016,0.252167,0,0.011302,0.113016,0.500000,0.000252,0.016328
A42043,1,0,0,1,0,1,0,1,0,0.101644,0.226792,0,0.010165,0.101644,0.500000,0.000227,0.021266
A42047,1,0,0,1,0,1,0,1,0,0.103711,0.231404,0,0.010372,0.103711,0.500000,0.000231,0.016542
A42055,1,0,0,1,0,1,0,1,0,0.121516,0.271133,0,0.012152,0.121516,0.500000,0.000271,0.014073
A42057,1,0,0,1,0,1,0,1,0,0.098948,0.220777,0,0.009895,0.098948,0.500000,0.000221,0.028651
A42061,1,0,0,1,0,1,0,1,0,0.100646,0.224566,0,0.010065,0.100646,0.500000,0.000225,0.019971
A42063,1,0,0,1,0,1,0,1,0,0.096799,0.215982,0,0.009680,0.096799,0.500000,0.000216,0.016032
A42065,1,0,0,1,0,1,0,1,0,0.096880,0.216164,0,0.009688,0.096880,0.500000,0.000216,0.016543
A42067,1,0,0,1,0,1,0,1,0,0.104656,0.233514,0,0.010466,0.104656,0.500000,0.000234,0.020056
A42069,1,0,0,1,0,1,0,1,0,0.116034,0.258900,0,0.011604,0.116034,0.500000,0.000259,0.013268
A42071,1,0,0,1,0,1,0,1,0,0.118682,0.264810,0,0.011869,0.118682,0.500000,0.000265,0.013957
A42075,1,0,0,1,0,1,0,1,0,0.122787,0.273967,0,0.012279,0.122787,0.500000,0.000274,0.011311
A42079,1,0,0,1,0,1,0,1,0,0.105150,0.234615,0,0.010515,0.105150,0.500000,0.000235,0.014772
A42081,1,0,0,1,0,1,0,1,0,0.102335,0.228334,0,0.010234,0.102335,0.500000,0.000228,0.013354
A42083,1,0,0,1,0,1,0,1,0,0.097184,0.216840,0,0.009719,0.097184,0.500000,0.000217,0.017120
A42087,1,0,0,1,0,1,0,1,0,0.100407,0.224034,0,0.010041,0.100407,0.500000,0.000224,0.016741
A42093,1,0,0,1,0,1,0,1,0,0.096514,0.215346,0,0.009652,0.096514,0.500000,0.000215,0.030280
A42097,1,0,0,1,0,1,0,1,0,0.122324,0.272935,0,0.012233,0.122324,0.500000,0.000273,0.011748
A42099,1,0,0,1,0,1,0,1,0,0.100512,0.224267,0,0.010052,0.100512,0.500000,0.000224,0.017660
A42105,1,0,0,1,0,1,0,1,0,0.103470,0.230867,0,0.010347,0.103470,0.500000,0.000231,0.016561
A42107,1,0,0,1,0,1,0,1,0,0.100347,0.223900,0,0.010035,0.100347,0.500000,0.000224,0.013486
A42109,1,0,0,1,0,1,0,1,0,0.098796,0.220438,0,0.009880,0.098796,0.500000,0.000220,0.019308
A42111,1,0,0,1,0,1,0,1,0,0.100304,0.223803,0,0.010031,0.100304,0.500000,0.000224,0.016530
A42113,1,0,0,1,0,1,0,1,0,0.097556,0.217671,0,0.009756,0.097556,0.500000,0.000218,0.014012
A42115,1,0,0,1,0,1,0,1,0,0.098773,0.220387,0,0.009878,0.098773,0.500000,0.000220,0.015815
A42117,1,0,0,1,0,1,0,1,0,0.104820,0.233880,0,0.010483,0.104820,0.500000,0.000234,0.019649
A42119,1,0,0,1,0,1,0,1,0,0.097249,0.216986,0,0.009725,0.097249,0.500000,0.000217,0.014450
A42127,1,0,0,1,0,1,0,1,0,0.104849,0.233944,0,0.010485,0.104849,0.500000,0.000234,0.012835
A42131,1,0,0,1,0,1,0,1,0,0.104432,0.233014,0,0.010444,0.104432,0.500000,0.000233,0.020137
A42133,1,0,0,1,0,1,0,1,0,0.119621,0.266903,0,0.011963,0.119621,0.500000,0.000267,0.017169
A47091,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A47163,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51001,1,0,0,1,0,1,0,1,0,0.098693,0.220209,0,0.009870,0.098693,0.500000,0.000220,0.019662
A51003,1,0,0,1,0,1,0,1,0,0.113500,0.253246,0,0.011350,0.113500,0.500000,0.000253,0.018344
A51005,1,0,0,1,0,1,0,1,0,0.101139,0.225665,0,0.010114,0.101139,0.500000,0.000226,0.024307
A51007,1,0,0,1,0,1,0,1,0,0.101655,0.226817,0,0.010166,0.101655,0.500000,0.000227,0.037582
A51009,1,0,0,1,0,1,0,1,0,0.117704,0.262626,0,0.011771,0.117704,0.500000,0.000263,0.014813
A51011,1,0,0,1,0,1,0,1,0,0.103979,0.232003,0,0.010398,0.103979,0.500000,0.000232,0.023683
A51013,1,0,0,1,0,1,0,1,0,0.099329,0.221628,0,0.009933,0.099329,0.500000,0.000222,0.020358
A51015,1,0,0,1,0,1,0,1,0,0.118173,0.263673,0,0.011818,0.118173,0.500000,0.000264,0.016046
A51017,1,0,0,1,0,1,0,1,0,0.105105,0.234516,0,0.010511,0.105105,0.500000,0.000235,0.021093
A51019,1,0,0,1,0,1,0,1,0,0.107300,0.239412,0,0.010730,0.107300,0.500000,0.000239,0.020970
A51021,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51023,1,0,0,1,0,1,0,1,0,0.104252,0.232611,0,0.010426,0.104252,0.500000,0.000233,0.021085
A51025,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51027,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51029,1,0,0,1,0,1,0,1,0,0.104898,0.234054,0,0.010490,0.104898,0.500000,0.000234,0.028071
A51031,1,0,0,1,0,1,0,1,0,0.104054,0.232169,0,0.010406,0.104054,0.500000,0.000232,0.025169
A51033,1,0,0,1,0,1,0,1,0,0.111812,0.249480,0,0.011182,0.111812,0.500000,0.000249,0.021672
A51035,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51036,1,0,0,1,0,1,0,1,0,0.111944,0.249774,0,0.011195,0.111944,0.500000,0.000250,0.022694
A51037,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51041,1,0,0,1,0,1,0,1,0,0.109950,0.245326,0,0.010996,0.109950,0.500000,0.000245,0.026577
A51043,1,0,0,1,0,1,0,1,0,0.113463,0.253164,0,0.011347,0.113463,0.500000,0.000253,0.027920
A51045,1,0,0,1,0,1,0,1,0,0.107863,0.240668,0,0.010787,0.107863,0.500000,0.000241,0.016909
A51047,1,0,0,1,0,1,0,1,0,0.113199,0.252575,0,0.011320,0.113199,0.500000,0.000253,0.018731
A51049,1,0,0,1,0,1,0,1,0,0.105973,0.236451,0,0.010598,0.105973,0.500000,0.000236,0.029386
A51051,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51053,1,0,0,1,0,1,0,1,0,0.100761,0.224822,0,0.010077,0.100761,0.500000,0.000225,0.033660
