TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A10001,1,0,1,0,0.048189,0.200000,0.004819,0.048189,0.500000
A10003,1,0,1,0,0.050879,0.200000,0.005088,0.050879,0.500000
A10005,1,0,1,0,0.050118,0.200000,0.005012,0.050118,0.500000
A11001,1,0,1,0,0.046271,0.200000,0.004627,0.046271,0.500000
A24001,1,0,1,0,0.042479,0.200000,0.004248,0.042479,0.500000
A24003,1,0,1,0,0.049164,0.200000,0.004916,0.049164,0.500000
A24005,1,0,1,0,0.048060,0.200000,0.004806,0.048060,0.500000
A24009,1,0,1,0,0.049126,0.200000,0.004913,0.049126,0.500000
A24011,1,0,1,0,0.050375,0.200000,0.005038,0.050375,0.500000
A24013,1,0,1,0,0.047096,0.200000,0.004710,0.047096,0.500000
A24015,1,0,1,0,0.049225,0.200000,0.004922,0.049225,0.500000
A24017,1,0,1,0,0.046170,0.200000,0.004617,0.046170,0.500000
A24019,1,0,1,0,0.050252,0.200000,0.005025,0.050252,0.500000
A24021,1,0,1,0,0.045137,0.200000,0.004514,0.045137,0.500000
A24023,1,0,1,0,0.055192,0.200000,0.005519,0.055192,0.500000
A24025,1,0,1,0,0.050556,0.200000,0.005056,0.050556,0.500000
A24027,1,0,1,0,0.047518,0.200000,0.004752,0.047518,0.500000
A24029,1,0,1,0,0.050085,0.200000,0.005008,0.050085,0.500000
A24031,1,0,1,0,0.045003,0.200000,0.004500,0.045003,0.500000
A24033,1,0,1,0,0.045841,0.200000,0.004584,0.045841,0.500000
A24035,1,0,1,0,0.049293,0.200000,0.004929,0.049293,0.500000
A24037,1,0,1,0,0.047504,0.200000,0.004750,0.047504,0.500000
A24039,1,0,1,0,0.052175,0.200000,0.005218,0.052175,0.500000
A24041,1,0,1,0,0.050518,0.200000,0.005052,0.050518,0.500000
A24043,1,0,1,0,0.043142,0.200000,0.004314,0.043142,0.500000
A24045,1,0,1,0,0.050819,0.200000,0.005082,0.050819,0.500000
A24047,1,0,1,0,0.050375,0.200000,0.005038,0.050375,0.500000
A24510,1,0,1,0,0.049592,0.200000,0.004959,0.049592,0.500000
A36003,1,0,1,0,0.042647,0.200000,0.004265,0.042647,0.500000
A36007,1,0,1,0,0.045315,0.200000,0.004532,0.045315,0.500000
A36015,1,0,1,0,0.041019,0.200000,0.004102,0.041019,0.500000
A36017,1,0,1,0,0.049496,0.200000,0.004950,0.049496,0.500000
A36023,1,0,1,0,0.049690,0.200000,0.004969,0.049690,0.500000
A36025,1,0,1,0,0.047082,0.200000,0.004708,0.047082,0.500000
A36043,1,0,1,0,0.053942,0.200000,0.005394,0.053942,0.500000
A36051,1,0,1,0,0.042425,0.200000,0.004242,0.042425,0.500000
A36053,1,0,1,0,0.050786,0.200000,0.005079,0.050786,0.500000
A36065,1,0,1,0,0.053156,0.200000,0.005316,0.053156,0.500000
A36067,1,0,1,0,0.050575,0.200000,0.005058,0.050575,0.500000
A36069,1,0,1,0,0.040712,0.200000,0.004071,0.040712,0.500000
A36077,1,0,1,0,0.046978,0.200000,0.004698,0.046978,0.500000
A36095,1,0,1,0,0.048121,0.200000,0.004812,0.048121,0.500000
A36097,1,0,1,0,0.041882,0.200000,0.004188,0.041882,0.500000
A36101,1,0,1,0,0.037359,0.200000,0.003736,0.037359,0.500000
A36107,1,0,1,0,0.043055,0.200000,0.004305,0.043055,0.500000
A36109,1,0,1,0,0.046849,0.200000,0.004685,0.046849,0.500000
A36123,1,0,1,0,0.041115,0.200000,0.004112,0.041115,0.500000
A37001,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37005,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37009,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37033,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37067,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37077,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37081,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37131,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37135,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37145,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37157,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37169,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37171,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37181,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37185,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A37189,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A42001,1,0,1,0,0.047795,0.200000,0.004779,0.047795,0.500000
A42009,1,0,1,0,0.044329,0.200000,0.004433,0.044329,0.500000
A42011,1,0,1,0,0.053049,0.200000,0.005305,0.053049,0.500000
A42013,1,0,1,0,0.046427,0.200000,0.004643,0.046427,0.500000
A42015,1,0,1,0,0.042578,0.200000,0.004258,0.042578,0.500000
A42021,1,0,1,0,0.051951,0.200000,0.005195,0.051951,0.500000
A42023,1,0,1,0,0.054655,0.200000,0.005465,0.054655,0.500000
A42025,1,0,1,0,0.065071,0.200000,0.006507,0.065071,0.500000
A42027,1,0,1,0,0.047033,0.200000,0.004703,0.047033,0.500000
A42029,1,0,1,0,0.052285,0.200000,0.005228,0.052285,0.500000
A42033,1,0,1,0,0.049649,0.200000,0.004965,0.049649,0.500000
A42035,1,0,1,0,0.052238,0.200000,0.005224,0.052238,0.500000
A42037,1,0,1,0,0.050879,0.200000,0.005088,0.050879,0.500000
A42041,1,0,1,0,0.046293,0.200000,0.004629,0.046293,0.500000
A42043,1,0,1,0,0.047071,0.200000,0.004707,0.047071,0.500000
A42047,1,0,1,0,0.053356,0.200000,0.005336,0.053356,0.500000
A42055,1,0,1,0,0.046542,0.200000,0.004654,0.046542,0.500000
A42057,1,0,1,0,0.043819,0.200000,0.004382,0.043819,0.500000
A42061,1,0,1,0,0.044781,0.200000,0.004478,0.044781,0.500000
A42063,1,0,1,0,0.050674,0.200000,0.005067,0.050674,0.500000
A42065,1,0,1,0,0.050474,0.200000,0.005047,0.050474,0.500000
A42067,1,0,1,0,0.045471,0.200000,0.004547,0.045471,0.500000
A42069,1,0,1,0,0.049422,0.200000,0.004942,0.049422,0.500000
A42071,1,0,1,0,0.047288,0.200000,0.004729,0.047288,0.500000
A42075,1,0,1,0,0.048964,0.200000,0.004896,0.048964,0.500000
A42079,1,0,1,0,0.050501,0.200000,0.005050,0.050501,0.500000
A42081,1,0,1,0,0.047951,0.200000,0.004795,0.047951,0.500000
A42083,1,0,1,0,0.058249,0.200000,0.005825,0.058249,0.500000
A42087,1,0,1,0,0.047340,0.200000,0.004734,0.047340,0.500000
A42093,1,0,1,0,0.047033,0.200000,0.004703,0.047033,0.500000
A42097,1,0,1,0,0.048112,0.200000,0.004811,0.048112,0.500000
A42099,1,0,1,0,0.047277,0.200000,0.004728,0.047277,0.500000
A42105,1,0,1,0,0.050151,0.200000,0.005015,0.050151,0.500000
A42107,1,0,1,0,0.053614,0.200000,0.005361,0.053614,0.500000
A42109,1,0,1,0,0.047863,0.200000,0.004786,0.047863,0.500000
A42111,1,0,1,0,0.049008,0.200000,0.004901,0.049008,0.500000
A42113,1,0,1,0,0.051216,0.200000,0.005122,0.051216,0.500000
A42115,1,0,1,0,0.051400,0.200000,0.005140,0.051400,0.500000
A42117,1,0,1,0,0.041548,0.200000,0.004155,0.041548,0.500000
A42119,1,0,1,0,0.051397,0.200000,0.005140,0.051397,0.500000
A42127,1,0,1,0,0.057970,0.200000,0.005797,0.057970,0.500000
A42131,1,0,1,0,0.043959,0.200000,0.004396,0.043959,0.500000
A42133,1,0,1,0,0.046923,0.200000,0.004692,0.046923,0.500000
A47091,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A47163,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51001,1,0,1,0,0.051660,0.200000,0.005166,0.051660,0.500000
A51003,1,0,1,0,0.050381,0.200000,0.005038,0.050381,0.500000
A51005,1,0,1,0,0.042238,0.200000,0.004224,0.042238,0.500000
A51007,1,0,1,0,0.048597,0.200000,0.004860,0.048597,0.500000
A51009,1,0,1,0,0.047748,0.200000,0.004775,0.047748,0.500000
A51011,1,0,1,0,0.048562,0.200000,0.004856,0.048562,0.500000
A51013,1,0,1,0,0.048567,0.200000,0.004857,0.048567,0.500000
A51015,1,0,1,0,0.044430,0.200000,0.004443,0.044430,0.500000
A51017,1,0,1,0,0.045416,0.200000,0.004542,0.045416,0.500000
A51019,1,0,1,0,0.048340,0.200000,0.004834,0.048340,0.500000
A51021,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51023,1,0,1,0,0.044181,0.200000,0.004418,0.044181,0.500000
A51025,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51027,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51029,1,0,1,0,0.046562,0.200000,0.004656,0.046562,0.500000
A51031,1,0,1,0,0.047096,0.200000,0.004710,0.047096,0.500000
A51033,1,0,1,0,0.045932,0.200000,0.004593,0.045932,0.500000
A51035,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51036,1,0,1,0,0.049148,0.200000,0.004915,0.049148,0.500000
A51037,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51041,1,0,1,0,0.046197,0.200000,0.004620,0.046197,0.500000
A51043,1,0,1,0,0.042477,0.200000,0.004248,0.042477,0.500000
A51045,1,0,1,0,0.042066,0.200000,0.004207,0.042066,0.500000
A51047,1,0,1,0,0.046756,0.200000,0.004676,0.046756,0.500000
A51049,1,0,1,0,0.046367,0.200000,0.004637,0.046367,0.500000
A51051,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51053,1,0,1,0,0.048945,0.200000,0.004895,0.048945,0.500000
A51057,1,0,1,0,0.047005,0.200000,0.004701,0.047005,0.500000
A51059,1,0,1,0,0.045778,0.200000,0.004578,0.045778,0.500000
A51061,1,0,1,0,0.045156,0.200000,0.004516,0.045156,0.500000
A51063,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51065,1,0,1,0,0.046923,0.200000,0.004692,0.046923,0.500000
A51067,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51069,1,0,1,0,0.041397,0.200000,0.004140,0.041397,0.500000
A51071,1,0,1,0,0.043266,0.200000,0.004327,0.043266,0.500000
A51073,1,0,1,0,0.053685,0.200000,0.005368,0.053685,0.500000
A51075,1,0,1,0,0.046214,0.200000,0.004621,0.046214,0.500000
A51077,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51079,1,0,1,0,0.051679,0.200000,0.005168,0.051679,0.500000
A51081,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51083,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51085,1,0,1,0,0.045764,0.200000,0.004576,0.045764,0.500000
A51087,1,0,1,0,0.046510,0.200000,0.004651,0.046510,0.500000
A51089,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51091,1,0,1,0,0.048332,0.200000,0.004833,0.048332,0.500000
A51093,1,0,1,0,0.051296,0.200000,0.005130,0.051296,0.500000
A51095,1,0,1,0,0.052729,0.200000,0.005273,0.052729,0.500000
A51097,1,0,1,0,0.047203,0.200000,0.004720,0.047203,0.500000
A51099,1,0,1,0,0.048800,0.200000,0.004880,0.048800,0.500000
A51101,1,0,1,0,0.046523,0.200000,0.004652,0.046523,0.500000
A51103,1,0,1,0,0.050690,0.200000,0.005069,0.050690,0.500000
A51105,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51107,1,0,1,0,0.044468,0.200000,0.004447,0.044468,0.500000
A51109,1,0,1,0,0.046762,0.200000,0.004676,0.046762,0.500000
A51111,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51113,1,0,1,0,0.048888,0.200000,0.004889,0.048888,0.500000
A51115,1,0,1,0,0.052981,0.200000,0.005298,0.052981,0.500000
A51117,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51119,1,0,1,0,0.051255,0.200000,0.005125,0.051255,0.500000
A51121,1,0,1,0,0.042282,0.200000,0.004228,0.042282,0.500000
A51125,1,0,1,0,0.049666,0.200000,0.004967,0.049666,0.500000
A51127,1,0,1,0,0.048063,0.200000,0.004806,0.048063,0.500000
A51131,1,0,1,0,0.051918,0.200000,0.005192,0.051918,0.500000
A51133,1,0,1,0,0.049882,0.200000,0.004988,0.049882,0.500000
A51135,1,0,1,0,0.049027,0.200000,0.004903,0.049027,0.500000
A51137,1,0,1,0,0.047896,0.200000,0.004790,0.047896,0.500000
A51139,1,0,1,0,0.042058,0.200000,0.004206,0.042058,0.500000
A51141,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51143,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51145,1,0,1,0,0.047622,0.200000,0.004762,0.047622,0.500000
A51147,1,0,1,0,0.046641,0.200000,0.004664,0.046641,0.500000
A51149,1,0,1,0,0.048825,0.200000,0.004882,0.048825,0.500000
A51153,1,0,1,0,0.045151,0.200000,0.004515,0.045151,0.500000
A51155,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51157,1,0,1,0,0.047249,0.200000,0.004725,0.047249,0.500000
A51159,1,0,1,0,0.047510,0.200000,0.004751,0.047510,0.500000
A51161,1,0,1,0,0.043611,0.200000,0.004361,0.043611,0.500000
A51163,1,0,1,0,0.046192,0.200000,0.004619,0.046192,0.500000
A51165,1,0,1,0,0.041049,0.200000,0.004105,0.041049,0.500000
A51167,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51169,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51171,1,0,1,0,0.040989,0.200000,0.004099,0.040989,0.500000
A51173,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51175,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51177,1,0,1,0,0.046904,0.200000,0.004690,0.046904,0.500000
A51179,1,0,1,0,0.046556,0.200000,0.004656,0.046556,0.500000
A51181,1,0,1,0,0.051584,0.200000,0.005158,0.051584,0.500000
A51183,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51185,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51187,1,0,1,0,0.041767,0.200000,0.004177,0.041767,0.500000
A51191,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51193,1,0,1,0,0.047567,0.200000,0.004757,0.047567,0.500000
A51195,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51197,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51199,1,0,1,0,0.053074,0.200000,0.005307,0.053074,0.500000
A51510,1,0,1,0,0.045910,0.200000,0.004591,0.045910,0.500000
A51515,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51520,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51530,1,0,1,0,0.047433,0.200000,0.004743,0.047433,0.500000
A51540,1,0,1,0,0.051888,0.200000,0.005189,0.051888,0.500000
A51550,1,0,1,0,0.053266,0.200000,0.005327,0.053266,0.500000
A51570,1,0,1,0,0.049545,0.200000,0.004955,0.049545,0.500000
A51580,1,0,1,0,0.042293,0.200000,0.004229,0.042293,0.500000
A51590,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51595,1,0,1,0,0.01,0.5,0.01,0.1,0.64
A51600,1,0,1,0,0.048630,0.200000,0.004863,0.048630,0.500000
