lseg, evap fac ***
 A10001,  1.24109626
 A10003,  0.75
 A10005,  1.02870107
 A11001,  1.25
 A24001,  1.14852095
 A24003,  1.06837606
 A24005,  1.14269304
 A24009,  1.11919427
 A24011,  1.07816708
 A24013,  1.18843365
 A24015,  1.19688809
 A24017,  1.0722307
 A24019,  0.75
 A24021,  1.10987794
 A24023,  1.05850828
 A24025,  1.05688512
 A24027,  1.1361438
 A24029,  0.75
 A24031,  1.19121385
 A24033,  1.18874216
 A24035,  1.03252447
 A24037,  1.12841666
 A24039,  0.75
 A24041,  0.75
 A24043,  1.15509546
 A24045,  1.07649899
 A24047,  1.07733762
 A24510,  0.75
 A36003,  1.20992136
 A36007,  1.04424012
 A36015,  1.09967387
 A36017,  1.03839004
 A36023,  1.02806377
 A36025,  1.00753772
 A36043,  1.03598452
 A36051,  1.14250398
 A36053,  1.08762085
 A36065,  1.09029245
 A36067,  1.03093314
 A36069,  1.14250398
 A36077,  0.998263955
 A36095,  1.00699532
 A36097,  1.14604127
 A36101,  1.16033268
 A36107,  1.04664135
 A36109,  1.046592
 A36123,  1.14250398
 A37001,  0.75
 A37005,  1.11635566
 A37009,  1.07569122
 A37033,  1.15942025
 A37067,  1.17469192
 A37077,  0.75
 A37081,  1.17469192
 A37131,  1.23152709
 A37135,  0.75
 A37145,  1.15942025
 A37157,  1.16262233
 A37169,  1.1514374
 A37171,  1.07405901
 A37181,  0.75
 A37185,  0.75
 A37189,  1.03012586
 A42001,  1.12729347
 A42009,  1.04823482
 A42011,  1.03815556
 A42013,  1.04792666
 A42015,  1.08106613
 A42021,  1.05089855
 A42023,  1.18393016
 A42025,  1.07349157
 A42027,  1.22885811
 A42029,  1.19688809
 A42033,  1.05579042
 A42035,  1.08363485
 A42037,  1.01805484
 A42041,  1.07882953
 A42043,  1.12875855
 A42047,  1.15953362
 A42055,  1.11601067
 A42057,  1.09218073
 A42061,  1.060251
 A42063,  1.02915156
 A42065,  1.02915156
 A42067,  1.0742836
 A42069,  1.23421299
 A42071,  1.13430774
 A42075,  1.06783724
 A42079,  1.07751107
 A42081,  1.00799704
 A42083,  1.20428836
 A42087,  1.05944777
 A42093,  1.05263162
 A42097,  1.02724135
 A42099,  1.01061141
 A42105,  1.1243397
 A42107,  1.05136478
 A42109,  1.06647205
 A42111,  1.05492043
 A42113,  0.996561527
 A42115,  1.05734468
 A42117,  1.08324444
 A42119,  1.04931796
 A42127,  1.06116116
 A42131,  1.12185812
 A42133,  1.25
 A47091,  1.05876124
 A47163,  1.05876124
 A51001,  0.75
 A51003,  1.17858148
 A51005,  1.06008828
 A51007,  1.25
 A51009,  1.03930068
 A51011,  1.16269541
 A51013,  0.75
 A51015,  1.13125002
 A51017,  1.22158647
 A51019,  1.18354321
 A51021,  1.05221939
 A51023,  1.05071783
 A51025,  1.21726048
 A51027,  1.05326724
 A51029,  1.19015193
 A51031,  1.15966558
 A51033,  1.24989867
 A51035,  1.06923962
 A51036,  1.11482716
 A51037,  1.17471886
 A51041,  1.11982083
 A51043,  1.21107101
 A51045,  0.988239467
 A51047,  1.06605661
 A51049,  1.1672833
 A51051,  1.11031508
 A51053,  1.23231959
 A51057,  1.08991826
 A51059,  1.24541211
 A51061,  1.1266433
 A51063,  1.15758169
 A51065,  1.18015039
 A51067,  1.11681914
