TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.041000,1,0.03,0.3,0,21.94200,33.13250,5,0.5,2,0,4442.868,0.254500,5,1,8,0,1939.149,0.018000,6,0.5,1,0,1079.965,0,0,0,0,na,na
A10003,0.057000,1,0.03,0.3,0,23.74950,32.50700,5,0.5,2,0,4654.803,0.246500,5,1,8,0,1686.331,0.026000,6,0.5,1,0,1123.711,0,0,0,0,na,na
A10005,0.037500,1,0.03,0.3,0,13.13350,29.02500,5,0.5,2,0,3628.153,0.714000,5,1,8,0,2232.206,0.234000,6,0.5,1,0,1186.323,0,0,0,0,na,na
A11001,0.054000,1,0.03,0.3,0,15.65900,35.05050,5,0.5,2,0,5106.865,0.209000,5,1,8,0,1937.471,0.010500,6,0.5,1,0,1056.637,0,0,0,0,na,na
A24001,0.098500,1,0.03,0.3,0,25.83100,34.47350,5,0.5,2,0,4846.802,0.098000,5,1,8,0,1658.889,0.006500,6,0.5,1,0,1092.928,0,0,0,0,na,na
A24003,0.043000,1,0.03,0.3,0,23.69000,33.26750,5,0.5,2,0,4749.659,0.249000,5,1,8,0,1659.575,0.032500,6,0.5,1,0,1151.331,0,0,0,0,na,na
A24005,0.037000,1,0.03,0.3,0,22.88950,32.87350,5,0.5,2,0,3603.337,0.867000,5,1,8,0,2247.334,0.191500,6,0.5,1,0,1138.656,0,0,0,0,na,na
A24009,0.053500,1,0.03,0.3,0,18.50950,31.04450,5,0.5,2,0,4569.144,0.231000,5,1,8,0,1854.550,0.018000,6,0.5,1,0,1105.345,0,0,0,0,na,na
A24011,0.221000,1,0.03,0.3,0,22.97750,27.30450,5,0.5,2,0,4904.790,0.155250,5,1,8,0,1574.118,0.013500,6,0.5,1,0,1114.228,0,0,0,0,na,na
