TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.047000,1,0.03,0.3,0,33.97500,32.21500,5,0.5,2,0,3737.201,0.334500,5,1,8,0,1699.308,0.041500,6,0.5,1,0,1062.656,0,0,0,0,na,na
A10003,0.100500,1,0.03,0.3,0,38.29450,31.14300,5,0.5,2,0,3789.208,0.234500,5,1,8,0,1571.862,0.025000,6,0.5,1,0,1092.490,0,0,0,0,na,na
A10005,0.044000,1,0.03,0.3,0,23.97850,28.89650,5,0.5,2,0,3277.031,0.674500,5,1,8,0,1867.319,0.210000,6,0.5,1,0,1120.491,0,0,0,0,na,na
A11001,0.064500,1,0.03,0.3,0,26.98100,33.90800,5,0.5,2,0,4174.234,0.240000,5,1,8,0,1701.792,0.017000,6,0.5,1,0,1047.197,0,0,0,0,na,na
A24001,0.193000,1,0.03,0.3,0,39.64200,33.35800,5,0.5,2,0,3899.331,0.103000,5,1,8,0,1543.594,0.006500,6,0.5,1,0,1074.776,0,0,0,0,na,na
A24003,0.060000,1,0.03,0.3,0,37.91350,31.83350,5,0.5,2,0,3865.275,0.249000,5,1,8,0,1548.135,0.032000,6,0.5,1,0,1112.927,0,0,0,0,na,na
A24005,0.040000,1,0.03,0.3,0,35.20600,33.80150,5,0.5,2,0,3313.687,0.837000,5,1,8,0,1870.032,0.191500,6,0.5,1,0,1091.719,0,0,0,0,na,na
A24009,0.068000,1,0.03,0.3,0,31.15100,29.93050,5,0.5,2,0,3757.941,0.261500,5,1,8,0,1664.927,0.021500,6,0.5,1,0,1079.443,0,0,0,0,na,na
A24011,0.299000,1,0.03,0.3,0,36.75350,26.59600,5,0.5,2,0,3904.670,0.154250,5,1,8,0,1505.625,0.013500,6,0.5,1,0,1090.243,0,0,0,0,na,na
