TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.008542,0.279021,0,0.000854,0.008542,0.500000,0.000279,0.027809
A10003,1,0,0,1,0,1,0,1,0,0.026577,0.406809,0,0.002658,0.026577,0.500000,0.000407,0.039814
A10005,1,0,0,1,0,1,0,1,0,0.017815,0.381027,0,0.001781,0.017815,0.500000,0.000381,0.026612
A11001,1,0,0,1,0,1,0,1,0,0.008097,0.265896,0,0.000810,0.008097,0.500000,0.000266,0.035723
A24001,1,0,0,1,0,1,0,1,0,0.008603,0.249226,0,0.000860,0.008603,0.500000,0.000249,0.066570
A24003,1,0,0,1,0,1,0,1,0,0.024355,0.396399,0,0.002436,0.024355,0.500000,0.000396,0.040940
A24005,1,0,0,1,0,1,0,1,0,0.011488,0.321701,0,0.001148,0.011488,0.500000,0.000322,0.024104
A24009,1,0,0,1,0,1,0,1,0,0.011754,0.314795,0,0.001176,0.011754,0.500000,0.000315,0.032479
A24011,1,0,0,1,0,1,0,1,0,0.026480,0.412081,0,0.002648,0.026480,0.500000,0.000412,0.047395
A24013,1,0,0,1,0,1,0,1,0,0.012500,0.316300,0,0.001249,0.012500,0.500000,0.000316,0.037263
A24015,1,0,0,1,0,1,0,1,0,0.011710,0.313822,0,0.001171,0.011710,0.500000,0.000314,0.032949
A24017,1,0,0,1,0,1,0,1,0,0.014631,0.340820,0,0.001464,0.014631,0.500000,0.000341,0.052575
A24019,1,0,0,1,0,1,0,1,0,0.023475,0.385276,0,0.002348,0.023475,0.500000,0.000385,0.051793
A24021,1,0,0,1,0,1,0,1,0,0.011559,0.306736,0,0.001156,0.011559,0.500000,0.000307,0.035308
A24023,1,0,0,1,0,1,0,1,0,0.033374,0.443600,0,0.003338,0.033374,0.500000,0.000444,0.046520
A24025,1,0,0,1,0,1,0,1,0,0.018337,0.385878,0,0.001833,0.018337,0.500000,0.000386,0.027545
A24027,1,0,0,1,0,1,0,1,0,0.012492,0.327563,0,0.001250,0.012492,0.500000,0.000328,0.030393
A24029,1,0,0,1,0,1,0,1,0,0.026190,0.429620,0,0.002619,0.026190,0.500000,0.000430,0.037059
A24031,1,0,0,1,0,1,0,1,0,0.008381,0.275460,0,0.000837,0.008381,0.500000,0.000275,0.027901
A24033,1,0,0,1,0,1,0,1,0,0.008184,0.263329,0,0.000819,0.008184,0.500000,0.000263,0.035505
A24035,1,0,0,1,0,1,0,1,0,0.016842,0.379107,0,0.001683,0.016842,0.500000,0.000379,0.029674
A24037,1,0,0,1,0,1,0,1,0,0.010835,0.289503,0,0.001083,0.010835,0.500000,0.000290,0.046415
