TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.061222,0.200000,0,0.006122,0.061222,0.500000,0.000200,0.000100
A10003,1,0,0,1,0,1,0,1,0,0.130663,0.200000,0,0.013066,0.130663,0.500000,0.000200,0.000100
A10005,1,0,0,1,0,1,0,1,0,0.093515,0.200000,0,0.009352,0.093515,0.500000,0.000200,0.000100
A11001,1,0,0,1,0,1,0,1,0,0.060893,0.200000,0,0.006089,0.060893,0.500000,0.000200,0.000100
A24001,1,0,0,1,0,1,0,1,0,0.069049,0.200000,0,0.006905,0.069049,0.500000,0.000200,0.000100
A24003,1,0,0,1,0,1,0,1,0,0.122869,0.200000,0,0.012287,0.122869,0.500000,0.000200,0.000100
A24005,1,0,0,1,0,1,0,1,0,0.071436,0.200000,0,0.007144,0.071436,0.500000,0.000200,0.000100
A24009,1,0,0,1,0,1,0,1,0,0.074671,0.200000,0,0.007467,0.074671,0.500000,0.000200,0.000100
A24011,1,0,0,1,0,1,0,1,0,0.128515,0.200000,0,0.012852,0.128515,0.500000,0.000200,0.000100
A24013,1,0,0,1,0,1,0,1,0,0.079038,0.200000,0,0.007904,0.079038,0.500000,0.000200,0.000100
A24015,1,0,0,1,0,1,0,1,0,0.074638,0.200000,0,0.007464,0.074638,0.500000,0.000200,0.000100
A24017,1,0,0,1,0,1,0,1,0,0.085874,0.200000,0,0.008587,0.085874,0.500000,0.000200,0.000100
A24019,1,0,0,1,0,1,0,1,0,0.121866,0.200000,0,0.012187,0.121866,0.500000,0.000200,0.000100
A24021,1,0,0,1,0,1,0,1,0,0.075362,0.200000,0,0.007536,0.075362,0.500000,0.000200,0.000100
A24023,1,0,0,1,0,1,0,1,0,0.150468,0.200000,0,0.015047,0.150468,0.500000,0.000200,0.000100
A24025,1,0,0,1,0,1,0,1,0,0.095044,0.200000,0,0.009504,0.095044,0.500000,0.000200,0.000100
A24027,1,0,0,1,0,1,0,1,0,0.076271,0.200000,0,0.007627,0.076271,0.500000,0.000200,0.000100
A24029,1,0,0,1,0,1,0,1,0,0.121907,0.200000,0,0.012191,0.121907,0.500000,0.000200,0.000100
A24031,1,0,0,1,0,1,0,1,0,0.060860,0.200000,0,0.006086,0.060860,0.500000,0.000200,0.000100
A24033,1,0,0,1,0,1,0,1,0,0.062175,0.200000,0,0.006218,0.062175,0.500000,0.000200,0.000100
A24035,1,0,0,1,0,1,0,1,0,0.088838,0.200000,0,0.008884,0.088838,0.500000,0.000200,0.000100
