TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001638,0.,10.00000,0.005000,na,na,0.005000,0.001638,0.,10.00000,0.005000,na,na,0.000100,0.001188,0.010000,2.081662,0.000100,na,na,0.000100,0.001188,0.010000,2.081662,0.000100,15054.12,50000.00,0.00001,1.07,6642.700,10600.84,0.00001,1.07,95.58823,858.4006,0.00001,1.07,95.58823,858.4006,0.00001,1.07,na,na,na,na,na,na
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001694,0.,10.00000,0.005000,na,na,0.005000,0.001694,0.,10.00000,0.005000,na,na,0.000100,0.001589,0.010000,1.834915,0.000100,na,na,0.000100,0.001589,0.010000,1.834915,0.000100,9954.145,50000.00,0.00001,1.07,10046.07,13075.32,0.00001,1.07,141.8440,1241.673,0.00001,1.07,141.8440,1241.673,0.00001,1.07,na,na,na,na,na,na
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001118,0.,10.00000,0.005000,na,na,0.005000,0.001118,0.,10.00000,0.005000,na,na,0.000100,0.001251,0.010000,0.692462,0.000100,na,na,0.000100,0.001251,0.010000,0.692462,0.000100,22322.25,50000.00,0.00001,1.07,4479.836,9366.899,0.00001,1.07,157.5342,1357.485,0.00001,1.07,157.5342,1357.485,0.00001,1.07,na,na,na,na,na,na
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001790,0.,10.00000,0.005000,na,na,0.005000,0.001790,0.,10.00000,0.005000,na,na,0.000100,0.002089,0.010000,0.675467,0.000100,na,na,0.000100,0.002089,0.010000,0.675467,0.000100,5217.272,38025.53,0.00001,1.07,19167.11,23668.31,0.00001,1.07,78.94736,718.4211,0.00001,1.07,78.94736,718.4211,0.00001,1.07,na,na,na,na,na,na
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001190,0.,10.00000,0.005000,na,na,0.005000,0.001190,0.,10.00000,0.005000,na,na,0.000100,0.001119,0.010000,2.949615,0.000100,na,na,0.000100,0.001119,0.010000,2.949615,0.000100,10659.76,50000.00,0.00001,1.07,9381.076,12578.91,0.00001,1.07,139.1304,953.1250,0.00001,1.07,139.1304,953.1250,0.00001,1.07,na,na,na,na,na,na
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001846,0.,10.00000,0.005000,na,na,0.005000,0.001846,0.,10.00000,0.005000,na,na,0.000100,0.005107,0.010000,0.173265,0.000100,na,na,0.000100,0.005107,0.010000,0.173265,0.000100,5911.229,39894.92,0.00001,1.07,16916.96,22559.26,0.00001,1.07,151.7242,1343.253,0.00001,1.07,151.7242,1343.253,0.00001,1.07,na,na,na,na,na,na
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001834,0.,10.00000,0.005000,na,na,0.005000,0.001834,0.,10.00000,0.005000,na,na,0.000100,0.001453,0.010000,1.051826,0.000100,na,na,0.000100,0.001453,0.010000,1.051826,0.000100,5913.402,35062.20,0.00001,1.07,16910.74,25668.67,0.00001,1.07,139.8601,1223.849,0.00001,1.07,139.8601,1223.849,0.00001,1.07,na,na,na,na,na,na
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001693,0.,10.00000,0.005000,na,na,0.005000,0.001693,0.,10.00000,0.005000,na,na,0.000100,0.001259,0.010000,2.416216,0.000100,na,na,0.000100,0.001259,0.010000,2.416216,0.000100,6554.141,39387.40,0.00001,1.07,15257.53,22849.95,0.00001,1.07,105.2632,917.1687,0.00001,1.07,105.2632,917.1687,0.00001,1.07,na,na,na,na,na,na
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000901,0.,10.00000,0.005000,na,na,0.005000,0.000901,0.,10.00000,0.005000,na,na,0.000100,0.001771,0.010000,1.149052,0.000100,na,na,0.000100,0.001771,0.010000,1.149052,0.000100,12125.29,50000.00,0.00001,1.07,8247.224,10080.12,0.00001,1.07,125.0000,1045.833,0.00001,1.07,125.0000,1045.833,0.00001,1.07,na,na,na,na,na,na
A24013,0.4,8.66617512,70.98147405,60,72.92644084,80.24670512,57.62090095,58.81679335,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001516,0.,10.00000,0.005000,na,na,0.005000,0.001516,0.,10.00000,0.005000,na,na,0.000100,0.001588,0.010000,1.381579,0.000100,na,na,0.000100,0.001588,0.010000,1.381579,0.000100,5122.299,34586.33,0.00001,1.07,19522.48,26021.84,0.00001,1.07,142.8571,1241.970,0.00001,1.07,142.8571,1241.970,0.00001,1.07,na,na,na,na,na,na
A24015,0.4,10.82687498,71.69084761,60,73.02493327,80.37095332,73.41010492,75.06862099,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001572,0.,10.00000,0.005000,na,na,0.005000,0.001572,0.,10.00000,0.005000,na,na,0.000100,0.001614,0.010000,1.064357,0.000100,na,na,0.000100,0.001614,0.010000,1.064357,0.000100,9253.376,50000.00,0.00001,1.07,10806.87,12697.52,0.00001,1.07,114.2857,1012.876,0.00001,1.07,114.2857,1012.876,0.00001,1.07,na,na,na,na,na,na
A24017,0.4,11.38160131,93.82588115,60,72.46194161,79.66073934,74.2061067,75.88794563,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000754,0.,10.00000,0.005000,na,na,0.005000,0.000754,0.,10.00000,0.005000,na,na,0.000100,0.001015,0.010000,2.408033,0.000100,na,na,0.000100,0.001015,0.010000,2.408033,0.000100,5347.572,32592.32,0.00001,1.07,18700.08,27613.87,0.00001,1.07,114.5038,840.0917,0.00001,1.07,114.5038,840.0917,0.00001,1.07,na,na,na,na,na,na
A24019,0.4,11.70814521,90.67459023,60,67.97859963,74.00500344,77.94094908,79.73221888,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000574,0.,10.00000,0.005000,na,na,0.005000,0.000574,0.,10.00000,0.005000,na,na,0.000100,0.001238,0.010000,1.725083,0.000100,na,na,0.000100,0.001238,0.010000,1.725083,0.000100,9219.336,50000.00,0.00001,1.07,10846.77,13529.68,0.00001,1.07,144.0000,1139.665,0.00001,1.07,144.0000,1139.665,0.00001,1.07,na,na,na,na,na,na
A24021,0.4,8.89553794,86.16254679,60,74.64399958,82.41340547,54.50520348,55.60980594,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.001804,0.,10.00000,0.005000,na,na,0.005000,0.001804,0.,10.00000,0.005000,na,na,0.000100,0.001605,0.010000,1.239289,0.000100,na,na,0.000100,0.001605,0.010000,1.239289,0.000100,8187.759,50000.00,0.00001,1.07,12213.35,16295.07,0.00001,1.07,144.9275,1334.543,0.00001,1.07,144.9275,1334.543,0.00001,1.07,na,na,na,na,na,na
A24023,0.4,8.592249922,84.09700285,60,75.90991824,84.01036186,51.66532222,52.68671617,1,1,100,1,1,1,0,0,1,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.005000,0.000440,0.,10.00000,0.005000,na,na,0.005000,0.000440,0.,10.00000,0.005000,na,na,0.000100,0.001376,0.010000,1.580670,0.000100,na,na,0.000100,0.001376,0.010000,1.580670,0.000100,10179.51,50000.00,0.00001,1.07,9823.659,10948.85,0.00001,1.07,272.0588,2122.704,0.00001,1.07,272.0588,2122.704,0.00001,1.07,na,na,na,na,na,na
