TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,100.1597,0.5,0.01,0.1,0.003667,200,308.5136,8,0.02,0.5,13.51800,2200,396.0830,9,0.02,0.005,7.810000,1200,7.778667,5,0.005,0.1,0.,1000,0,0,0,0,231.3200,4.680000
A10003,42.83367,0.5,0.01,0.1,0.002000,200,1086.381,8,0.02,0.5,18.78500,2200,30.75033,9,0.02,0.005,5.281666,1200,0.461000,5,0.005,0.1,0.,1000,0,0,0,0,231.2967,4.676667
A10005,138.9787,0.5,0.01,0.1,0.006333,200,310.9897,8,0.02,0.5,8.553333,2200,462.1877,9,0.02,0.005,9.042666,1200,10.92767,5,0.005,0.1,0.,1000,0,0,0,0,212.6433,4.310000
A11001,13.15067,0.5,0.01,0.1,0.,200,395.4017,8,0.02,0.5,13.93200,2200,384.4000,9,0.02,0.005,8.721334,1200,7.980667,5,0.005,0.1,0.,1000,0,0,0,0,276.9567,5.633333
A24001,69.14233,0.5,0.01,0.1,0.001667,200,885.5977,8,0.02,0.5,19.42933,2200,111.5783,9,0.02,0.005,5.237667,1200,2.266333,5,0.005,0.1,0.,1000,0,0,0,0,131.3600,2.656667
A24003,8.319333,0.5,0.01,0.1,0.,200,949.4634,8,0.02,0.5,18.67000,2200,41.65866,9,0.02,0.005,4.433333,1200,1.151667,5,0.005,0.1,0.,1000,0,0,0,0,239.4700,4.860000
A24005,12.18733,0.5,0.01,0.1,0.,200,277.1956,8,0.02,0.5,14.20167,2200,531.9180,9,0.02,0.005,7.211667,1200,11.18233,5,0.005,0.1,0.,1000,0,0,0,0,231.2233,4.716667
A24009,13.61367,0.5,0.01,0.1,0.,200,543.3547,8,0.02,0.5,14.75933,2200,249.3010,9,0.02,0.005,6.966333,1200,5.192000,5,0.005,0.1,0.,1000,0,0,0,0,228.1633,4.626667
A24011,68.53100,0.5,0.01,0.1,0.001000,200,1174.286,8,0.02,0.5,17.94000,2200,36.42033,9,0.02,0.005,5.032333,1200,0.589667,5,0.005,0.1,0.,1000,0,0,0,0,158.9267,3.243334
A24013,11.08500,0.5,0.01,0.1,0.,200,757.6347,8,0.02,0.5,16.57500,2200,202.5593,9,0.02,0.005,7.439333,1200,4.066667,5,0.005,0.1,0.,1000,0,0,0,0,249.9300,5.080000
A24015,44.31133,0.5,0.01,0.1,0.002000,200,509.2904,8,0.02,0.5,14.31234,2200,317.9340,9,0.02,0.005,7.642334,1200,6.849333,5,0.005,0.1,0.,1000,0,0,0,0,241.1300,4.900000
A24017,6.917000,0.5,0.01,0.1,0.,200,702.3120,8,0.02,0.5,10.92300,2200,187.4350,9,0.02,0.005,6.619333,1200,4.585000,5,0.005,0.1,0.,1000,0,0,0,0,122.8067,2.500000
A24019,26.33467,0.5,0.01,0.1,0.,200,1083.932,8,0.02,0.5,13.31633,2200,52.59233,9,0.02,0.005,4.310667,1200,0.770333,5,0.005,0.1,0.,1000,0,0,0,0,97.33667,1.976667
A24021,27.44733,0.5,0.01,0.1,0.001000,200,553.2273,8,0.02,0.5,16.19400,2200,255.1307,9,0.02,0.005,7.200666,1200,4.919333,5,0.005,0.1,0.,1000,0,0,0,0,272.5667,5.530000
A24023,55.93767,0.5,0.01,0.1,0.,200,1420.480,8,0.02,0.5,21.32800,2200,69.64800,9,0.02,0.005,4.714666,1200,1.023333,5,0.005,0.1,0.,1000,0,0,0,0,81.24667,1.660000
A24025,12.59500,0.5,0.01,0.1,0.,200,636.3353,8,0.02,0.5,16.56100,2200,266.3430,9,0.02,0.005,6.685333,1200,5.901333,5,0.005,0.1,0.,1000,0,0,0,0,246.7433,5.010000
A24027,8.864667,0.5,0.01,0.1,0.,200,493.2773,8,0.02,0.5,15.30000,2200,367.5943,9,0.02,0.005,7.337667,1200,8.273667,5,0.005,0.1,0.,1000,0,0,0,0,252.8467,5.136667
A24029,44.43967,0.5,0.01,0.1,0.002667,200,956.9720,8,0.02,0.5,18.84900,2200,41.83000,9,0.02,0.005,5.165333,1200,0.607000,5,0.005,0.1,0.,1000,0,0,0,0,239.7366,4.850000
A24031,12.35867,0.5,0.01,0.1,0.,200,320.9440,8,0.02,0.5,14.01367,2200,513.2017,9,0.02,0.005,7.110000,1200,11.39567,5,0.005,0.1,0.,1000,0,0,0,0,219.9667,4.460000
A24033,10.03800,0.5,0.01,0.1,0.,200,439.5180,8,0.02,0.5,13.66067,2200,337.9343,9,0.02,0.005,7.465666,1200,7.088666,5,0.005,0.1,0.,1000,0,0,0,0,243.2400,4.946667
A24035,57.98400,0.5,0.01,0.1,0.003000,200,560.0820,8,0.02,0.5,16.98300,2200,234.1393,9,0.02,0.005,6.495333,1200,4.396667,5,0.005,0.1,0.,1000,0,0,0,0,248.9300,5.046667
A24037,6.839667,0.5,0.01,0.1,0.,200,774.4187,8,0.02,0.5,15.13133,2200,103.9523,9,0.02,0.005,6.323000,1200,1.598667,5,0.005,0.1,0.,1000,0,0,0,0,181.0300,3.673333
A24039,14.20000,0.5,0.01,0.1,0.,200,1178.115,8,0.02,0.5,12.75767,2200,35.93933,9,0.02,0.005,4.002000,1200,0.451667,5,0.005,0.1,0.,1000,0,0,0,0,100.7400,2.046667
A24041,55.50233,0.5,0.01,0.1,0.000333,200,1094.041,8,0.02,0.5,16.58467,2200,38.24067,9,0.02,0.005,4.979000,1200,0.482667,5,0.005,0.1,0.,1000,0,0,0,0,130.2900,2.656667
A24043,11.99433,0.5,0.01,0.1,0.002000,200,30.31600,8,0.02,0.5,7.363667,2200,676.3104,9,0.02,0.005,9.358001,1200,13.50067,5,0.005,0.1,0.,1000,0,0,0,0,187.0733,3.823333
A24045,47.64933,0.5,0.01,0.1,0.,200,724.8270,8,0.02,0.5,10.11233,2200,163.4480,9,0.02,0.005,5.390667,1200,3.922333,5,0.005,0.1,0.,1000,0,0,0,0,141.7867,2.876667
A24047,54.23967,0.5,0.01,0.1,0.,200,715.7653,8,0.02,0.5,9.745667,2200,149.3623,9,0.02,0.005,4.886000,1200,3.276000,5,0.005,0.1,0.,1000,0,0,0,0,122.4633,2.486667
A24510,7.636333,0.5,0.01,0.1,0.,200,762.2187,8,0.02,0.5,19.58367,2200,152.5217,9,0.02,0.005,6.111666,1200,3.173667,5,0.005,0.1,0.,1000,0,0,0,0,334.9433,6.813334
A36003,10.77033,0.5,0.01,0.1,0.,200,1412.864,8,0.02,0.5,19.85300,2200,28.97133,9,0.02,0.005,4.315333,1200,0.399000,5,0.005,0.1,0.,1000,0,0,0,0,69.59000,1.423333
A36007,7.480667,0.5,0.01,0.1,0.,200,1291.860,8,0.02,0.5,11.99433,2200,60.72300,9,0.02,0.005,4.342667,1200,1.007667,5,0.005,0.1,0.,1000,0,0,0,0,71.32000,1.460000
A36015,5.217333,0.5,0.01,0.1,0.,200,1246.171,8,0.02,0.5,13.08933,2200,40.38166,9,0.02,0.005,4.398000,1200,0.638667,5,0.005,0.1,0.,1000,0,0,0,0,79.01334,1.616667
A36017,9.278666,0.5,0.01,0.1,0.,200,1348.993,8,0.02,0.5,16.99867,2200,61.10133,9,0.02,0.005,4.523666,1200,1.029000,5,0.005,0.1,0.,1000,0,0,0,0,69.38000,1.416667
A36023,11.06933,0.5,0.01,0.1,0.,200,1398.653,8,0.02,0.5,17.21066,2200,69.69900,9,0.02,0.005,4.819666,1200,1.169333,5,0.005,0.1,0.,1000,0,0,0,0,74.48000,1.520000
A36025,10.25833,0.5,0.01,0.1,0.,200,1300.526,8,0.02,0.5,15.50933,2200,67.86900,9,0.02,0.005,4.109334,1200,1.405333,5,0.005,0.1,0.,1000,0,0,0,0,65.71000,1.340000
A36043,10.15800,0.5,0.01,0.1,0.,200,1194.535,8,0.02,0.5,10.02967,2200,82.83500,9,0.02,0.005,4.733667,1200,1.538667,5,0.005,0.1,0.,1000,0,0,0,0,65.67667,1.343333
A36051,14.57600,0.5,0.01,0.1,0.,200,1386.063,8,0.02,0.5,23.89000,2200,35.48600,9,0.02,0.005,4.729667,1200,0.407333,5,0.005,0.1,0.,1000,0,0,0,0,77.20333,1.580000
A36053,13.33333,0.5,0.01,0.1,0.,200,1233.731,8,0.02,0.5,13.30267,2200,101.2203,9,0.02,0.005,5.587667,1200,1.730667,5,0.005,0.1,0.,1000,0,0,0,0,91.84333,1.883333
A36065,10.71200,0.5,0.01,0.1,0.,200,1197.403,8,0.02,0.5,11.64867,2200,105.4117,9,0.02,0.005,5.206000,1200,1.990333,5,0.005,0.1,0.,1000,0,0,0,0,85.77334,1.760000
A36067,14.16933,0.5,0.01,0.1,0.,200,1370.101,8,0.02,0.5,18.33667,2200,94.40567,9,0.02,0.005,5.463333,1200,1.869000,5,0.005,0.1,0.,1000,0,0,0,0,98.65667,2.020000
A36069,15.35833,0.5,0.01,0.1,0.,200,1385.071,8,0.02,0.5,22.65500,2200,49.03133,9,0.02,0.005,5.005667,1200,0.785333,5,0.005,0.1,0.,1000,0,0,0,0,92.75000,1.903333
A36077,10.32600,0.5,0.01,0.1,0.,200,1342.326,8,0.02,0.5,17.57300,2200,61.17600,9,0.02,0.005,4.128667,1200,1.103333,5,0.005,0.1,0.,1000,0,0,0,0,67.02666,1.370000
A36095,10.69867,0.5,0.01,0.1,0.,200,1340.562,8,0.02,0.5,22.35100,2200,74.43033,9,0.02,0.005,4.319334,1200,1.493667,5,0.005,0.1,0.,1000,0,0,0,0,64.93667,1.326667
A36097,11.28267,0.5,0.01,0.1,0.,200,1316.051,8,0.02,0.5,13.90100,2200,46.87700,9,0.02,0.005,4.577000,1200,0.706000,5,0.005,0.1,0.,1000,0,0,0,0,75.87000,1.550000
A36101,10.73367,0.5,0.01,0.1,0.,200,1188.319,8,0.02,0.5,11.11000,2200,52.89766,9,0.02,0.005,4.902000,1200,0.744333,5,0.005,0.1,0.,1000,0,0,0,0,79.54333,1.626667
A36107,6.861000,0.5,0.01,0.1,0.,200,1290.777,8,0.02,0.5,12.97200,2200,46.52234,9,0.02,0.005,4.283667,1200,0.726333,5,0.005,0.1,0.,1000,0,0,0,0,71.89333,1.470000
A36109,6.655000,0.5,0.01,0.1,0.,200,1426.174,8,0.02,0.5,18.06367,2200,38.58800,9,0.02,0.005,4.350667,1200,0.603333,5,0.005,0.1,0.,1000,0,0,0,0,72.67334,1.486667
A36123,12.63933,0.5,0.01,0.1,0.,200,1324.303,8,0.02,0.5,20.93767,2200,51.88000,9,0.02,0.005,4.641666,1200,0.827667,5,0.005,0.1,0.,1000,0,0,0,0,79.06333,1.620000
A37001,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37005,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37009,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37033,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37067,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37077,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37081,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37131,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37135,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37145,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37157,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37169,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37171,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37181,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37185,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A37189,1,0.5,0.01,0.1,2,200,400,8,0.02,0.5,40,2200,100,9,0.02,0.005,25,1200,30,5,0.005,0.1,0,1000,0,0,0,0,250,20
A42001,6.364000,0.5,0.01,0.1,0.,200,1063.997,8,0.02,0.5,15.00267,2200,48.85200,9,0.02,0.005,4.845666,1200,0.911333,5,0.005,0.1,0.,1000,0,0,0,0,154.6467,3.163333
A42009,9.738667,0.5,0.01,0.1,0.,200,1092.809,8,0.02,0.5,11.40133,2200,65.31500,9,0.02,0.005,4.577000,1200,1.353333,5,0.005,0.1,0.,1000,0,0,0,0,91.51334,1.856667
A42011,6.467000,0.5,0.01,0.1,0.,200,1599.891,8,0.02,0.5,22.90067,2200,27.09300,9,0.02,0.005,3.838000,1200,0.391000,5,0.005,0.1,0.,1000,0,0,0,0,101.6500,2.080000
A42013,9.722667,0.5,0.01,0.1,0.,200,1314.536,8,0.02,0.5,18.36733,2200,60.93267,9,0.02,0.005,5.493000,1200,0.910667,5,0.005,0.1,0.,1000,0,0,0,0,117.3433,2.396667
A42015,5.439000,0.5,0.01,0.1,0.,200,1194.542,8,0.02,0.5,12.22600,2200,66.14500,9,0.02,0.005,4.758000,1200,1.120333,5,0.005,0.1,0.,1000,0,0,0,0,85.35667,1.746667
A42021,9.680000,0.5,0.01,0.1,0.,200,1378.614,8,0.02,0.5,13.82100,2200,77.37333,9,0.02,0.005,5.399333,1200,1.034333,5,0.005,0.1,0.,1000,0,0,0,0,92.35001,1.890000
