TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.003734,0.200000,0,0.000373,0.003734,0.500000,0.000200,0.000100
A10003,1,0,0,1,0,1,0,1,0,0.003866,0.200000,0,0.000387,0.003866,0.500000,0.000200,0.000100
A10005,1,0,0,1,0,1,0,1,0,0.004008,0.200000,0,0.000401,0.004008,0.500000,0.000200,0.000100
A11001,1,0,0,1,0,1,0,1,0,0.004164,0.200000,0,0.000416,0.004164,0.500000,0.000200,0.000100
A24001,1,0,0,1,0,1,0,1,0,0.003156,0.200000,0,0.000316,0.003156,0.500000,0.000200,0.000100
A24003,1,0,0,1,0,1,0,1,0,0.003959,0.200000,0,0.000396,0.003959,0.500000,0.000200,0.000100
A24005,1,0,0,1,0,1,0,1,0,0.003929,0.200000,0,0.000393,0.003929,0.500000,0.000200,0.000100
A24009,1,0,0,1,0,1,0,1,0,0.003638,0.200000,0,0.000364,0.003638,0.500000,0.000200,0.000100
A24011,1,0,0,1,0,1,0,1,0,0.003945,0.200000,0,0.000395,0.003945,0.500000,0.000200,0.000100
A24013,1,0,0,1,0,1,0,1,0,0.003838,0.200000,0,0.000384,0.003838,0.500000,0.000200,0.000100
A24015,1,0,0,1,0,1,0,1,0,0.003830,0.200000,0,0.000383,0.003830,0.500000,0.000200,0.000100
A24017,1,0,0,1,0,1,0,1,0,0.003581,0.200000,0,0.000358,0.003581,0.500000,0.000200,0.000100
A24019,1,0,0,1,0,1,0,1,0,0.003433,0.200000,0,0.000343,0.003433,0.500000,0.000200,0.000100
A24021,1,0,0,1,0,1,0,1,0,0.003775,0.200000,0,0.000378,0.003775,0.500000,0.000200,0.000100
A24023,1,0,0,1,0,1,0,1,0,0.003729,0.200000,0,0.000373,0.003729,0.500000,0.000200,0.000100
A24025,1,0,0,1,0,1,0,1,0,0.003825,0.200000,0,0.000382,0.003825,0.500000,0.000200,0.000100
A24027,1,0,0,1,0,1,0,1,0,0.003940,0.200000,0,0.000394,0.003940,0.500000,0.000200,0.000100
A24029,1,0,0,1,0,1,0,1,0,0.003814,0.200000,0,0.000381,0.003814,0.500000,0.000200,0.000100
A24031,1,0,0,1,0,1,0,1,0,0.003907,0.200000,0,0.000391,0.003907,0.500000,0.000200,0.000100
A24033,1,0,0,1,0,1,0,1,0,0.003858,0.200000,0,0.000386,0.003858,0.500000,0.000200,0.000100
A24035,1,0,0,1,0,1,0,1,0,0.003764,0.200000,0,0.000376,0.003764,0.500000,0.000200,0.000100
A24037,1,0,0,1,0,1,0,1,0,0.003444,0.200000,0,0.000344,0.003444,0.500000,0.000200,0.000100
A24039,1,0,0,1,0,1,0,1,0,0.003699,0.200000,0,0.000370,0.003699,0.500000,0.000200,0.000100
A24041,1,0,0,1,0,1,0,1,0,0.003616,0.200000,0,0.000362,0.003616,0.500000,0.000200,0.000100
A24043,1,0,0,1,0,1,0,1,0,0.003622,0.200000,0,0.000362,0.003622,0.500000,0.000200,0.000100
A24045,1,0,0,1,0,1,0,1,0,0.003844,0.200000,0,0.000384,0.003844,0.500000,0.000200,0.000100
A24047,1,0,0,1,0,1,0,1,0,0.003567,0.200000,0,0.000357,0.003567,0.500000,0.000200,0.000100
A24510,1,0,0,1,0,1,0,1,0,0.004249,0.200000,0,0.000425,0.004249,0.500000,0.000200,0.000100
A36003,1,0,0,1,0,1,0,1,0,0.003337,0.200000,0,0.000334,0.003337,0.500000,0.000200,0.000100
A36007,1,0,0,1,0,1,0,1,0,0.003337,0.200000,0,0.000334,0.003337,0.500000,0.000200,0.000100
A36015,1,0,0,1,0,1,0,1,0,0.003258,0.200000,0,0.000326,0.003258,0.500000,0.000200,0.000100
A36017,1,0,0,1,0,1,0,1,0,0.003321,0.200000,0,0.000332,0.003321,0.500000,0.000200,0.000100
A36023,1,0,0,1,0,1,0,1,0,0.003466,0.200000,0,0.000347,0.003466,0.500000,0.000200,0.000100
A36025,1,0,0,1,0,1,0,1,0,0.003225,0.200000,0,0.000322,0.003225,0.500000,0.000200,0.000100
A36043,1,0,0,1,0,1,0,1,0,0.003134,0.200000,0,0.000313,0.003134,0.500000,0.000200,0.000100
A36051,1,0,0,1,0,1,0,1,0,0.003386,0.200000,0,0.000339,0.003386,0.500000,0.000200,0.000100
A36053,1,0,0,1,0,1,0,1,0,0.003523,0.200000,0,0.000352,0.003523,0.500000,0.000200,0.000100
A36065,1,0,0,1,0,1,0,1,0,0.003329,0.200000,0,0.000333,0.003329,0.500000,0.000200,0.000100
A36067,1,0,0,1,0,1,0,1,0,0.003655,0.200000,0,0.000365,0.003655,0.500000,0.000200,0.000100
A36069,1,0,0,1,0,1,0,1,0,0.003488,0.200000,0,0.000349,0.003488,0.500000,0.000200,0.000100
A36077,1,0,0,1,0,1,0,1,0,0.003274,0.200000,0,0.000327,0.003274,0.500000,0.000200,0.000100
A36095,1,0,0,1,0,1,0,1,0,0.003236,0.200000,0,0.000324,0.003236,0.500000,0.000200,0.000100
A36097,1,0,0,1,0,1,0,1,0,0.003340,0.200000,0,0.000334,0.003340,0.500000,0.000200,0.000100
A36101,1,0,0,1,0,1,0,1,0,0.003222,0.200000,0,0.000322,0.003222,0.500000,0.000200,0.000100
A36107,1,0,0,1,0,1,0,1,0,0.003290,0.200000,0,0.000329,0.003290,0.500000,0.000200,0.000100
A36109,1,0,0,1,0,1,0,1,0,0.003419,0.200000,0,0.000342,0.003419,0.500000,0.000200,0.000100
A36123,1,0,0,1,0,1,0,1,0,0.003326,0.200000,0,0.000333,0.003326,0.500000,0.000200,0.000100
A37001,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37005,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37009,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37033,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37067,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37077,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37081,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37131,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37135,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37145,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
A37157,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,2.18E-03
