TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.656454,0.100000,0.,8.802915,0.656454,na,na,0.656454,0.100000,0.,5.332489,0.656454,na,na,0.093000,0.003370,0.000208,4.079568,0.093000,na,na,0.000100,0.003370,0.000208,0.679923,0.000100,25278.32,50000.00,0.0001,1.07,39.55960,106.0734,0.0001,1.07,6.760586,3.264104,0.0001,1.07,6.760586,3.264104,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.608616,0.015114,0.,9.061624,0.608616,na,na,0.608616,0.003022,0.,6.505901,0.608616,na,na,0.127389,0.100000,0.000012,4.556031,0.127389,na,na,0.000100,0.100000,0.000019,0.759342,0.000100,728.2618,11249.44,0.0001,1.07,1373.132,800.0397,0.0001,1.07,0.507066,6.048015,0.0001,1.07,0.507066,6.048015,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.372824,0.100000,0.,7.631773,0.372824,na,na,0.274301,0.100000,0.,3.833388,0.274301,na,na,0.027430,0.000100,0.010000,0.390839,0.027430,na,na,0.000100,0.000100,0.010000,0.065139,0.000100,50000.00,42887.16,0.0001,1.07,12.19402,18.18676,0.0001,1.07,16.52567,5.904197,0.0001,1.07,16.52567,5.904197,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.042943,0.,1.102281,1.000000,na,na,0.000100,0.008579,0.,0.551140,1.000000,na,na,0.000100,0.000149,0.008863,0.023603,0.200000,na,na,0.000100,0.000149,0.008863,0.010000,0.000100,3232.766,50000.00,0.0001,1.07,309.3328,119.3399,0.0001,1.07,5.799808,5.206490,0.0001,1.07,5.799808,5.206490,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.141143,0.024723,0.,4.438368,0.141143,na,na,0.141143,0.004948,0.,3.507679,0.141143,na,na,0.018150,0.018816,0.000072,4.469269,0.018150,na,na,0.000100,0.018816,0.000072,0.744882,0.000100,1347.490,11072.22,0.0001,1.07,742.1207,812.8445,0.0001,1.07,1.162592,4.249180,0.0001,1.07,1.162592,4.249180,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.714503,0.100000,0.,8.974720,0.714503,na,na,0.714503,0.023599,0.,4.642917,0.714503,na,na,0.135854,0.071865,0.000021,0.868426,0.135854,na,na,0.000100,0.071865,0.000033,0.144739,0.000100,1753.170,6692.028,0.0001,1.07,570.3953,1344.883,0.0001,1.07,0.876118,6.426964,0.0001,1.07,0.876118,6.426964,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.422863,0.100000,0.,8.213501,0.422863,na,na,0.422863,0.100000,0.,4.106753,0.422863,na,na,0.055954,0.002295,0.000446,2.209513,0.055954,na,na,0.000100,0.002295,0.000446,0.368249,0.000100,12751.92,6190.446,0.0001,1.07,78.41966,1453.853,0.0001,1.07,10.14436,7.638296,0.0001,1.07,10.14436,7.638296,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.879241,0.100000,0.,10.00000,0.879241,na,na,0.879241,0.092880,0.,5.085830,0.879241,na,na,0.167900,0.043472,0.000033,8.912469,0.167900,na,na,0.000100,0.043472,0.000034,1.485419,0.000100,1648.649,4209.073,0.0001,1.07,606.5575,2138.238,0.0001,1.07,1.055558,4.581520,0.0001,1.07,1.055558,4.581520,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.553982,0.072950,0.,8.091592,0.553982,na,na,0.553982,0.014582,0.,4.714807,0.553982,na,na,0.073348,0.008591,0.000090,3.596452,0.073348,na,na,0.000100,0.008591,0.000090,0.599411,0.000100,2332.984,39964.09,0.0001,1.07,428.6355,225.2022,0.0001,1.07,3.256572,5.233041,0.0001,1.07,3.256572,5.233041,0.0001,1.07,0.5,0.1,0,0,1.07,20
