TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.256000,1,0.03,0.3,0,50,64.19949,5,0.5,2,0,550,566.2220,5,1,8,0,300,16.65750,6,0.5,1,0,100,0,0,0,0,na,na
A10003,1.082500,1,0.03,0.3,0,50,315.8360,5,0.5,2,0,550,26.48250,5,1,8,0,300,0.894500,6,0.5,1,0,100,0,0,0,0,na,na
A10005,0.129500,1,0.03,0.3,0,50,25.86800,5,0.5,2,0,550,446.9585,5,1,8,0,300,24.28450,6,0.5,1,0,100,0,0,0,0,na,na
A11001,1.087000,1,0.03,0.3,0,50,26.97350,5,0.5,2,0,550,170.3945,5,1,8,0,300,9.778999,6,0.5,1,0,100,0,0,0,0,na,na
A24001,0.459500,1,0.03,0.3,0,50,261.2670,5,0.5,2,0,550,79.20551,5,1,8,0,300,3.605000,6,0.5,1,0,100,0,0,0,0,na,na
A24003,0.540000,1,0.03,0.3,0,50,92.99500,5,0.5,2,0,550,54.44950,5,1,8,0,300,1.827000,6,0.5,1,0,100,0,0,0,0,na,na
A24005,0.308500,1,0.03,0.3,0,50,37.71400,5,0.5,2,0,550,299.1400,5,1,8,0,300,13.81850,6,0.5,1,0,100,0,0,0,0,na,na
A24009,0.465500,1,0.03,0.3,0,50,52.36750,5,0.5,2,0,550,82.44051,5,1,8,0,300,1.865000,6,0.5,1,0,100,0,0,0,0,na,na
A24011,0.320000,1,0.03,0.3,0,50,124.1885,5,0.5,2,0,550,181.8225,5,1,8,0,300,7.901500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,0.269500,1,0.03,0.3,0,50,69.62300,5,0.5,2,0,550,595.0575,5,1,8,0,300,18.72400,6,0.5,1,0,100,0,0,0,0,na,na
A24015,0.319000,1,0.03,0.3,0,50,121.3080,5,0.5,2,0,550,252.1470,5,1,8,0,300,11.50250,6,0.5,1,0,100,0,0,0,0,na,na
A24017,0.301000,1,0.03,0.3,0,50,115.7590,5,0.5,2,0,550,9.618500,5,1,8,0,300,0.471000,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.529000,1,0.03,0.3,0,50,162.1890,5,0.5,2,0,550,119.9900,5,1,8,0,300,4.305500,6,0.5,1,0,100,0,0,0,0,na,na
A24021,0.302500,1,0.03,0.3,0,50,129.0990,5,0.5,2,0,550,182.2600,5,1,8,0,300,6.871500,6,0.5,1,0,100,0,0,0,0,na,na
A24023,0.303500,1,0.03,0.3,0,50,285.7340,5,0.5,2,0,550,149.7855,5,1,8,0,300,8.479000,6,0.5,1,0,100,0,0,0,0,na,na
A24025,0.447500,1,0.03,0.3,0,50,53.58050,5,0.5,2,0,550,336.0250,5,1,8,0,300,13.37300,6,0.5,1,0,100,0,0,0,0,na,na
A24027,0.361000,1,0.03,0.3,0,50,42.32300,5,0.5,2,0,550,246.0445,5,1,8,0,300,10.64700,6,0.5,1,0,100,0,0,0,0,na,na
A24029,0.287000,1,0.03,0.3,0,50,128.5070,5,0.5,2,0,550,72.65500,5,1,8,0,300,2.806000,6,0.5,1,0,100,0,0,0,0,na,na
A24031,0.286000,1,0.03,0.3,0,50,33.21050,5,0.5,2,0,550,210.2235,5,1,8,0,300,10.29250,6,0.5,1,0,100,0,0,0,0,na,na
A24033,0.288500,1,0.03,0.3,0,50,39.31350,5,0.5,2,0,550,147.0900,5,1,8,0,300,5.197000,6,0.5,1,0,100,0,0,0,0,na,na
