TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,1.489013,0.500000,0,0.148901,1.489013,0.500000,0.001379,0.000670
A10003,1,0,0,1,0,1,0,1,0,0.315039,0.500000,0,0.031504,0.315039,0.500000,0.000426,0.000338
A10005,1,0,0,1,0,1,0,1,0,1.483152,0.500000,0,0.148315,1.483152,0.500000,0.001251,0.000483
A11001,1,0,0,1,0,1,0,1,0,0.438740,0.500000,0,0.043874,0.438740,0.500000,0.000765,0.000460
A24001,1,0,0,1,0,1,0,1,0,0.442996,0.500000,0,0.044300,0.442996,0.500000,0.000664,0.000871
A24003,1,0,0,1,0,1,0,1,0,0.331212,0.500000,0,0.033122,0.331212,0.500000,0.000454,0.000366
A24005,1,0,0,1,0,1,0,1,0,0.876466,0.500000,0,0.087647,0.876466,0.500000,0.001146,0.000367
A24009,1,0,0,1,0,1,0,1,0,0.466197,0.500000,0,0.046620,0.466197,0.500000,0.000666,0.000431
A24011,1,0,0,1,0,1,0,1,0,0.328607,0.500000,0,0.032860,0.328607,0.500000,0.000406,0.000437
A24013,1,0,0,1,0,1,0,1,0,1.159864,0.500000,0,0.115985,1.159864,0.500000,0.001007,0.000771
A24015,1,0,0,1,0,1,0,1,0,0.599055,0.500000,0,0.059906,0.599055,0.500000,0.000790,0.000469
A24017,1,0,0,1,0,1,0,1,0,0.258282,0.500000,0,0.025828,0.258282,0.500000,0.000407,0.000534
A24019,1,0,0,1,0,1,0,1,0,0.287899,0.500000,0,0.028790,0.287899,0.500000,0.000366,0.000490
A24021,1,0,0,1,0,1,0,1,0,0.530942,0.500000,0,0.053094,0.530942,0.500000,0.000732,0.000484
A24023,1,0,0,1,0,1,0,1,0,0.264414,0.500000,0,0.026441,0.264414,0.500000,0.000338,0.000360
A24025,1,0,0,1,0,1,0,1,0,0.651284,0.500000,0,0.065129,0.651284,0.500000,0.000795,0.000354
A24027,1,0,0,1,0,1,0,1,0,0.610821,0.500000,0,0.061081,0.610821,0.500000,0.000835,0.000414
A24029,1,0,0,1,0,1,0,1,0,0.282706,0.500000,0,0.028271,0.282706,0.500000,0.000411,0.000315
A24031,1,0,0,1,0,1,0,1,0,0.650320,0.500000,0,0.065032,0.650320,0.500000,0.000977,0.000419
A24033,1,0,0,1,0,1,0,1,0,0.580589,0.500000,0,0.058060,0.580589,0.500000,0.000858,0.000526
A24035,1,0,0,1,0,1,0,1,0,0.732734,0.500000,0,0.073274,0.732734,0.500000,0.000801,0.000446
A24037,1,0,0,1,0,1,0,1,0,0.337631,0.500000,0,0.033763,0.337631,0.500000,0.000538,0.000544
A24039,1,0,0,1,0,1,0,1,0,0.271807,0.500000,0,0.027180,0.271807,0.500000,0.000350,0.000491
A24041,1,0,0,1,0,1,0,1,0,0.296592,0.500000,0,0.029659,0.296592,0.500000,0.000386,0.000401
A24043,1,0,0,1,0,1,0,1,0,1.809054,0.500000,0,0.180904,1.809054,0.500000,0.002710,0.000311
A24045,1,0,0,1,0,1,0,1,0,0.334457,0.500000,0,0.033446,0.334457,0.500000,0.000466,0.000553
A24047,1,0,0,1,0,1,0,1,0,0.345784,0.500000,0,0.034579,0.345784,0.500000,0.000470,0.000546
A24510,1,0,0,1,0,1,0,1,0,0.476102,0.500000,0,0.047611,0.476102,0.500000,0.000613,0.000325
A36003,1,0,0,1,0,1,0,1,0,0.421258,0.500000,0,0.042126,0.421258,0.500000,0.000499,0.000804
A36007,1,0,0,1,0,1,0,1,0,0.310084,0.500000,0,0.031008,0.310084,0.500000,0.000448,0.000389
A36015,1,0,0,1,0,1,0,1,0,0.446801,0.500000,0,0.044679,0.446801,0.500000,0.000614,0.000772
A36017,1,0,0,1,0,1,0,1,0,0.397189,0.500000,0,0.039719,0.397189,0.500000,0.000468,0.000379
A36023,1,0,0,1,0,1,0,1,0,0.299916,0.500000,0,0.029991,0.299916,0.500000,0.000433,0.000280
A36025,1,0,0,1,0,1,0,1,0,0.279107,0.500000,0,0.027911,0.279107,0.500000,0.000406,0.000352
A36043,1,0,0,1,0,1,0,1,0,0.335738,0.500000,0,0.033574,0.335738,0.500000,0.000412,0.000363
A36051,1,0,0,1,0,1,0,1,0,0.410769,0.500000,0,0.041077,0.410769,0.500000,0.000510,0.000501
A36053,1,0,0,1,0,1,0,1,0,0.382793,0.500000,0,0.038279,0.382793,0.500000,0.000511,0.000305
A36065,1,0,0,1,0,1,0,1,0,0.758669,0.500000,0,0.075867,0.758669,0.500000,0.000664,0.000466
A36067,1,0,0,1,0,1,0,1,0,0.308161,0.500000,0,0.030816,0.308161,0.500000,0.000475,0.000243
A36069,1,0,0,1,0,1,0,1,0,0.515592,0.500000,0,0.051559,0.515592,0.500000,0.000611,0.000555
A36077,1,0,0,1,0,1,0,1,0,0.328018,0.500000,0,0.032802,0.328018,0.500000,0.000448,0.000339
A36095,1,0,0,1,0,1,0,1,0,0.262371,0.500000,0,0.026237,0.262371,0.500000,0.000401,0.000288
A36097,1,0,0,1,0,1,0,1,0,0.337018,0.500000,0,0.033702,0.337018,0.500000,0.000466,0.000522
A36101,1,0,0,1,0,1,0,1,0,0.319517,0.500000,0,0.031952,0.319517,0.500000,0.000524,0.000525
A36107,1,0,0,1,0,1,0,1,0,0.327595,0.500000,0,0.032759,0.327595,0.500000,0.000469,0.000486
A36109,1,0,0,1,0,1,0,1,0,0.227764,0.500000,0,0.022776,0.227764,0.500000,0.000358,0.000422
A36123,1,0,0,1,0,1,0,1,0,0.400996,0.500000,0,0.040100,0.400996,0.500000,0.000526,0.000507
A37001,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37005,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37009,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37033,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37067,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37077,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37081,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37131,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37135,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37145,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37157,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37169,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37171,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37181,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37185,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37189,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A42001,1,0,0,1,0,1,0,1,0,0.329643,0.500000,0,0.032964,0.329643,0.500000,0.000483,0.000813
A42009,1,0,0,1,0,1,0,1,0,0.308853,0.500000,0,0.030886,0.308853,0.500000,0.000477,0.000415
A42011,1,0,0,1,0,1,0,1,0,0.193273,0.500000,0,0.019327,0.193273,0.500000,0.000298,0.000360
A42013,1,0,0,1,0,1,0,1,0,0.330800,0.500000,0,0.033081,0.330800,0.500000,0.000516,0.000326
A42015,1,0,0,1,0,1,0,1,0,0.402440,0.500000,0,0.040244,0.402440,0.500000,0.000567,0.000547
A42021,1,0,0,1,0,1,0,1,0,0.240429,0.500000,0,0.024043,0.240429,0.500000,0.000356,0.000314
A42023,1,0,0,1,0,1,0,1,0,0.219102,0.500000,0,0.021910,0.219102,0.500000,0.000313,0.000370
A42025,1,0,0,1,0,1,0,1,0,0.130748,0.500000,0,0.013075,0.130748,0.500000,0.000205,0.000377
A42027,1,0,0,1,0,1,0,1,0,1.620044,0.500000,0,0.162006,1.620044,0.500000,0.001365,0.000495
A42029,1,0,0,1,0,1,0,1,0,0.356142,0.500000,0,0.035614,0.356142,0.500000,0.000545,0.000349
A42033,1,0,0,1,0,1,0,1,0,0.303444,0.500000,0,0.030345,0.303444,0.500000,0.000428,0.000300
A42035,1,0,0,1,0,1,0,1,0,0.226306,0.500000,0,0.022630,0.226306,0.500000,0.000355,0.000275
A42037,1,0,0,1,0,1,0,1,0,0.502080,0.500000,0,0.050207,0.502080,0.500000,0.000501,0.000458
A42041,1,0,0,1,0,1,0,1,0,0.337794,0.500000,0,0.033780,0.337794,0.500000,0.000525,0.000360
A42043,1,0,0,1,0,1,0,1,0,0.357762,0.500000,0,0.035776,0.357762,0.500000,0.000536,0.000500
A42047,1,0,0,1,0,1,0,1,0,0.197026,0.500000,0,0.019703,0.197026,0.500000,0.000301,0.000343
A42055,1,0,0,1,0,1,0,1,0,0.552397,0.500000,0,0.055240,0.552397,0.500000,0.000827,0.000339
A42057,1,0,0,1,0,1,0,1,0,0.448982,0.500000,0,0.044898,0.448982,0.500000,0.000607,0.000690
A42061,1,0,0,1,0,1,0,1,0,0.330043,0.500000,0,0.033004,0.330043,0.500000,0.000509,0.000406
A42063,1,0,0,1,0,1,0,1,0,0.217485,0.500000,0,0.021749,0.217485,0.500000,0.000343,0.000312
A42065,1,0,0,1,0,1,0,1,0,0.235454,0.500000,0,0.023545,0.235454,0.500000,0.000341,0.000350
A42067,1,0,0,1,0,1,0,1,0,0.371360,0.500000,0,0.037137,0.371360,0.500000,0.000556,0.000456
A42069,1,0,0,1,0,1,0,1,0,0.280642,0.500000,0,0.028064,0.280642,0.500000,0.000443,0.000288
A42071,1,0,0,1,0,1,0,1,0,0.600228,0.500000,0,0.060022,0.600228,0.500000,0.000900,0.000328
A42075,1,0,0,1,0,1,0,1,0,0.949332,0.500000,0,0.094932,0.949332,0.500000,0.001216,0.000310
A42079,1,0,0,1,0,1,0,1,0,0.331247,0.500000,0,0.033125,0.331247,0.500000,0.000496,0.000333
A42081,1,0,0,1,0,1,0,1,0,0.265374,0.500000,0,0.026537,0.265374,0.500000,0.000395,0.000286
A42083,1,0,0,1,0,1,0,1,0,0.164615,0.500000,0,0.016462,0.164615,0.500000,0.000249,0.000347
