landseg,SORGN,UORGN,LROGN,AORGN
A24037,     0.000,    71.282,     4.765,     0.000
A24009,     0.000,    68.736,     9.748,     0.000
F24009,     0.000,    68.886,     9.756,     0.000
F24037,     0.000,    72.955,     3.870,     0.000
A24033,     0.000,    77.132,    11.351,     0.192
F24033,     0.000,    82.639,    10.069,     0.000
A24003,     0.000,    83.352,    11.407,     0.000
F24003,     0.000,    83.225,    11.364,     0.000
A24027,     0.000,   104.231,    23.439,     0.000
F24027,     0.000,    98.692,    24.481,     0.408
A24031,     0.000,    92.905,    16.111,     0.410
F24031,     0.000,    77.335,    18.349,     1.545
A51073,     0.000,   119.698,    10.301,     0.000
A51115,     0.000,    83.485,     7.233,     0.000
A51119,     0.000,    96.358,     7.682,     0.000
A51199,     0.000,    78.145,    11.594,     0.000
F51199,     0.000,    78.172,    11.596,     0.000
A51095,     0.000,    97.996,    11.175,     0.129
A51097,     0.000,    85.250,    14.842,     0.055
A51127,     0.000,    83.276,    11.485,     1.121
A51830,     0.000,    40.981,    27.657,     0.000
F51095,     0.000,    97.949,    11.170,     0.122
F51830,     0.000,    40.929,    27.711,     0.000
A51650,     0.000,    45.210,    17.778,     0.000
A51735,     0.000,    33.356,    35.069,     0.000
F51650,     0.000,    45.330,    17.818,     0.000
F51735,     0.000,    32.755,    35.284,     0.000
A51101,     0.000,   104.698,    11.960,     0.245
A51033,     0.000,   105.254,    11.985,     0.448
F51033,     0.000,   103.158,    11.035,     0.479
A51177,     0.000,   101.279,    10.522,     1.748
F51177,     0.000,   101.146,    10.547,     1.765
F51101,     0.000,   108.993,     9.894,     0.000
A51109,     0.000,    80.227,     8.194,     0.443
A51003,     0.000,   126.154,    21.294,     2.897
A51065,     0.000,    89.997,    11.853,     0.776
A51075,     0.000,    97.735,     9.614,     0.226
A51103,     0.000,   125.683,    10.710,     0.000
A51133,     0.000,   111.072,    10.063,     0.000
A51057,     0.000,   113.608,    28.073,     0.000
A51159,     0.000,    89.754,     9.257,     0.102
F51159,     0.000,    91.339,     8.148,     0.000
A51099,     0.000,   114.203,    15.915,     0.000
A51630,     0.000,    47.692,    20.333,     0.000
F51057,     0.000,   120.730,    24.222,     0.000
F51099,     0.000,   113.990,    15.881,     0.000
F51630,     0.000,    61.593,    31.186,     0.000
A51047,     0.000,   100.126,    15.194,     0.229
A51061,     0.000,   113.181,    15.015,     2.479
A51157,     0.000,   131.190,    19.836,     1.498
B51061,     0.000,   112.309,    21.024,     0.563
B51157,     0.000,   130.467,    19.048,     1.077
F51061,     0.000,   125.280,    15.508,     0.690
F51157,     0.000,   131.411,    19.704,     1.507
A51113,     0.000,   124.888,    20.555,     2.011
B51113,     0.000,   125.874,    19.612,     1.389
F51113,     0.000,   127.031,    19.627,     1.695
A51079,     0.000,   110.038,    14.688,     0.560
B51079,     0.000,   110.241,    14.877,     0.000
F51079,     0.000,   112.641,    14.816,     0.078
A51137,     0.000,   119.203,    14.072,     1.686
F51137,     0.000,   124.100,    13.149,     1.513
A24005,     0.000,    81.404,    27.957,     0.364
A24510,     0.000,    73.907,    40.903,     0.000
F24005,     0.000,    80.231,    28.246,     0.427
F24510,     0.000,    74.232,    40.891,     0.000
A24013,     0.000,   109.616,    67.723,     2.787
F24013,     0.000,   128.449,    63.451,     1.310
A24025,     0.000,   105.569,    32.211,     0.000
F24025,     0.000,   113.027,    28.509,     0.000
A10001,     0.000,    92.935,    64.556,     2.730
A10005,     0.000,    75.588,    70.831,     3.343
A24011,     0.000,    90.174,    29.262,     0.000
A24019,     0.000,    91.264,    27.727,     0.000
A24045,     0.000,    81.400,    14.973,     0.000
F24019,     0.000,    90.541,    27.731,     0.000
A24047,     0.000,   107.542,    23.455,     0.000
F24045,     0.000,    86.801,    11.756,     0.000
A24039,     0.000,   101.132,    18.964,     0.000
A51001,     0.000,    93.015,    21.249,     0.000
F24039,     0.000,   100.257,    19.054,     0.000
F51001,     0.000,    93.006,    21.256,     0.000
A51131,     0.000,    88.581,    38.392,     0.040
F51131,     0.000,    88.690,    38.406,     0.053
F10005,     0.000,    98.286,    68.973,     2.537
A24041,     0.000,   102.373,    24.060,     0.000
F24041,     0.000,   101.781,    24.084,     0.000
A24035,     0.000,    89.574,    41.141,     0.946
F24035,     0.000,   100.160,    38.944,     0.000
A24015,     0.000,   132.425,    28.993,     0.072
A10003,     0.000,   114.599,    20.776,     0.000
F24015,     0.000,   137.077,    24.186,     0.000
A24029,     0.000,    96.643,    15.238,     0.000
F24029,     0.000,    96.602,    15.229,     0.000
A42029,     0.000,   111.054,    14.090,     0.000
A51041,     0.000,    65.731,    14.672,     2.212
A51145,     0.000,    77.823,     8.102,     0.000
A51570,     0.000,    46.081,     6.832,     0.000
A51149,     0.000,    45.528,    39.106,     0.753
A51670,     0.000,    42.431,    29.049,     0.000
F51149,     0.000,    53.900,    39.038,     0.000
F51670,     0.000,    42.357,    29.034,     0.000
A51007,     0.000,    72.697,     5.394,     1.002
A51135,     0.000,    70.341,     6.453,     0.613
A51147,     0.000,    64.880,     5.647,     0.886
A51011,     0.000,    80.023,     8.495,     0.110
A51029,     0.000,    78.927,    10.109,     0.002
A51049,     0.000,    82.731,     6.760,     0.372
F51011,     0.000,    78.468,     7.865,     0.401
F51147,     0.000,    66.237,     4.987,     0.000
F51145,     0.000,    77.917,     7.022,     0.000
A51053,     0.000,    55.154,    18.467,     0.791
A51730,     0.000,    32.253,    13.615,     0.000
F51053,     0.000,    56.936,    19.197,     0.000
F51730,     0.000,    42.075,    26.577,     0.000
A51036,     0.000,    81.577,    11.727,     1.467
A51087,     0.000,    88.935,    12.116,     1.075
A51760,     0.000,    37.873,    10.669,     0.034
F51041,     0.000,    78.439,     5.969,     0.540
F51087,     0.000,    88.938,    12.114,     1.076
F51760,     0.000,    48.842,    22.986,     0.000
A51181,     0.000,    36.260,    31.032,     0.449
F51181,     0.000,    43.623,    30.991,     0.000
A51550,     0.000,    84.400,    22.278,     0.013
A51710,     0.000,    49.049,    14.349,     0.000
A51810,     0.000,    83.820,    29.637,     0.000
F51710,     0.000,    49.247,    14.357,     0.000
