TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.281046,0.023645,0.,10.00000,0.281046,na,na,0.281046,0.004733,0.,10.00000,0.281046,na,na,0.030024,0.004611,0.000441,2.038473,0.030024,na,na,0.000100,0.004611,0.000648,0.339745,0.000100,64.74689,50000.00,0.0001,1.07,15444.75,107.5112,0.0001,1.07,1.612856,2.892186,0.0001,1.07,1.612856,2.892186,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.289931,0.003689,0.,10.00000,0.289931,na,na,0.289931,0.000738,0.,10.00000,0.289931,na,na,0.037674,0.011199,0.000143,2.975742,0.037674,na,na,0.000100,0.011199,0.000286,0.495959,0.000100,140.7622,39253.68,0.0001,1.07,7104.184,229.2778,0.0001,1.07,1.254637,3.825017,0.0001,1.07,1.254637,3.825017,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.352637,0.039960,0.,10.00000,0.352637,na,na,0.246174,0.007997,0.,10.00000,0.246174,na,na,0.024618,0.001398,0.001762,0.642553,0.024618,na,na,0.000100,0.001398,0.001936,0.107092,0.000100,28.12421,50000.00,0.0001,1.07,35556.54,13.86720,0.0001,1.07,3.579636,4.338076,0.0001,1.07,3.579636,4.338076,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.001000,0.001727,0.,10.00000,1.000000,na,na,0.001000,0.000345,0.,5.555904,1.000000,na,na,0.001000,0.000490,0.006384,0.286873,0.200000,na,na,0.000100,0.000490,0.007081,0.047813,0.000100,6966.938,50000.00,0.0001,1.07,143.5351,37.06017,0.0001,1.07,3.046491,2.506065,0.0001,1.07,3.046491,2.506065,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.242195,0.002169,0.,10.00000,0.242195,na,na,0.242195,0.000434,0.,10.00000,0.242195,na,na,0.038513,0.022324,0.000056,1.585044,0.038513,na,na,0.000100,0.022324,0.000112,0.264174,0.000100,92.00835,50000.00,0.0001,1.07,10868.58,85.01707,0.0001,1.07,0.532477,1.843122,0.0001,1.07,0.532477,1.843122,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.228819,0.003452,0.,10.00000,0.228819,na,na,0.228819,0.000689,0.,10.00000,0.228819,na,na,0.029395,0.005886,0.000296,0.596430,0.029395,na,na,0.000100,0.005886,0.000592,0.099404,0.000100,91.00337,32697.80,0.0001,1.07,10988.60,275.2479,0.0001,1.07,2.043375,4.456892,0.0001,1.07,2.043375,4.456892,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.169124,0.005415,0.,10.00000,0.169124,na,na,0.169124,0.001082,0.,10.00000,0.169124,na,na,0.020701,0.001713,0.001136,0.871000,0.020701,na,na,0.000100,0.001713,0.001136,0.145167,0.000100,249.3310,41648.97,0.0001,1.07,4010.733,216.0919,0.0001,1.07,4.086242,4.681808,0.0001,1.07,4.086242,4.681808,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.301731,0.010408,0.,10.00000,0.301731,na,na,0.301731,0.002079,0.,10.00000,0.301731,na,na,0.042706,0.006992,0.000254,2.630042,0.042706,na,na,0.000100,0.006992,0.000474,0.438342,0.000100,166.6372,33095.60,0.0001,1.07,6001.060,271.9394,0.0001,1.07,1.379614,2.816856,0.0001,1.07,1.379614,2.816856,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.405528,0.010215,0.,10.00000,0.405528,na,na,0.405528,0.002039,0.,10.00000,0.405528,na,na,0.044043,0.012171,0.000126,1.917588,0.044043,na,na,0.000100,0.012171,0.000252,0.319596,0.000100,13.85982,50000.00,0.0001,1.07,50000.00,82.05011,0.0001,1.07,0.962583,2.651916,0.0001,1.07,0.962583,2.651916,0.0001,1.07,0.5,0.1,0,0,1.07,20
