TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,6.476000,1,0.03,0.3,0,50,68.11450,5,0.5,2,0,550,94.89000,5,1,8,0,300,7.624000,6,0.5,1,0,100,0,0,0,0,na,na
A10003,4.346500,1,0.03,0.3,0,50,294.4560,5,0.5,2,0,550,13.43550,5,1,8,0,300,1.142000,6,0.5,1,0,100,0,0,0,0,na,na
A10005,2.508000,1,0.03,0.3,0,50,116.2800,5,0.5,2,0,550,250.6040,5,1,8,0,300,26.70950,6,0.5,1,0,100,0,0,0,0,na,na
A11001,6.300500,1,0.03,0.3,0,50,98.62350,5,0.5,2,0,550,133.1750,5,1,8,0,300,12.45650,6,0.5,1,0,100,0,0,0,0,na,na
A24001,5.595500,1,0.03,0.3,0,50,595.5870,5,0.5,2,0,550,6.626500,5,1,8,0,300,0.623500,6,0.5,1,0,100,0,0,0,0,na,na
A24003,1.992000,1,0.03,0.3,0,50,260.1005,5,0.5,2,0,550,34.16800,5,1,8,0,300,3.697500,6,0.5,1,0,100,0,0,0,0,na,na
A24005,2.846500,1,0.03,0.3,0,50,194.3160,5,0.5,2,0,550,134.5985,5,1,8,0,300,14.20350,6,0.5,1,0,100,0,0,0,0,na,na
A24009,1.038000,1,0.03,0.3,0,50,94.63950,5,0.5,2,0,550,46.57850,5,1,8,0,300,3.752500,6,0.5,1,0,100,0,0,0,0,na,na
A24011,1.495000,1,0.03,0.3,0,50,213.8395,5,0.5,2,0,550,11.70650,5,1,8,0,300,0.911500,6,0.5,1,0,100,0,0,0,0,na,na
A24013,5.767500,1,0.03,0.3,0,50,420.8185,5,0.5,2,0,550,52.79150,5,1,8,0,300,4.491000,6,0.5,1,0,100,0,0,0,0,na,na
A24015,2.251000,1,0.03,0.3,0,50,378.6505,5,0.5,2,0,550,61.73100,5,1,8,0,300,5.644500,6,0.5,1,0,100,0,0,0,0,na,na
A24017,1.416500,1,0.03,0.3,0,50,207.3105,5,0.5,2,0,550,34.96800,5,1,8,0,300,2.929000,6,0.5,1,0,100,0,0,0,0,na,na
A24019,0.671000,1,0.03,0.3,0,50,359.3175,5,0.5,2,0,550,21.24850,5,1,8,0,300,1.562000,6,0.5,1,0,100,0,0,0,0,na,na
A24021,2.640500,1,0.03,0.3,0,50,417.4620,5,0.5,2,0,550,46.20250,5,1,8,0,300,3.296000,6,0.5,1,0,100,0,0,0,0,na,na
A24023,6.221500,1,0.03,0.3,0,50,481.6770,5,0.5,2,0,550,75.28250,5,1,8,0,300,8.607000,6,0.5,1,0,100,0,0,0,0,na,na
