TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.187001,0.500000,0,0.018700,0.187001,0.500000,0.000514,0.000228
A10003,1,0,0,1,0,1,0,1,0,0.071935,0.500000,0,0.007194,0.071935,0.500000,0.000211,0.000159
A10005,1,0,0,1,0,1,0,1,0,0.378126,0.500000,0,0.037812,0.378126,0.500000,0.000661,0.000235
A11001,1,0,0,1,0,1,0,1,0,0.174118,0.500000,0,0.017412,0.174118,0.500000,0.000495,0.000282
A24001,1,0,0,1,0,1,0,1,0,0.275712,0.500000,0,0.027571,0.275712,0.500000,0.000539,0.000664
A24003,1,0,0,1,0,1,0,1,0,0.083703,0.500000,0,0.008370,0.083703,0.500000,0.000237,0.000180
A24005,1,0,0,1,0,1,0,1,0,0.244844,0.500000,0,0.024484,0.244844,0.500000,0.000625,0.000191
A24009,1,0,0,1,0,1,0,1,0,0.139725,0.500000,0,0.013973,0.139725,0.500000,0.000372,0.000233
A24011,1,0,0,1,0,1,0,1,0,0.115551,0.500000,0,0.011555,0.115551,0.500000,0.000247,0.000254
A24013,1,0,0,1,0,1,0,1,0,0.176652,0.500000,0,0.017665,0.176652,0.500000,0.000425,0.000280
A24015,1,0,0,1,0,1,0,1,0,0.180871,0.500000,0,0.018087,0.180871,0.500000,0.000451,0.000251
A24017,1,0,0,1,0,1,0,1,0,0.086691,0.500000,0,0.008669,0.086691,0.500000,0.000242,0.000304
A24019,1,0,0,1,0,1,0,1,0,0.062552,0.500000,0,0.006255,0.062552,0.500000,0.000179,0.000221
A24021,1,0,0,1,0,1,0,1,0,0.197872,0.500000,0,0.019787,0.197872,0.500000,0.000461,0.000288
