TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.136097,0.001307,0.,9.018073,0.136097,na,na,0.136097,0.002609,0.,6.929879,0.136097,na,na,0.000100,0.001141,0.001220,0.348786,0.200000,na,na,0.000100,0.001141,0.001220,0.117482,0.000100,2655.981,1410.564,0.0001,1.07,376.5087,6380.427,0.0001,1.07,7.889061,367.5676,0.0001,1.07,7.889061,367.5676,0.0001,1.07,na,na,na,na,na,na
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.449692,0.000222,0.,10.00000,0.449692,na,na,0.449692,0.000376,0.,8.840274,0.449692,na,na,0.000100,0.002106,0.000698,0.358394,0.200000,na,na,0.000100,0.002106,0.000698,0.115857,0.000100,355.2714,1321.415,0.0001,1.07,2814.751,6810.882,0.0001,1.07,10.19452,472.8837,0.0001,1.07,10.19452,472.8837,0.0001,1.07,na,na,na,na,na,na
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.157766,0.000996,0.,8.856261,0.157766,na,na,0.157766,0.001990,0.,8.856261,0.157766,na,na,0.000100,0.000457,0.002722,0.216485,0.200000,na,na,0.000100,0.000457,0.002722,0.036081,0.000100,4887.903,4551.982,0.0001,1.07,204.5867,1977.161,0.0001,1.07,14.55001,620.3367,0.0001,1.07,14.55001,620.3367,0.0001,1.07,na,na,na,na,na,na
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.199591,0.000656,0.,10.00000,0.199591,na,na,0.199591,0.001312,0.,5.474534,0.199591,na,na,0.000100,0.001358,0.001158,0.372634,0.200000,na,na,0.000100,0.001358,0.001158,0.062106,0.000100,1602.810,3520.584,0.0001,1.07,623.9039,2556.393,0.0001,1.07,6.817246,341.5108,0.0001,1.07,6.817246,341.5108,0.0001,1.07,na,na,na,na,na,na
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.358664,0.000279,0.,6.438880,0.358664,na,na,0.358664,0.000549,0.,3.219441,0.358664,na,na,0.000100,0.001878,0.000801,0.732387,0.200000,na,na,0.000100,0.001878,0.000801,0.274021,0.000100,634.8196,972.4006,0.0001,1.07,1205.212,9255.443,0.0001,1.07,10.37707,308.1538,0.0001,1.07,10.37707,308.1538,0.0001,1.07,na,na,na,na,na,na
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.409177,0.000244,0.,8.322124,0.409177,na,na,0.409177,0.000411,0.,4.161063,0.409177,na,na,0.000100,0.002523,0.000984,0.134626,0.200000,na,na,0.000100,0.002523,0.000984,0.022438,0.000100,369.9210,1775.211,0.0001,1.07,1877.092,5069.822,0.0001,1.07,9.422869,521.4536,0.0001,1.07,9.422869,521.4536,0.0001,1.07,na,na,na,na,na,na
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.137884,0.001254,0.,10.00000,0.137884,na,na,0.137884,0.002510,0.,5.682285,0.137884,na,na,0.000100,0.000604,0.002257,0.292741,0.200000,na,na,0.000100,0.000604,0.002257,0.061680,0.000100,1318.108,2768.162,0.0001,1.07,414.3281,3251.255,0.0001,1.07,12.43083,540.8521,0.0001,1.07,12.43083,540.8521,0.0001,1.07,na,na,na,na,na,na
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.218777,0.000566,0.,7.181659,0.218777,na,na,0.218777,0.001134,0.,3.590831,0.218777,na,na,0.000100,0.001329,0.001051,0.348089,0.200000,na,na,0.000100,0.001329,0.001051,0.127503,0.000100,505.7658,4600.763,0.0001,1.07,731.5091,1956.197,0.0001,1.07,8.204975,356.1922,0.0001,1.07,8.204975,356.1922,0.0001,1.07,na,na,na,na,na,na
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.617211,0.000162,0.,10.00000,0.617211,na,na,0.617211,0.000217,0.,10.00000,0.617211,na,na,0.000100,0.001691,0.000839,0.322233,0.200000,na,na,0.000100,0.001691,0.000839,0.074270,0.000100,537.7967,1206.640,0.0001,1.07,1859.439,7458.730,0.0001,1.07,9.323949,430.6843,0.0001,1.07,9.323949,430.6843,0.0001,1.07,na,na,na,na,na,na
