TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A10001,0.,1,0.03,0.3,0,4.359500,51.67500,5,0.5,2,0,1479.513,37.90850,5,1,8,0,1536.669,1.672500,6,0.5,1,0,828.0125,0,0,0,0,na,na
A10003,0.,1,0.03,0.3,0,1.690000,177.1045,5,0.5,2,0,1503.917,21.13450,5,1,8,0,1461.433,0.927500,6,0.5,1,0,825.5265,0,0,0,0,na,na
A10005,0.,1,0.03,0.3,0,16.27600,36.94500,5,0.5,2,0,1466.647,46.49250,5,1,8,0,1589.018,2.450000,6,0.5,1,0,833.5480,0,0,0,0,na,na
A11001,0.,1,0.03,0.3,0,18.39700,83.77750,5,0.5,2,0,1612.884,35.83150,5,1,8,0,1547.430,1.449000,6,0.5,1,0,825.0245,0,0,0,0,na,na
A24001,0.,1,0.03,0.3,0,3.295000,89.36950,5,0.5,2,0,1376.411,21.47450,5,1,8,0,1495.001,0.812000,6,0.5,1,0,822.1985,0,0,0,0,na,na
A24003,0.,1,0.03,0.3,0,0.246000,130.8640,5,0.5,2,0,1556.592,23.19700,5,1,8,0,1480.292,1.175000,6,0.5,1,0,825.8475,0,0,0,0,na,na
A24005,0.,1,0.03,0.3,0,0.099500,53.23050,5,0.5,2,0,1455.142,43.78850,5,1,8,0,1573.589,2.206500,6,0.5,1,0,831.3975,0,0,0,0,na,na
A24009,0.,1,0.03,0.3,0,0.014000,74.45300,5,0.5,2,0,1418.659,31.47600,5,1,8,0,1502.286,1.413000,6,0.5,1,0,828.9595,0,0,0,0,na,na
A24011,0.,1,0.03,0.3,0,3.714500,113.4285,5,0.5,2,0,1579.160,21.55450,5,1,8,0,1457.371,1.046000,6,0.5,1,0,826.4580,0,0,0,0,na,na
