TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.000415,0.008406,0,0.000042,0.000415,0.500000,0.841E-05,0.428E-05
A10003,1,0,0,1,0,1,0,1,0,0.000190,0.003857,0,0.000019,0.000190,0.500000,0.386E-05,0.340E-05
A10005,1,0,0,1,0,1,0,1,0,0.000399,0.008090,0,0.000040,0.000399,0.500000,0.809E-05,0.322E-05
A11001,1,0,0,1,0,1,0,1,0,0.000420,0.008517,0,0.000042,0.000420,0.500000,0.852E-05,0.514E-05
A24001,1,0,0,1,0,1,0,1,0,0.000317,0.006421,0,0.000032,0.000317,0.500000,0.642E-05,0.750E-05
A24003,1,0,0,1,0,1,0,1,0,0.000194,0.003943,0,0.000019,0.000194,0.500000,0.394E-05,0.364E-05
A24005,1,0,0,1,0,1,0,1,0,0.000414,0.008390,0,0.000041,0.000414,0.500000,0.839E-05,0.358E-05
A24009,1,0,0,1,0,1,0,1,0,0.000233,0.004722,0,0.000023,0.000233,0.500000,0.472E-05,0.425E-05
A24011,1,0,0,1,0,1,0,1,0,0.000166,0.003364,0,0.000017,0.000166,0.500000,0.336E-05,0.383E-05
A24013,1,0,0,1,0,1,0,1,0,0.000299,0.006066,0,0.000030,0.000299,0.500000,0.607E-05,0.448E-05
A24015,1,0,0,1,0,1,0,1,0,0.000314,0.006371,0,0.000031,0.000314,0.500000,0.637E-05,0.424E-05
A24017,1,0,0,1,0,1,0,1,0,0.000180,0.003653,0,0.000018,0.000180,0.500000,0.365E-05,0.523E-05
A24019,1,0,0,1,0,1,0,1,0,0.000152,0.003077,0,0.000015,0.000152,0.500000,0.308E-05,0.423E-05
A24021,1,0,0,1,0,1,0,1,0,0.000289,0.005869,0,0.000029,0.000289,0.500000,0.587E-05,0.449E-05
A24023,1,0,0,1,0,1,0,1,0,0.000148,0.003003,0,0.000015,0.000148,0.500000,0.300E-05,0.340E-05
A24025,1,0,0,1,0,1,0,1,0,0.000313,0.006348,0,0.000031,0.000313,0.500000,0.635E-05,0.333E-05
A24027,1,0,0,1,0,1,0,1,0,0.000344,0.006969,0,0.000034,0.000344,0.500000,0.697E-05,0.398E-05
A24029,1,0,0,1,0,1,0,1,0,0.000191,0.003879,0,0.000019,0.000191,0.500000,0.388E-05,0.344E-05
A24031,1,0,0,1,0,1,0,1,0,0.000395,0.008004,0,0.000040,0.000395,0.500000,0.800E-05,0.431E-05
A24033,1,0,0,1,0,1,0,1,0,0.000285,0.005778,0,0.000029,0.000285,0.500000,0.578E-05,0.505E-05
A24035,1,0,0,1,0,1,0,1,0,0.000284,0.005762,0,0.000028,0.000284,0.500000,0.576E-05,0.360E-05
A24037,1,0,0,1,0,1,0,1,0,0.000239,0.004842,0,0.000024,0.000239,0.500000,0.484E-05,0.541E-05
A24039,1,0,0,1,0,1,0,1,0,0.000147,0.002972,0,0.000015,0.000147,0.500000,0.297E-05,0.430E-05
A24041,1,0,0,1,0,1,0,1,0,0.000168,0.003401,0,0.000017,0.000168,0.500000,0.340E-05,0.373E-05
A24043,1,0,0,1,0,1,0,1,0,0.001078,0.021862,0,0.000108,0.001078,0.500000,0.000022,0.360E-05
A24045,1,0,0,1,0,1,0,1,0,0.000200,0.004048,0,0.000020,0.000200,0.500000,0.405E-05,0.496E-05
A24047,1,0,0,1,0,1,0,1,0,0.000197,0.003990,0,0.000020,0.000197,0.500000,0.399E-05,0.480E-05
A24510,1,0,0,1,0,1,0,1,0,0.000277,0.005617,0,0.000028,0.000277,0.500000,0.562E-05,0.324E-05
A36003,1,0,0,1,0,1,0,1,0,0.000188,0.003817,0,0.000019,0.000188,0.500000,0.382E-05,0.586E-05
A36007,1,0,0,1,0,1,0,1,0,0.000217,0.004409,0,0.000022,0.000217,0.500000,0.441E-05,0.391E-05
A36015,1,0,0,1,0,1,0,1,0,0.000266,0.005400,0,0.000027,0.000266,0.500000,0.540E-05,0.636E-05
A36017,1,0,0,1,0,1,0,1,0,0.000191,0.003879,0,0.000019,0.000191,0.500000,0.388E-05,0.334E-05
A36023,1,0,0,1,0,1,0,1,0,0.000214,0.004330,0,0.000021,0.000214,0.500000,0.433E-05,0.316E-05
A36025,1,0,0,1,0,1,0,1,0,0.000191,0.003880,0,0.000019,0.000191,0.500000,0.388E-05,0.372E-05
A36043,1,0,0,1,0,1,0,1,0,0.000170,0.003450,0,0.000017,0.000170,0.500000,0.345E-05,0.334E-05
A36051,1,0,0,1,0,1,0,1,0,0.000202,0.004097,0,0.000020,0.000202,0.500000,0.410E-05,0.427E-05
A36053,1,0,0,1,0,1,0,1,0,0.000228,0.004620,0,0.000023,0.000228,0.500000,0.462E-05,0.318E-05
A36065,1,0,0,1,0,1,0,1,0,0.000202,0.004088,0,0.000020,0.000202,0.500000,0.409E-05,0.318E-05
A36067,1,0,0,1,0,1,0,1,0,0.000247,0.005006,0,0.000025,0.000247,0.500000,0.501E-05,0.303E-05
A36069,1,0,0,1,0,1,0,1,0,0.000233,0.004719,0,0.000023,0.000233,0.500000,0.472E-05,0.447E-05
A36077,1,0,0,1,0,1,0,1,0,0.000202,0.004101,0,0.000020,0.000202,0.500000,0.410E-05,0.348E-05
A36095,1,0,0,1,0,1,0,1,0,0.000204,0.004141,0,0.000020,0.000204,0.500000,0.414E-05,0.335E-05
A36097,1,0,0,1,0,1,0,1,0,0.000203,0.004120,0,0.000020,0.000203,0.500000,0.412E-05,0.477E-05
A36101,1,0,0,1,0,1,0,1,0,0.000257,0.005215,0,0.000026,0.000257,0.500000,0.522E-05,0.546E-05
A36107,1,0,0,1,0,1,0,1,0,0.000221,0.004491,0,0.000022,0.000221,0.500000,0.449E-05,0.460E-05
A36109,1,0,0,1,0,1,0,1,0,0.000180,0.003652,0,0.000018,0.000180,0.500000,0.365E-05,0.441E-05
A36123,1,0,0,1,0,1,0,1,0,0.000219,0.004434,0,0.000022,0.000219,0.500000,0.443E-05,0.451E-05
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
