TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.225524,0.034315,0.,10.00000,0.225524,na,na,0.127290,0.002058,0.,6.894713,0.127290,na,na,0.012729,0.000484,0.002148,0.450382,0.012729,na,na,0.000100,0.000484,0.002148,0.322082,0.000100,5.626623,2306.299,0.0001,1.07,50000.00,3902.357,0.0001,1.07,31.28392,1.200633,0.0001,1.07,31.28392,1.200633,0.0001,1.07,0.241917,0.048383,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.206672,0.002520,0.,10.00000,0.206672,na,na,0.134250,0.000151,0.,6.241296,0.134250,na,na,0.013425,0.000407,0.002561,0.430203,0.013425,na,na,0.000100,0.000407,0.002561,0.343245,0.000100,5.792272,1106.664,0.0001,1.07,50000.00,8132.553,0.0001,1.07,51.69281,2.347952,0.0001,1.07,51.69281,2.347952,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.282075,0.043876,0.,10.00000,0.282075,na,na,0.154634,0.002633,0.,10.00000,0.154634,na,na,0.015463,0.000414,0.003019,0.460139,0.015463,na,na,0.000100,0.000414,0.003019,0.113872,0.000100,4.886954,14373.47,0.0001,1.07,50000.00,626.1537,0.0001,1.07,40.42252,1.572208,0.0001,1.07,40.42252,1.572208,0.0001,1.07,0.103773,0.020755,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.005589,0.,4.801753,1.000000,na,na,0.000100,0.000335,0.,2.400877,1.000000,na,na,0.000100,0.000100,0.010000,0.370283,0.200000,na,na,0.000100,0.000100,0.010000,0.135946,0.000100,161.1370,7777.980,0.0001,1.07,6205.898,1157.113,0.0001,1.07,32.93714,1.317575,0.0001,1.07,32.93714,1.317575,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.258993,0.000879,0.,10.00000,0.258993,na,na,0.258993,0.000100,0.,10.00000,0.258993,na,na,0.036947,0.000184,0.005949,0.667180,0.036947,na,na,0.000100,0.000184,0.005949,0.376720,0.000100,7.852178,2289.466,0.0001,1.07,50000.00,3931.047,0.0001,1.07,34.22762,1.223788,0.0001,1.07,34.22762,1.223788,0.0001,1.07,3.465396,0.693079,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.213586,0.005536,0.,10.00000,0.213586,na,na,0.160181,0.000332,0.,5.763956,0.160181,na,na,0.016018,0.000857,0.002235,0.288357,0.016018,na,na,0.000100,0.000857,0.002235,0.048059,0.000100,4.113657,730.2409,0.0001,1.07,50000.00,12324.70,0.0001,1.07,43.54269,1.949384,0.0001,1.07,43.54269,1.949384,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.263117,0.015855,0.,10.00000,0.263117,na,na,0.245198,0.000950,0.,9.186201,0.245198,na,na,0.024520,0.000153,0.006824,0.438034,0.024520,na,na,0.000100,0.000153,0.006824,0.192543,0.000100,18.09714,527.1269,0.0001,1.07,48567.61,17073.69,0.0001,1.07,49.90606,1.937978,0.0001,1.07,49.90606,1.937978,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.220024,0.013248,0.,10.00000,0.220024,na,na,0.179903,0.000794,0.,5.337465,0.179903,na,na,0.017990,0.000458,0.002337,0.479424,0.017990,na,na,0.000100,0.000458,0.002337,0.351952,0.000100,11.66278,361.8863,0.0001,1.07,50000.00,24869.68,0.0001,1.07,31.11285,1.344394,0.0001,1.07,31.11285,1.344394,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.174708,0.005836,0.,10.00000,0.174708,na,na,0.085708,0.000350,0.,6.668841,0.085708,na,na,0.008571,0.000706,0.001673,0.438328,0.008571,na,na,0.000100,0.000706,0.001673,0.200087,0.000100,1.822027,2621.740,0.0001,1.07,50000.00,3432.836,0.0001,1.07,34.62822,1.414084,0.0001,1.07,34.62822,1.414084,0.0001,1.07,0.5,0.1,0,0,1.07,20
