TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,100.0000,1.5,20.00000,0.096298,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,100.0000,1.5,20.00000,0.100359,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,98.30828,1.5,20.00000,0.254301,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,100.0000,1.5,20.00000,0.013760,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,100.0000,1.5,20.00000,0.073383,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,18.72945,1.5,20.00000,1.334795,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,100.0000,1.5,20.00000,0.241649,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,32.43914,1.5,20.00000,0.770675,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,100.0000,1.5,20.00000,0.239229,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,14.77058,1.5,20.00000,1.692553,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,88.79685,1.5,20.00000,0.281542,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,37.85073,1.5,20.00000,0.660489,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,100.0000,1.5,20.00000,0.033392,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24027,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24029,50,1.000000,100.0000,1.5,20.00000,0.248420,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24031,50,1.000000,100.0000,1.5,20.00000,0.021438,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
