landseg,SORGN,UORGN,LROGN,AORGN
A24037,     0.000,    48.298,     3.902,     0.501
A24009,     0.000,    35.746,     7.274,     1.025
F24009,     0.000,    35.567,     7.451,     1.018
F24037,     0.000,    52.394,     1.237,     0.519
A24033,     0.000,    39.602,    11.296,     0.919
F24033,     0.000,    44.226,     6.561,     0.932
A24003,     0.000,    49.737,     3.280,     1.118
F24003,     0.000,    49.953,     3.191,     1.119
A24027,     0.000,    49.557,    14.437,     1.191
F24027,     0.000,    43.028,    19.588,     1.396
A24031,     0.000,    48.733,    17.475,     1.284
F24031,     0.000,    45.877,    21.694,     1.525
A51073,     0.000,    79.676,     5.470,     0.930
A51115,     0.000,    79.269,     7.089,     0.841
A51119,     0.000,    81.385,     5.923,     1.011
A51199,     0.000,   177.859,     8.700,     1.299
F51199,     0.000,   177.849,     8.713,     1.298
A51095,     0.000,    82.099,     8.917,     1.108
A51097,     0.000,   102.336,    17.128,     1.078
A51127,     0.000,    76.784,     7.743,     1.031
A51830,     0.000,    23.161,    11.754,     1.624
F51095,     0.000,    81.868,     8.890,     1.108
F51830,     0.000,    23.164,    11.783,     1.624
A51650,     0.000,    23.062,    12.401,     1.159
A51735,     0.000,    22.806,    11.266,     2.585
F51650,     0.000,    23.068,    12.386,     1.159
F51735,     0.000,    22.804,    11.342,     2.585
A51101,     0.000,   116.103,    17.579,     1.006
A51033,     0.000,   112.632,    16.388,     0.967
F51033,     0.000,    96.821,     9.449,     0.873
A51177,     0.000,    80.774,     5.004,     0.804
F51177,     0.000,    79.226,     4.853,     0.806
F51101,     0.000,    89.162,     5.669,     0.964
A51109,     0.000,   100.950,     4.682,     0.892
A51003,     0.000,   116.132,    22.492,     0.902
A51065,     0.000,   116.230,    17.493,     0.737
A51075,     0.000,   113.244,     8.491,     0.698
A51103,     0.000,    65.458,     5.043,     0.819
A51133,     0.000,    72.421,     4.285,     0.926
A51057,     0.000,   123.388,    20.897,     1.250
A51159,     0.000,    99.973,    14.562,     0.902
F51159,     0.000,    65.958,     5.501,     0.968
A51099,     0.000,    93.907,     9.705,     0.977
A51630,     0.000,    37.434,    14.876,     1.043
F51057,     0.000,   107.495,    10.603,     0.994
F51099,     0.000,    92.601,     9.023,     0.977
F51630,     0.000,    29.436,     7.850,     0.947
A51047,     0.000,   134.961,    20.104,     0.879
A51061,     0.000,    83.333,     6.504,     0.809
A51157,     0.000,   102.055,    14.084,     0.764
B51061,     0.000,   121.151,    22.204,     1.070
B51157,     0.000,    92.769,     9.287,     0.732
F51061,     0.000,   116.705,    13.007,     0.677
F51157,     0.000,   100.588,    13.061,     0.764
A51113,     0.000,   159.686,    23.604,     1.009
B51113,     0.000,   144.309,    19.607,     0.885
F51113,     0.000,   158.952,    22.697,     0.968
A51079,     0.000,   152.400,    20.092,     1.200
