TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.000056,0.007064,0,0.555E-05,0.000056,0.500000,0.706E-05,0.239E-05
A10003,1,0,0,1,0,1,0,1,0,0.000025,0.003808,0,0.251E-05,0.000025,0.500000,0.381E-05,0.186E-05
A10005,1,0,0,1,0,1,0,1,0,0.000084,0.008279,0,0.840E-05,0.000084,0.500000,0.828E-05,0.222E-05
A11001,1,0,0,1,0,1,0,1,0,0.000049,0.006740,0,0.485E-05,0.000049,0.500000,0.674E-05,0.262E-05
A24001,1,0,0,1,0,1,0,1,0,0.000065,0.006741,0,0.654E-05,0.000065,0.500000,0.674E-05,0.441E-05
A24003,1,0,0,1,0,1,0,1,0,0.000035,0.004307,0,0.353E-05,0.000035,0.500000,0.431E-05,0.217E-05
A24005,1,0,0,1,0,1,0,1,0,0.000054,0.006950,0,0.535E-05,0.000054,0.500000,0.695E-05,0.208E-05
A24009,1,0,0,1,0,1,0,1,0,0.000039,0.004774,0,0.384E-05,0.000039,0.500000,0.477E-05,0.242E-05
A24011,1,0,0,1,0,1,0,1,0,0.000034,0.004000,0,0.344E-05,0.000034,0.500000,0.400E-05,0.231E-05
A24013,1,0,0,1,0,1,0,1,0,0.000042,0.005464,0,0.415E-05,0.000042,0.500000,0.546E-05,0.243E-05
A24015,1,0,0,1,0,1,0,1,0,0.000049,0.005969,0,0.495E-05,0.000049,0.500000,0.597E-05,0.245E-05
A24017,1,0,0,1,0,1,0,1,0,0.000030,0.003967,0,0.303E-05,0.000030,0.500000,0.397E-05,0.275E-05
A24019,1,0,0,1,0,1,0,1,0,0.000029,0.003660,0,0.289E-05,0.000029,0.500000,0.366E-05,0.238E-05
A24021,1,0,0,1,0,1,0,1,0,0.000037,0.005172,0,0.375E-05,0.000037,0.500000,0.517E-05,0.237E-05
A24023,1,0,0,1,0,1,0,1,0,0.000042,0.004082,0,0.416E-05,0.000042,0.500000,0.408E-05,0.232E-05
A24025,1,0,0,1,0,1,0,1,0,0.000041,0.005516,0,0.405E-05,0.000041,0.500000,0.552E-05,0.193E-05
A24027,1,0,0,1,0,1,0,1,0,0.000053,0.006368,0,0.525E-05,0.000053,0.500000,0.637E-05,0.233E-05
A24029,1,0,0,1,0,1,0,1,0,0.000029,0.003990,0,0.289E-05,0.000029,0.500000,0.399E-05,0.195E-05
A24031,1,0,0,1,0,1,0,1,0,0.000051,0.006676,0,0.511E-05,0.000051,0.500000,0.668E-05,0.237E-05
A24033,1,0,0,1,0,1,0,1,0,0.000047,0.005589,0,0.467E-05,0.000047,0.500000,0.559E-05,0.282E-05
A24035,1,0,0,1,0,1,0,1,0,0.000036,0.005056,0,0.362E-05,0.000036,0.500000,0.506E-05,0.200E-05
A24037,1,0,0,1,0,1,0,1,0,0.000033,0.004549,0,0.328E-05,0.000033,0.500000,0.455E-05,0.271E-05
A24039,1,0,0,1,0,1,0,1,0,0.000064,0.004738,0,0.644E-05,0.000064,0.500000,0.474E-05,0.343E-05
A24041,1,0,0,1,0,1,0,1,0,0.000028,0.003764,0,0.280E-05,0.000028,0.500000,0.376E-05,0.210E-05
A24043,1,0,0,1,0,1,0,1,0,0.000216,0.020442,0,0.000022,0.000216,0.500000,0.000020,0.248E-05
A24045,1,0,0,1,0,1,0,1,0,0.000086,0.006076,0,0.857E-05,0.000086,0.500000,0.608E-05,0.402E-05
A24047,1,0,0,1,0,1,0,1,0,0.000050,0.004912,0,0.503E-05,0.000050,0.500000,0.491E-05,0.310E-05
A24510,1,0,0,1,0,1,0,1,0,0.000046,0.005514,0,0.463E-05,0.000046,0.500000,0.551E-05,0.202E-05
A36003,1,0,0,1,0,1,0,1,0,0.000031,0.004076,0,0.312E-05,0.000031,0.500000,0.408E-05,0.301E-05
A36007,1,0,0,1,0,1,0,1,0,0.000037,0.004592,0,0.372E-05,0.000037,0.500000,0.459E-05,0.228E-05
A36015,1,0,0,1,0,1,0,1,0,0.000044,0.005320,0,0.439E-05,0.000044,0.500000,0.532E-05,0.339E-05
A36017,1,0,0,1,0,1,0,1,0,0.000035,0.004280,0,0.353E-05,0.000035,0.500000,0.428E-05,0.205E-05
A36023,1,0,0,1,0,1,0,1,0,0.000037,0.004545,0,0.370E-05,0.000037,0.500000,0.455E-05,0.195E-05
A36025,1,0,0,1,0,1,0,1,0,0.000035,0.004249,0,0.346E-05,0.000035,0.500000,0.425E-05,0.220E-05
A36043,1,0,0,1,0,1,0,1,0,0.000033,0.003991,0,0.331E-05,0.000033,0.500000,0.399E-05,0.205E-05
A36051,1,0,0,1,0,1,0,1,0,0.000039,0.004507,0,0.385E-05,0.000039,0.500000,0.451E-05,0.252E-05
A36053,1,0,0,1,0,1,0,1,0,0.000043,0.004930,0,0.431E-05,0.000043,0.500000,0.493E-05,0.203E-05
A36065,1,0,0,1,0,1,0,1,0,0.000038,0.004487,0,0.381E-05,0.000038,0.500000,0.449E-05,0.200E-05
A36067,1,0,0,1,0,1,0,1,0,0.000046,0.005246,0,0.464E-05,0.000046,0.500000,0.525E-05,0.197E-05
A36069,1,0,0,1,0,1,0,1,0,0.000044,0.005006,0,0.438E-05,0.000044,0.500000,0.501E-05,0.264E-05
A36077,1,0,0,1,0,1,0,1,0,0.000037,0.004439,0,0.368E-05,0.000037,0.500000,0.444E-05,0.211E-05
A36095,1,0,0,1,0,1,0,1,0,0.000036,0.004404,0,0.357E-05,0.000036,0.500000,0.440E-05,0.203E-05
A36097,1,0,0,1,0,1,0,1,0,0.000037,0.004445,0,0.369E-05,0.000037,0.500000,0.445E-05,0.269E-05
A36101,1,0,0,1,0,1,0,1,0,0.000037,0.004918,0,0.374E-05,0.000037,0.500000,0.492E-05,0.283E-05
A36107,1,0,0,1,0,1,0,1,0,0.000040,0.004769,0,0.403E-05,0.000040,0.500000,0.477E-05,0.265E-05
A36109,1,0,0,1,0,1,0,1,0,0.000033,0.004086,0,0.331E-05,0.000033,0.500000,0.409E-05,0.249E-05
A36123,1,0,0,1,0,1,0,1,0,0.000042,0.004782,0,0.416E-05,0.000042,0.500000,0.478E-05,0.265E-05
A37001,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37005,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37009,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37033,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37067,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37077,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37081,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37131,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37135,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37145,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37157,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37169,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37171,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37181,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37185,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A37189,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A42001,1,0,0,1,0,1,0,1,0,0.000077,0.005934,0,0.765E-05,0.000077,0.500000,0.593E-05,0.509E-05
A42009,1,0,0,1,0,1,0,1,0,0.000056,0.005440,0,0.563E-05,0.000056,0.500000,0.544E-05,0.288E-05
A42011,1,0,0,1,0,1,0,1,0,0.000059,0.004611,0,0.595E-05,0.000059,0.500000,0.461E-05,0.298E-05
A42013,1,0,0,1,0,1,0,1,0,0.000080,0.006677,0,0.801E-05,0.000080,0.500000,0.668E-05,0.274E-05
A42015,1,0,0,1,0,1,0,1,0,0.000056,0.005685,0,0.563E-05,0.000056,0.500000,0.568E-05,0.311E-05
A42021,1,0,0,1,0,1,0,1,0,0.000044,0.004443,0,0.435E-05,0.000044,0.500000,0.444E-05,0.229E-05
A42023,1,0,0,1,0,1,0,1,0,0.000140,0.006454,0,0.000014,0.000140,0.500000,0.645E-05,0.421E-05
A42025,1,0,0,1,0,1,0,1,0,0.000033,0.003359,0,0.327E-05,0.000033,0.500000,0.336E-05,0.260E-05
A42027,1,0,0,1,0,1,0,1,0,0.000084,0.007955,0,0.843E-05,0.000084,0.500000,0.796E-05,0.232E-05
