TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.277732,0.027316,0.,10.00000,0.277732,na,na,0.277732,0.005460,0.,10.00000,0.277732,na,na,0.031265,0.002754,0.000745,1.989616,0.031265,na,na,0.000100,0.002754,0.000745,0.331603,0.000100,72.46474,50000.00,0.0001,1.07,13799.82,103.9160,0.0001,1.07,2.514302,0.379617,0.0001,1.07,2.514302,0.379617,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.288311,0.003831,0.,10.00000,0.288311,na,na,0.288311,0.000767,0.,10.00000,0.288311,na,na,0.039373,0.005633,0.000385,2.395646,0.039373,na,na,0.000100,0.005633,0.000461,0.399275,0.000100,137.3334,33804.43,0.0001,1.07,7281.553,266.2373,0.0001,1.07,2.312458,0.709361,0.0001,1.07,2.312458,0.709361,0.0001,1.07,0.5,0.1,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.380609,0.054897,0.,10.00000,0.380609,na,na,0.288698,0.010986,0.,10.00000,0.288698,na,na,0.028870,0.000973,0.002311,0.723142,0.028870,na,na,0.000100,0.000973,0.002311,0.120524,0.000100,39.03512,50000.00,0.0001,1.07,25617.95,8.897324,0.0001,1.07,5.099423,0.424009,0.0001,1.07,5.099423,0.424009,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.001681,0.,9.393687,1.000000,na,na,0.000100,0.000337,0.,4.696843,1.000000,na,na,0.000100,0.000215,0.009506,0.220207,0.200000,na,na,0.000100,0.000215,0.009506,0.036701,0.000100,3270.539,50000.00,0.0001,1.07,305.7599,32.47892,0.0001,1.07,3.288437,0.416033,0.0001,1.07,3.288437,0.416033,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.233353,0.001571,0.,10.00000,0.233353,na,na,0.233353,0.000314,0.,10.00000,0.233353,na,na,0.038482,0.010855,0.000185,2.137905,0.038482,na,na,0.000100,0.010855,0.000219,0.356318,0.000100,85.87265,50000.00,0.0001,1.07,11645.16,105.4016,0.0001,1.07,1.114402,0.287386,0.0001,1.07,1.114402,0.287386,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.244265,0.003642,0.,10.00000,0.244265,na,na,0.244265,0.000730,0.,10.00000,0.244265,na,na,0.032910,0.004109,0.000642,0.522802,0.032910,na,na,0.000100,0.004109,0.000987,0.087135,0.000100,94.91642,17610.10,0.0001,1.07,10535.59,511.0702,0.0001,1.07,2.795007,0.716699,0.0001,1.07,2.795007,0.716699,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.176976,0.008387,0.,10.00000,0.176976,na,na,0.176976,0.001675,0.,10.00000,0.176976,na,na,0.021568,0.000954,0.001435,0.716924,0.021568,na,na,0.000100,0.000954,0.001435,0.119488,0.000100,442.2058,48384.68,0.0001,1.07,2261.390,186.0094,0.0001,1.07,5.330727,0.618709,0.0001,1.07,5.330727,0.618709,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.301807,0.011375,0.,10.00000,0.301807,na,na,0.301807,0.002271,0.,10.00000,0.301807,na,na,0.044432,0.004219,0.000512,2.420115,0.044432,na,na,0.000100,0.004219,0.000512,0.403352,0.000100,185.0728,16270.62,0.0001,1.07,5403.277,553.1444,0.0001,1.07,2.184401,0.428824,0.0001,1.07,2.184401,0.428824,0.0001,1.07,0.5,0.1,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,1,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.400632,0.009352,0.,10.00000,0.400632,na,na,0.400632,0.001873,0.,10.00000,0.400632,na,na,0.046331,0.007240,0.000300,1.939903,0.046331,na,na,0.000100,0.007240,0.000441,0.323317,0.000100,14.69671,50000.00,0.0001,1.07,50000.00,82.90533,0.0001,1.07,1.812842,0.298702,0.0001,1.07,1.812842,0.298702,0.0001,1.07,0.5,0.1,0,0,1.07,20
