TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A10001,50,1.000000,8.615211,1.5,20.00000,2.901845,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10003,50,1.000000,4.524729,1.5,20.00000,5.525193,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A10005,50,1.000000,3.644731,1.5,20.00000,6.859216,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A11001,50,1.000000,8.517879,1.5,20.00000,2.935004,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24001,50,1.000000,3.217477,1.5,20.00000,7.770062,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24003,50,1.000000,8.175116,1.5,20.00000,3.058060,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24005,50,1.000000,18.63019,1.5,20.00000,1.341908,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24009,50,1.000000,15.00421,1.5,20.00000,1.666199,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24011,50,1.000000,1.267834,1.5,20.00000,19.71868,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24013,50,1.000000,11.32171,1.5,20.00000,2.208148,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24015,50,1.000000,8.421139,1.5,20.00000,2.968719,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24017,50,1.000000,3.439193,1.5,20.00000,7.269147,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24019,50,1.000000,1.053592,1.5,20.00000,23.72836,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24021,50,1.000000,10.99367,1.5,20.00000,2.274036,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24023,50,1.000000,3.583443,1.5,20.00000,6.976532,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A24025,50,1.000000,10.99891,1.5,20.00000,2.272953,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
