landseg,SORGN,UORGN,LROGN,AORGN
A24037,     0.000,    39.643,    14.979,     5.214
A24009,     0.000,    32.458,    16.967,    10.457
F24009,     0.000,    31.511,    17.581,    10.557
F24037,     0.000,    46.527,     8.866,     4.590
A24033,     0.000,    12.852,    31.133,    12.684
F24033,     0.000,    31.960,    16.993,    10.197
A24003,     0.000,    49.662,    11.082,    10.117
F24003,     0.000,    50.044,    10.758,    10.085
A24027,     0.000,    32.637,    37.143,    12.356
F24027,     0.000,    20.805,    46.034,    13.566
A24031,     0.000,    16.560,    40.184,    13.939
F24031,     0.000,     0.000,    56.521,    16.951
A51073,     0.000,    42.663,    13.762,     5.089
A51115,     0.000,    26.305,    16.841,     4.839
A51119,     0.000,    56.638,    12.544,     5.604
A51199,     0.000,    15.888,    18.500,     6.245
F51199,     0.000,    15.834,    18.537,     6.246
A51095,     0.000,    55.443,    11.724,     6.194
A51097,     0.000,     7.275,    50.673,    10.453
A51127,     0.000,    40.511,    20.916,     6.937
A51830,     0.000,    19.250,    31.963,     8.637
F51095,     0.000,    55.507,    11.668,     6.188
F51830,     0.000,    19.125,    32.090,     8.639
A51650,     0.000,    27.385,    22.699,     5.339
A51735,     0.000,     8.959,    38.745,    13.216
F51650,     0.000,    27.515,    22.589,     5.340
F51735,     0.000,     8.397,    39.321,    13.235
A51101,     0.000,    24.754,    39.689,     9.047
A51033,     0.000,    31.260,    31.550,     6.582
F51033,     0.000,    41.452,    23.590,     5.935
A51177,     0.000,    50.825,    16.083,     5.596
F51177,     0.000,    51.010,    15.920,     5.584
F51101,     0.000,    59.274,    13.877,     5.797
A51109,     0.000,    63.181,    11.271,     5.072
A51003,     0.000,    28.141,    42.196,     7.239
A51065,     0.000,    15.345,    33.567,     6.523
A51075,     0.000,    51.532,    20.752,     4.435
A51103,     0.000,    54.060,    13.951,     4.887
A51133,     0.000,    65.463,    12.020,     5.017
A51057,     0.000,     7.067,    53.203,    10.982
A51159,     0.000,    33.824,    28.957,     6.247
F51159,     0.000,    55.241,    13.840,     5.191
A51099,     0.000,    42.518,    21.515,     6.446
A51630,     0.000,    10.539,    42.485,     6.737
F51057,     0.000,    44.301,    22.260,     7.207
F51099,     0.000,    43.725,    20.791,     6.354
F51630,     0.000,    42.554,    25.672,     5.306
A51047,     0.000,    39.705,    34.802,     7.697
A51061,     0.000,    57.797,    19.923,     6.123
A51157,     0.000,    60.233,    22.878,     5.709
B51061,     0.000,    45.370,    33.703,     7.233
B51157,     0.000,    64.171,    18.403,     5.291
F51061,     0.000,    56.537,    23.981,     5.823
F51157,     0.000,    61.029,    21.532,     5.498
A51113,     0.000,    41.186,    43.052,     8.493
B51113,     0.000,    62.194,    26.117,     6.250
F51113,     0.000,    53.673,    33.643,     7.095
A51079,     0.000,    56.386,    34.151,     7.838
B51079,     0.000,    70.204,    21.369,     6.310
F51079,     0.000,    57.849,    33.184,     7.417
A51137,     0.000,    57.825,    29.995,     6.708
F51137,     0.000,    57.407,    30.439,     6.454
A24005,     0.000,     0.000,    57.746,    15.540
A24510,     0.000,    18.909,    45.416,     9.784
F24005,     0.000,     0.000,    60.765,    15.367
F24510,     0.000,    19.576,    44.829,     9.739
A24013,     0.000,    34.709,    32.091,    10.561
F24013,     0.000,    44.548,    16.655,     8.841
A24025,     0.000,    24.013,    42.787,    12.037
F24025,     0.000,    33.709,    31.784,    10.694
A10001,     0.000,     4.746,    48.127,    14.147
A10005,     0.000,    34.756,    24.936,    41.120
A24011,     0.000,    67.265,    13.178,     9.258
A24019,     0.000,    60.080,    11.419,     5.776
A24045,     0.000,   169.066,     0.000,    28.927
F24019,     0.000,    60.542,    10.915,     5.757
A24047,     0.000,    82.470,    25.150,     9.404
F24045,     0.000,   195.049,     0.000,    16.321
A24039,     0.000,   146.016,    10.800,    14.512
A51001,     0.000,    49.554,    10.262,     5.538
F24039,     0.000,   141.424,    15.218,    13.892
F51001,     0.000,    49.559,    10.254,     5.538
A51131,     0.000,    28.591,    13.020,     6.003
F51131,     0.000,    28.569,    13.123,     6.004
F10005,     0.000,     2.951,    68.105,    28.755
A24041,     0.000,    52.861,    16.271,     5.666
F24041,     0.000,    53.130,    15.854,     5.661
A24035,     0.000,    37.630,    33.289,     8.897
F24035,     0.000,    56.853,    17.574,     6.732
A24015,     0.000,    39.807,    32.849,    12.044
A10003,     0.000,    54.110,    11.769,     7.695
F24015,     0.000,    52.827,    16.211,     9.299
A24029,     0.000,    62.097,    14.749,     7.046
F24029,     0.000,    62.146,    14.684,     7.048
A42029,     0.000,    54.642,    38.706,    11.852
A51041,     0.000,    28.438,    30.407,     6.666
A51145,     0.000,    50.130,    26.166,     6.397
A51570,     0.000,    21.992,    18.254,     4.142
A51149,     0.000,    19.151,    32.772,     9.693
A51670,     0.000,     9.911,    44.587,     9.429
F51149,     0.000,    42.433,    16.453,     7.115
F51670,     0.000,     9.640,    44.837,     9.433
A51007,     0.000,    61.167,    21.704,     4.791
A51135,     0.000,    56.495,    25.575,     6.119
A51147,     0.000,    50.151,    22.479,     5.382
A51011,     0.000,    38.236,    23.061,     4.989
A51029,     0.000,    50.629,    12.875,     4.043
A51049,     0.000,    72.884,    22.862,     4.729
F51011,     0.000,    42.941,    21.620,     4.637
F51147,     0.000,    58.645,    10.083,     4.988
F51145,     0.000,    54.398,    17.457,     5.733
A51053,     0.000,    32.983,    18.765,     4.356
A51730,     0.000,     0.000,    33.104,     7.686
F51053,     0.000,    45.301,     9.004,     3.804
F51730,     0.000,    18.598,    34.208,     8.045
A51036,     0.000,    61.345,    19.700,     6.496
A51087,     0.000,    39.841,    22.203,     6.984
A51760,     0.000,    11.006,    24.390,     7.395
F51041,     0.000,    49.839,    13.065,     4.164
F51087,     0.000,    39.832,    22.210,     6.984
F51760,     0.000,    32.091,    23.958,     7.587
A51181,     0.000,    16.876,    29.626,    10.406
F51181,     0.000,    38.959,    12.422,     7.185
A51550,     0.000,    45.495,    21.244,     4.121
A51710,     0.000,    30.491,    20.356,     4.845
A51810,     0.000,    52.466,    20.192,     5.079
F51710,     0.000,    30.854,    20.099,     4.849
A51740,     0.000,    30.211,    24.607,     6.195
F51550,     0.000,    45.376,    21.356,     4.123
F51740,     0.000,    30.215,    24.605,     6.195
A51800,     0.000,    41.628,    11.057,     5.511
A51093,     0.000,     0.000,    57.070,    14.047
A51700,     0.000,    19.625,    32.642,     7.770
F51700,     0.000,    19.661,    32.609,     7.770
F51810,     0.000,    52.320,    20.323,     5.081
F51800,     0.000,    50.325,     4.628,     4.580
A51085,     0.000,    37.242,    30.014,     6.482
F51085,     0.000,    45.561,    24.585,     6.689
B51003,     0.000,    37.473,    35.594,     7.009
F51003,     0.000,    31.524,    39.516,     7.359
A51125,     0.000,    30.293,    29.651,     7.891
B51125,     0.000,    44.116,    19.373,     6.228
F51125,     0.000,    32.941,    27.829,     7.414
A51009,     0.000,    21.241,    47.746,     9.298
B51009,     0.000,    35.181,    32.930,     7.853
F51009,     0.000,    25.192,    42.607,     8.721
A51540,     0.000,    25.400,    28.099,     5.796
F51540,     0.000,    46.983,    21.638,     4.439
A51031,     0.000,    37.417,    22.661,     5.129
A51023,     0.000,    69.782,    33.397,    13.511
A51163,     0.000,    47.198,    41.060,    13.236
F51023,     0.000,    69.772,    32.629,    13.512
F51163,     0.000,    54.490,    34.566,    12.341
A51161,     0.000,    60.318,    38.838,    12.966
F51161,     0.000,    75.809,    23.837,    10.023
A51015,     0.000,     6.936,    73.667,    27.107
B51015,     0.000,    68.511,    32.974,    13.580
B51163,     0.000,    47.657,    41.630,    13.010
F51015,     0.000,    80.700,    24.028,    12.103
C51015,     0.000,    79.074,    26.320,    11.778
A51045,     0.000,    52.115,    29.251,    14.191
A51071,     0.458,    44.822,    35.286,    14.223
F51045,     0.000,    51.845,    29.592,    14.234
F51071,     0.400,    44.961,    35.381,    14.246
B51017,     0.000,    52.631,    28.051,    12.447
F51017,     0.000,    58.664,    21.957,    10.207
A51678,     0.000,     0.000,    37.488,     9.845
A51017,     0.000,    49.256,    35.046,    12.261
A51091,     0.000,    52.284,    34.680,    13.929
B51091,     0.000,    46.697,    48.597,    14.918
A51530,     0.000,    21.338,    52.412,    11.040
F51530,     0.000,    20.778,    53.166,    11.019
A51121,     0.000,    46.198,    44.927,    18.310
F51121,     0.000,    60.035,    34.428,    16.455
A51005,     0.251,    39.566,    47.400,    13.247
A54063,     0.000,    69.139,    13.546,    10.830
F51005,     0.211,    39.524,    48.231,    13.214
F54063,     0.000,    60.863,    20.257,    12.018
F51091,     0.000,    63.915,    15.458,    11.219
A51580,     0.000,    32.245,    41.462,     9.580
F51580,     0.000,    42.727,    28.855,     8.659
B51023,     0.000,    66.350,    35.831,    13.344
A51019,     0.000,    37.845,    46.450,     7.023
B51019,     0.000,    34.415,    48.757,     7.674
F51019,     0.000,    39.219,    44.969,     6.751
A51680,     0.000,    23.942,    42.356,     5.830
A11001,     0.000,     1.052,    53.351,     8.145
F11001,     0.000,     0.000,    49.658,    16.425
A51059,     0.000,    51.110,    40.793,    11.800
A51510,     0.000,     0.000,    47.430,    11.879
A51610,     0.000,     0.000,    44.981,    16.824
F51510,     0.000,     0.498,    59.455,     6.982
A51600,     0.000,    37.556,    33.251,     7.962
F51059,     0.000,    72.391,    12.705,     8.573
A51153,     0.000,    60.323,    14.570,     5.183
F51153,     0.000,    60.120,    14.821,     5.199
A24017,     0.000,    38.342,    12.654,     5.758
F24017,     0.000,    43.312,     7.697,     4.796
A51179,     0.000,    49.815,    14.879,     4.673
F51179,     0.000,    49.903,    14.823,     4.664
A51193,     0.000,    28.392,    32.567,     7.073
F51193,     0.000,    57.265,    14.213,     5.111
F51013,     0.000,    51.090,    21.979,     5.650
A51107,     0.000,    31.241,    27.119,     6.462
A51683,     0.000,    48.351,    21.504,     6.314
A51685,     0.000,    48.008,    23.116,     5.582
F51107,     0.000,    47.381,    13.374,     5.147
A51013,     0.000,    51.732,    20.629,     5.592
A24021,     0.000,    42.632,    32.890,     8.672
A42001,     0.000,    68.458,    16.473,     4.307
B42001,     0.000,    66.379,    12.440,     4.279
F42001,     0.000,    70.560,    15.334,     4.104
B24021,     0.000,    38.459,    35.486,     9.478
F24021,     0.000,    38.521,    37.080,     9.368
A51069,     0.000,    46.996,    22.721,     9.565
B51171,     0.000,    71.261,    21.607,    13.423
F51069,     0.000,    60.702,     9.764,     8.435
F51171,     0.000,    64.391,    27.730,    15.125
A24043,     0.000,     0.000,    71.902,    21.695
A42055,     0.000,    18.186,    62.452,    16.318
F24043,     0.000,    25.505,    44.380,    12.429
F42055,     0.000,    58.704,    31.227,     9.298
A51820,     0.000,    12.024,    50.866,    11.527
F51820,     0.000,    14.440,    48.608,    11.446
A51165,     0.000,    52.834,    68.152,    37.732
A54031,     0.000,   110.678,     8.489,    21.315
B51165,     0.000,   125.981,    22.610,    13.539
F51165,     0.000,   113.810,    34.681,    17.579
F54031,     0.000,   109.926,     7.742,    24.007
A51171,     0.000,    31.628,    53.425,    21.335
A51187,     0.000,    37.857,    37.791,    15.614
F51187,     0.000,    13.767,    53.322,    20.760
A51043,     0.000,    56.156,    34.366,    11.576
A51840,     0.000,     0.000,    40.062,    10.260
A51660,     0.000,     0.000,    71.966,    17.337
F51660,     0.000,    25.731,    47.482,    12.155
B42041,     0.000,     0.000,    70.212,    18.046
B42055,     0.000,    52.835,    33.438,     9.833
A54003,     0.000,     0.000,    54.981,    17.114
A54037,     0.000,     2.038,    62.315,    17.248
F54003,     0.000,    51.440,    13.314,     8.616
A51139,     0.000,    57.141,    42.555,    40.229
F51139,     0.000,    55.257,    43.878,    40.583
A51790,     0.000,     0.000,    39.140,     9.659
F51790,     0.000,    29.456,    38.628,     8.708
A42099,     0.000,    62.290,    18.733,     7.419
