landseg,SORGN,UORGN,LROGN,AORGN
A24037,     0.000,    47.343,    11.768,     4.769
A24009,     0.000,    43.992,    12.924,     7.432
F24009,     0.000,    43.815,    13.101,     7.435
F24037,     0.000,    52.013,     7.512,     3.909
A24033,     0.000,    39.727,    16.406,     8.181
F24033,     0.000,    48.387,    10.121,     6.916
A24003,     0.000,    58.218,     9.551,     7.389
F24003,     0.000,    58.397,     9.384,     7.363
A24027,     0.000,    50.303,    28.589,     9.437
F24027,     0.000,    43.972,    34.013,    10.210
A24031,     0.000,    37.999,    30.016,     9.794
F24031,     0.000,    23.677,    39.743,    11.266
A51073,     0.000,    48.400,    13.024,     4.665
A51115,     0.000,    29.920,    17.343,     4.686
A51119,     0.000,    63.193,    12.043,     4.843
A51199,     0.000,    20.937,    19.565,     6.185
F51199,     0.000,    20.899,    19.596,     6.189
A51095,     0.000,    62.797,    10.442,     5.542
A51097,     0.000,    36.742,    31.291,     7.833
A51127,     0.000,    51.250,    17.056,     6.320
A51830,     0.000,    18.883,    34.832,     7.495
F51095,     0.000,    62.833,    10.414,     5.536
F51830,     0.000,    18.754,    34.946,     7.507
A51650,     0.000,    27.284,    23.884,     5.501
A51735,     0.000,     9.613,    42.977,    10.101
F51650,     0.000,    27.410,    23.782,     5.492
F51735,     0.000,     9.092,    43.491,    10.146
A51101,     0.000,    50.688,    24.553,     6.669
A51033,     0.000,    47.993,    22.638,     5.665
F51033,     0.000,    52.538,    19.207,     5.540
A51177,     0.000,    57.600,    14.378,     5.707
F51177,     0.000,    57.671,    14.267,     5.694
F51101,     0.000,    67.244,    12.346,     5.105
A51109,     0.000,    66.486,    10.631,     5.319
A51003,     0.000,    32.971,    43.326,     8.341
A51065,     0.000,    33.941,    27.689,     6.970
A51075,     0.000,    53.788,    21.677,     5.634
A51103,     0.000,    56.288,    16.013,     4.679
A51133,     0.000,    70.647,    12.368,     4.621
A51057,     0.000,    41.510,    31.039,     7.680
A51159,     0.000,    43.748,    27.609,     6.176
F51159,     0.000,    57.858,    16.069,     4.945
A51099,     0.000,    52.382,    19.542,     6.168
A51630,     0.000,    11.956,    40.335,     7.946
F51057,     0.000,    63.814,    15.081,     5.496
F51099,     0.000,    52.896,    19.134,     6.113
F51630,     0.000,    42.252,    27.520,     5.293
A51047,     0.000,    58.321,    23.502,     6.562
A51061,     0.000,    65.326,    18.224,     6.384
A51157,     0.000,    71.386,    17.415,     5.144
B51061,     0.000,    59.587,    26.034,     6.826
B51157,     0.000,    74.224,    14.355,     4.620
F51061,     0.000,    66.410,    19.439,     5.876
F51157,     0.000,    71.896,    16.076,     4.976
A51113,     0.000,    63.851,    29.687,     7.016
B51113,     0.000,    75.380,    20.506,     5.669
F51113,     0.000,    70.740,    24.171,     6.178
A51079,     0.000,    67.772,    27.010,     8.247
B51079,     0.000,    77.776,    17.523,     6.208
F51079,     0.000,    70.276,    24.936,     7.627
A51137,     0.000,    70.865,    24.130,     6.655
F51137,     0.000,    71.380,    23.447,     6.300
A24005,     0.000,    28.470,    41.115,    11.646
A24510,     0.000,    20.656,    44.802,     9.571
F24005,     0.000,    22.544,    45.745,    12.333
F24510,     0.000,    20.984,    44.523,     9.538
A24013,     0.000,    45.923,    27.097,     9.305
F24013,     0.000,    53.819,    15.292,     7.297
A24025,     0.000,    43.799,    34.693,     9.873
F24025,     0.000,    48.496,    27.436,     8.943
A10001,     0.000,    33.493,    30.619,    10.387
A10005,     0.000,    42.773,    40.602,    22.640
A24011,     0.000,    75.443,    10.245,     6.955
A24019,     0.000,    62.326,    13.397,     5.609
A24045,     0.000,   177.663,     0.000,     0.520
F24019,     0.000,    62.670,    13.001,     5.549
A24047,     0.000,    86.163,    17.834,     9.977
F24045,     0.000,   198.106,     0.522,     0.000
A24039,     0.000,   163.544,     0.000,     0.000
A51001,     0.000,    51.982,    11.842,     5.497
F24039,     0.000,   164.747,     0.000,     0.000
F51001,     0.000,    51.986,    11.836,     5.497
A51131,     0.000,    33.551,    13.997,     5.257
F51131,     0.000,    33.519,    14.067,     5.263
F10005,     0.000,    53.198,    29.747,    17.863
A24041,     0.000,    56.695,    17.337,     5.706
F24041,     0.000,    56.954,    16.942,     5.658
A24035,     0.000,    53.592,    24.866,     7.658
F24035,     0.000,    64.031,    15.916,     6.136
A24015,     0.000,    57.225,    24.025,     9.122
A10003,     0.000,    61.516,    11.056,     6.464
F24015,     0.000,    63.782,    13.800,     7.294
A24029,     0.000,    69.415,    11.098,     6.103
F24029,     0.000,    69.428,    11.070,     6.101
A42029,     0.000,    69.899,    30.587,     9.294
A51041,     0.000,    42.422,    23.581,     6.440
A51145,     0.000,    55.624,    25.892,     7.124
A51570,     0.000,    21.729,    18.842,     5.129
A51149,     0.000,    36.289,    24.785,     8.149
A51670,     0.000,     9.443,    46.252,     9.148
F51149,     0.000,    51.695,    13.273,     6.024
F51670,     0.000,     9.186,    46.485,     9.181
A51007,     0.000,    70.466,    16.204,     5.281
A51135,     0.000,    67.144,    17.721,     5.858
A51147,     0.000,    55.515,    19.662,     6.421
A51011,     0.000,    49.494,    19.285,     5.556
A51029,     0.000,    64.351,    11.575,     5.334
A51049,     0.000,    76.786,    17.652,     6.469
F51011,     0.000,    50.202,    18.563,     5.410
F51147,     0.000,    62.934,     9.086,     4.605
F51145,     0.000,    60.679,    17.284,     5.792
A51053,     0.000,    42.860,    14.493,     4.385
A51730,     0.000,     0.000,    32.814,     7.844
F51053,     0.000,    50.537,     7.731,     3.325
F51730,     0.000,    18.675,    36.102,     7.431
A51036,     0.000,    69.166,    18.232,     6.339
A51087,     0.000,    50.161,    18.745,     6.259
A51760,     0.000,    11.358,    25.146,     7.472
F51041,     0.000,    55.200,    13.371,     4.480
F51087,     0.000,    50.150,    18.751,     6.260
F51760,     0.000,    31.834,    25.680,     6.833
A51181,     0.000,    33.047,    21.345,     8.407
F51181,     0.000,    47.295,    10.139,     6.043
A51550,     0.000,    49.331,    20.603,     4.004
A51710,     0.000,    30.173,    21.132,     5.481
A51810,     0.000,    56.109,    20.493,     4.664
F51710,     0.000,    30.531,    20.869,     5.454
A51740,     0.000,    29.659,    26.063,     6.291
F51550,     0.000,    49.248,    20.675,     4.010
F51740,     0.000,    29.665,    26.060,     6.291
A51800,     0.000,    46.330,    10.695,     5.687
A51093,     0.000,    10.663,    42.550,    10.349
A51700,     0.000,    19.316,    34.959,     7.173
F51700,     0.000,    19.359,    34.919,     7.171
F51810,     0.000,    55.982,    20.590,     4.672
F51800,     0.000,    53.649,     5.089,     4.324
A51085,     0.000,    56.350,    20.559,     5.501
F51085,     0.000,    56.789,    20.360,     6.337
B51003,     0.000,    40.442,    38.312,     7.864
F51003,     0.000,    35.444,    41.402,     8.519
A51125,     0.000,    45.833,    21.575,     7.110
B51125,     0.000,    54.045,    15.855,     5.975
F51125,     0.000,    47.599,    20.346,     6.827
A51009,     0.000,    35.752,    43.059,     9.726
B51009,     0.000,    45.519,    33.305,     8.126
F51009,     0.000,    37.783,    39.979,     9.185
A51540,     0.000,    27.066,    25.964,     6.576
F51540,     0.000,    47.144,    23.519,     4.786
A51031,     0.000,    42.478,    20.388,     5.854
A51023,     0.000,    86.340,    24.667,    10.325
A51163,     0.000,    62.712,    32.883,    11.596
F51023,     0.000,    85.969,    24.045,    10.232
F51163,     0.000,    67.589,    27.663,    10.648
A51161,     0.000,    75.535,    29.025,    11.088
F51161,     0.000,    87.248,    17.452,     7.882
A51015,     0.000,    56.822,    45.036,    16.707
B51015,     0.000,    82.842,    24.038,    10.621
B51163,     0.000,    63.127,    33.332,    11.504
F51015,     0.000,    93.538,    15.751,     8.520
C51015,     0.000,    93.070,    16.861,     8.348
A51045,     0.000,    62.957,    25.934,    12.133
A51071,     0.376,    52.453,    39.567,    11.998
F51045,     0.000,    62.886,    26.098,    12.180
F51071,     0.342,    52.653,    39.624,    11.988
B51017,     0.000,    56.227,    29.694,    11.299
F51017,     0.000,    63.512,    22.378,     8.456
A51678,     0.000,     0.000,    37.960,    10.101
A51017,     0.000,    52.163,    37.847,    12.318
A51091,     0.000,    59.438,    40.490,    12.234
B51091,     0.000,    56.358,    54.614,    14.000
A51530,     0.000,    25.918,    49.298,    10.302
F51530,     0.000,    26.017,    49.475,    10.264
