TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.162917,0.500000,0,0.016292,0.162917,0.500000,0.000545,0.000197
A10003,1,0,0,1,0,1,0,1,0,0.056413,0.500000,0,0.005641,0.056413,0.500000,0.000202,0.000136
A10005,1,0,0,1,0,1,0,1,0,0.351534,0.500000,0,0.035153,0.351534,0.500000,0.000749,0.000210
A11001,1,0,0,1,0,1,0,1,0,0.142888,0.500000,0,0.014289,0.142888,0.500000,0.000495,0.000239
A24001,1,0,0,1,0,1,0,1,0,0.201675,0.500000,0,0.020168,0.201675,0.500000,0.000480,0.000524
A24003,1,0,0,1,0,1,0,1,0,0.064704,0.500000,0,0.006470,0.064704,0.500000,0.000223,0.000154
A24005,1,0,0,1,0,1,0,1,0,0.237043,0.500000,0,0.023704,0.237043,0.500000,0.000737,0.000169
A24009,1,0,0,1,0,1,0,1,0,0.115119,0.500000,0,0.011512,0.115119,0.500000,0.000374,0.000200
A24011,1,0,0,1,0,1,0,1,0,0.088021,0.500000,0,0.008802,0.088021,0.500000,0.000229,0.000217
A24013,1,0,0,1,0,1,0,1,0,0.141786,0.500000,0,0.014179,0.141786,0.500000,0.000415,0.000237
A24015,1,0,0,1,0,1,0,1,0,0.149319,0.500000,0,0.014932,0.149319,0.500000,0.000453,0.000213
A24017,1,0,0,1,0,1,0,1,0,0.065771,0.500000,0,0.006577,0.065771,0.500000,0.000223,0.000247
A24019,1,0,0,1,0,1,0,1,0,0.044780,0.500000,0,0.004478,0.044780,0.500000,0.000156,0.000185
A24021,1,0,0,1,0,1,0,1,0,0.158087,0.500000,0,0.015809,0.158087,0.500000,0.000448,0.000245
A24023,1,0,0,1,0,1,0,1,0,0.084408,0.500000,0,0.008441,0.084408,0.500000,0.000210,0.000194
A24025,1,0,0,1,0,1,0,1,0,0.142915,0.500000,0,0.014292,0.142915,0.500000,0.000442,0.000153
A24027,1,0,0,1,0,1,0,1,0,0.149846,0.500000,0,0.014985,0.149846,0.500000,0.000485,0.000186
A24029,1,0,0,1,0,1,0,1,0,0.094656,0.500000,0,0.009466,0.094656,0.500000,0.000264,0.000176
A24031,1,0,0,1,0,1,0,1,0,0.172881,0.500000,0,0.017288,0.172881,0.500000,0.000599,0.000193
A24033,1,0,0,1,0,1,0,1,0,0.183699,0.500000,0,0.018370,0.183699,0.500000,0.000546,0.000271
A24035,1,0,0,1,0,1,0,1,0,0.117284,0.500000,0,0.011729,0.117284,0.500000,0.000374,0.000165
A24037,1,0,0,1,0,1,0,1,0,0.090410,0.500000,0,0.009041,0.090410,0.500000,0.000298,0.000263
A24039,1,0,0,1,0,1,0,1,0,0.257346,0.500000,0,0.025734,0.257346,0.500000,0.000351,0.000474
A24041,1,0,0,1,0,1,0,1,0,0.054211,0.500000,0,0.005421,0.054211,0.500000,0.000182,0.000164
A24043,1,0,0,1,0,1,0,1,0,0.964222,0.500000,0,0.096422,0.964222,0.500000,0.002599,0.000196
A24045,1,0,0,1,0,1,0,1,0,0.549886,0.500000,0,0.054988,0.549886,0.500000,0.000619,0.000684
A24047,1,0,0,1,0,1,0,1,0,0.144494,0.500000,0,0.014449,0.144494,0.500000,0.000325,0.000332
A24510,1,0,0,1,0,1,0,1,0,0.122983,0.500000,0,0.012299,0.122983,0.500000,0.000366,0.000153
A36003,1,0,0,1,0,1,0,1,0,0.150704,0.500000,0,0.015071,0.150704,0.500000,0.000317,0.000448
A36007,1,0,0,1,0,1,0,1,0,0.184744,0.500000,0,0.018474,0.184744,0.500000,0.000380,0.000282
A36015,1,0,0,1,0,1,0,1,0,0.178648,0.500000,0,0.017865,0.178648,0.500000,0.000415,0.000448
A36017,1,0,0,1,0,1,0,1,0,0.175173,0.500000,0,0.017517,0.175173,0.500000,0.000346,0.000237
A36023,1,0,0,1,0,1,0,1,0,0.200399,0.500000,0,0.020039,0.200399,0.500000,0.000394,0.000220
A36025,1,0,0,1,0,1,0,1,0,0.188113,0.500000,0,0.018812,0.188113,0.500000,0.000364,0.000279
A36043,1,0,0,1,0,1,0,1,0,0.157024,0.500000,0,0.015702,0.157024,0.500000,0.000314,0.000234
A36051,1,0,0,1,0,1,0,1,0,0.181339,0.500000,0,0.018134,0.181339,0.500000,0.000374,0.000314
A36053,1,0,0,1,0,1,0,1,0,0.214926,0.500000,0,0.021492,0.214926,0.500000,0.000436,0.000216
A36065,1,0,0,1,0,1,0,1,0,0.159177,0.500000,0,0.015917,0.159177,0.500000,0.000350,0.000199
A36067,1,0,0,1,0,1,0,1,0,0.199179,0.500000,0,0.019918,0.199179,0.500000,0.000434,0.000188
A36069,1,0,0,1,0,1,0,1,0,0.179498,0.500000,0,0.017950,0.179498,0.500000,0.000402,0.000307
A36077,1,0,0,1,0,1,0,1,0,0.170574,0.500000,0,0.017057,0.170574,0.500000,0.000357,0.000237
A36095,1,0,0,1,0,1,0,1,0,0.160091,0.500000,0,0.016009,0.160091,0.500000,0.000352,0.000214
A36097,1,0,0,1,0,1,0,1,0,0.169536,0.500000,0,0.016954,0.169536,0.500000,0.000356,0.000354
A36101,1,0,0,1,0,1,0,1,0,0.195939,0.500000,0,0.019594,0.195939,0.500000,0.000445,0.000387
A36107,1,0,0,1,0,1,0,1,0,0.184496,0.500000,0,0.018449,0.184496,0.500000,0.000377,0.000346
A36109,1,0,0,1,0,1,0,1,0,0.123038,0.500000,0,0.012304,0.123038,0.500000,0.000275,0.000301
A36123,1,0,0,1,0,1,0,1,0,0.178090,0.500000,0,0.017809,0.178090,0.500000,0.000386,0.000320
A37001,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
A37005,1,0,0,1,0,1,0,1,0,0.28,0,0,0.28,2.8,1.64,0.002496,0.002496
