landseg,SORGN,UORGN,LROGN,AORGN
A24037,     0.000,   113.474,    48.592,     1.036
A24009,     0.000,    88.915,    73.045,     2.069
F24009,     0.000,    87.725,    73.155,     2.070
F24037,     0.000,   179.539,    61.514,     1.192
A24033,     0.000,    46.720,    63.456,     1.835
F24033,     0.000,    82.600,    68.145,     1.902
A24003,     0.000,   129.007,    68.556,     2.073
F24003,     0.000,   129.600,    68.498,     2.072
A24027,     0.000,    87.640,    74.565,     2.414
F24027,     0.000,    60.399,    76.083,     2.459
A24031,     0.000,    61.460,    76.911,     2.485
F24031,     0.000,    37.529,    79.112,     2.525
A51073,     0.000,   141.791,    66.467,     1.337
A51115,     0.000,   149.628,    67.132,     1.358
A51119,     0.000,   128.012,    65.167,     1.400
A51199,     0.000,    50.333,    53.036,     1.364
F51199,     0.000,    50.272,    53.052,     1.365
A51095,     0.000,    36.714,    53.746,     1.677
A51097,     0.000,    28.681,    61.551,     1.519
A51127,     0.000,    16.474,    19.730,     0.872
A51830,     0.000,    41.694,    55.746,     1.405
F51095,     0.000,    36.761,    53.798,     1.678
F51830,     0.000,    41.553,    55.680,     1.405
A51650,     0.000,    84.352,    37.396,     0.875
A51735,     0.000,    15.714,    74.971,     2.512
F51650,     0.000,    84.475,    37.465,     0.875
F51735,     0.000,    15.320,    75.047,     2.512
A51101,     0.000,    38.935,    62.431,     1.572
A51033,     0.000,    35.974,    50.371,     1.279
F51033,     0.000,    29.646,    32.901,     1.028
A51177,     0.000,    58.253,     9.963,     0.768
F51177,     0.000,    57.809,     9.484,     0.754
F51101,     0.000,   132.599,    63.511,     1.384
A51109,     0.000,    79.670,     9.030,     0.587
A51003,     0.000,    71.525,    41.120,     1.185
A51065,     0.000,    49.984,    26.115,     0.968
A51075,     0.000,   100.246,    26.153,     0.738
A51103,     0.000,   142.766,    62.982,     1.264
A51133,     0.000,   145.499,    61.338,     1.264
A51057,     0.000,    37.099,    70.104,     1.737
A51159,     0.000,    70.504,    65.304,     1.417
F51159,     0.000,   136.899,    62.894,     1.267
A51099,     0.000,   129.009,    66.662,     1.387
A51630,     0.000,    47.197,    34.856,     0.990
F51057,     0.000,   105.975,    64.758,     1.533
F51099,     0.000,   129.642,    66.615,     1.387
F51630,     0.000,   154.846,    62.888,     1.271
A51047,     0.000,    94.639,    63.766,     1.592
A51061,     0.000,    65.293,    13.848,     0.823
A51157,     0.000,   138.423,    71.252,     1.479
B51061,     0.000,   115.038,    73.759,     1.641
B51157,     0.000,   179.891,    69.612,     1.381
F51061,     0.000,   122.639,    52.480,     1.150
F51157,     0.000,   141.660,    70.250,     1.432
A51113,     0.000,    89.865,    73.107,     1.648
B51113,     0.000,   182.852,    71.046,     1.432
F51113,     0.000,   129.281,    73.717,     1.566
A51079,     0.000,    85.067,    56.402,     1.514
B51079,     0.000,   160.284,    67.251,     1.431
F51079,     0.000,   136.890,    70.624,     1.535
A51137,     0.000,    67.585,    29.427,     0.963
F51137,     0.000,    83.347,    35.698,     1.031
A24005,     0.000,    43.154,    79.143,     2.361
A24510,     0.000,   139.921,    74.086,     1.993
F24005,     0.000,    46.488,    79.371,     2.322
F24510,     0.000,   140.408,    73.992,     1.990
A24013,     0.000,   114.059,    71.605,     2.196
F24013,     0.000,   223.467,    64.038,     1.979
A24025,     0.000,    91.429,    76.568,     2.274
F24025,     0.000,   182.152,    69.283,     2.046
A10001,     0.000,    31.444,    71.170,     1.984
A10005,     0.000,    59.160,    64.980,     2.443
A24011,     0.000,    82.091,    68.373,     1.940
A24019,     0.000,    72.808,    43.891,     1.236
A24045,     0.000,   492.627,    40.502,     1.321
F24019,     0.000,    73.411,    44.408,     1.245
A24047,     0.000,   170.520,    33.452,     1.344
F24045,     0.000,   516.510,    70.695,     1.739
A24039,     0.000,   447.751,    50.539,     1.260
A51001,     0.000,   109.524,    39.666,     1.096
F24039,     0.000,   449.497,    51.208,     1.275
F51001,     0.000,   109.521,    39.671,     1.096
A51131,     0.000,    77.264,    49.413,     1.417
F51131,     0.000,    77.105,    49.251,     1.415
F10005,     0.000,    70.531,    74.514,     2.598
A24041,     0.000,    91.507,    52.782,     1.412
F24041,     0.000,    92.252,    53.076,     1.416
A24035,     0.000,    67.479,    72.957,     1.717
F24035,     0.000,   137.382,    69.796,     1.651
A24015,     0.000,    63.091,    71.930,     2.302
A10003,     0.000,   167.521,    68.240,     1.917
F24015,     0.000,   196.665,    64.258,     2.042
A24029,     0.000,   140.036,    70.017,     1.599
F24029,     0.000,   140.100,    70.008,     1.599
A42029,     0.000,   117.896,    72.246,     2.381
A51041,     0.000,    18.012,     5.474,     0.743
A51145,     0.000,   101.542,    14.202,     0.633
A51570,     0.000,    59.244,    16.886,     0.622
A51149,     0.000,     8.641,    26.526,     1.182
A51670,     0.000,    29.051,    58.302,     1.621
F51149,     0.000,    40.874,    57.666,     1.822
F51670,     0.000,    28.960,    58.170,     1.616
A51007,     0.000,   122.729,    19.191,     0.532
A51135,     0.000,   132.793,    36.921,     0.804
A51147,     0.000,   113.067,    24.721,     0.680
A51011,     0.000,   149.435,    47.891,     1.076
A51029,     0.000,   150.756,    39.066,     0.814
A51049,     0.000,    75.952,    17.951,     0.661
F51011,     0.000,   123.840,    28.229,     0.790
F51147,     0.000,   200.108,    60.098,     1.192
F51145,     0.000,   168.399,    30.677,     0.768
A51053,     0.000,   130.175,    26.868,     0.601
A51730,     0.000,     7.493,    26.401,     1.013
F51053,     0.000,   216.008,    56.153,     1.053
F51730,     0.000,    41.007,    54.111,     1.491
A51036,     0.000,    15.269,    16.802,     0.912
A51087,     0.000,    22.935,    20.100,     0.921
A51760,     0.000,    26.416,    19.817,     0.903
F51041,     0.000,    94.831,    22.924,     0.684
F51087,     0.000,    22.927,    20.121,     0.922
F51760,     0.000,    80.916,    43.332,     1.152
A51181,     0.000,     8.290,    30.569,     1.200
F51181,     0.000,    40.339,    61.582,     1.706
A51550,     0.000,    76.461,    46.525,     1.278
A51710,     0.000,   103.229,    30.608,     0.734
A51810,     0.000,    50.207,    58.379,     1.495
F51710,     0.000,   103.439,    30.592,     0.732
A51740,     0.000,    94.489,    38.451,     0.935
F51550,     0.000,    76.354,    46.511,     1.279
F51740,     0.000,    94.504,    38.449,     0.935
A51800,     0.000,    53.121,     7.091,     0.631
A51093,     0.000,     3.568,    28.267,     1.000
A51700,     0.000,    52.252,    54.492,     1.325
F51700,     0.000,    52.271,    54.501,     1.325
F51810,     0.000,    50.004,    58.371,     1.495
F51800,     0.000,   110.271,    30.610,     0.680
A51085,     0.000,    87.562,    59.450,     1.317
F51085,     0.000,    34.152,    19.373,     0.915
B51003,     0.000,    89.478,    43.369,     1.170
F51003,     0.000,    57.182,    26.766,     1.021
A51125,     0.000,    63.161,    48.108,     1.403
B51125,     0.000,   114.107,    65.106,     1.566
F51125,     0.000,    81.020,    57.930,     1.507
A51009,     0.000,    30.319,    30.630,     1.320
B51009,     0.000,   152.512,    73.250,     1.745
F51009,     0.000,    78.813,    65.221,     1.752
A51540,     0.000,   100.314,    19.935,     0.727
F51540,     0.000,   201.162,    56.002,     1.036
A51031,     0.000,   125.664,    45.469,     1.069
A51023,     0.000,   159.192,    72.345,     2.009
A51163,     0.000,    43.197,    42.002,     1.786
F51023,     0.000,   133.668,    71.558,     2.084
F51163,     0.000,    71.737,    44.038,     1.747
A51161,     0.000,   120.395,    75.300,     2.099
F51161,     0.000,   168.241,    68.672,     1.741
A51015,     0.000,    21.937,    45.160,     1.856
B51015,     0.000,   130.794,    78.846,     2.224
B51163,     0.000,    46.121,    49.288,     1.922
F51015,     0.000,   135.780,    69.356,     2.014
C51015,     0.000,    84.410,    33.713,     1.323
A51045,     0.000,    89.131,    79.651,     2.502
A51071,     0.000,   131.066,    79.898,     2.488
F51045,     0.000,    88.356,    79.556,     2.504
F51071,     0.000,   130.348,    79.811,     2.484
B51017,     0.000,   103.752,    63.401,     2.283
F51017,     0.000,   117.165,    60.949,     1.942
A51678,     0.000,    27.971,    25.784,     1.450
A51017,     0.000,   132.052,    73.535,     2.274
A51091,     0.000,   108.973,    67.368,     2.215
B51091,     0.000,   152.498,    76.935,     2.433
A51530,     0.000,   111.572,    71.130,     2.062
F51530,     0.000,   110.079,    70.765,     2.042
A51121,     0.000,    61.853,    68.096,     2.487
F51121,     0.000,   114.260,    70.590,     2.360
A51005,     0.000,    99.048,    67.688,     2.695
A54063,     0.000,   115.504,    68.191,     2.362
F51005,     0.000,    95.942,    67.407,     2.699
F54063,     0.000,   182.387,    71.790,     2.391
F51091,     0.000,   164.027,    66.934,     2.020
A51580,     0.000,   164.495,    64.331,     1.734
F51580,     0.000,   217.200,    61.858,     1.663
B51023,     0.000,   171.500,    71.206,     1.957
A51019,     0.000,   136.448,    61.109,     1.399
B51019,     0.000,   133.699,    59.376,     1.383
F51019,     0.000,   139.068,    60.080,     1.357
A51680,     0.000,   118.232,    52.057,     1.259
A11001,     0.000,    46.654,    60.521,     1.537
F11001,     0.000,    17.553,    72.082,     1.728
A51059,     0.000,    86.981,    56.454,     1.373
A51510,     0.000,    22.018,    41.143,     0.953
A51610,     0.000,    38.479,    60.249,     1.227
F51510,     0.000,   121.922,    78.775,     1.362
A51600,     0.000,   145.843,    56.812,     1.400
F51059,     0.000,   128.109,    41.959,     1.161
A51153,     0.000,   127.733,    31.279,     0.769
F51153,     0.000,   127.306,    31.215,     0.771
A24017,     0.000,    45.127,    19.282,     0.757
F24017,     0.000,    88.096,    41.613,     0.982
A51179,     0.000,   111.917,    44.532,     0.960
F51179,     0.000,   111.987,    44.457,     0.957
A51193,     0.000,    80.572,    64.455,     1.478
F51193,     0.000,   151.155,    61.410,     1.278
F51013,     0.000,   188.809,    62.874,     1.040
A51107,     0.000,    72.642,    35.281,     1.021
A51683,     0.000,   207.666,    66.111,     1.414
A51685,     0.000,   203.559,    66.445,     1.312
F51107,     0.000,    66.295,    12.663,     0.723
A51013,     0.000,   190.137,    62.806,     1.042
A24021,     0.000,   116.499,    67.019,     1.849
A42001,     0.000,    85.226,    17.563,     0.767
B42001,     0.000,   120.799,    30.695,     0.991
F42001,     0.000,   117.187,    26.719,     0.864
B24021,     0.000,    93.226,    70.053,     1.979
F24021,     0.000,    95.081,    68.334,     1.902
A51069,     0.000,    41.822,    25.915,     1.289
B51171,     0.000,   104.766,    70.279,     2.181
F51069,     0.000,   133.896,    69.339,     2.001
F51171,     0.000,    94.429,    64.959,     2.072
A24043,     0.000,    12.625,    70.051,     2.127
A42055,     0.000,    28.348,    60.834,     1.986
F24043,     0.000,    26.114,    59.235,     1.981
F42055,     0.000,    78.824,    60.662,     2.019
A51820,     0.000,   102.277,    79.079,     2.256
F51820,     0.000,   110.378,    79.718,     2.264
A51165,     0.000,    33.065,    45.634,     1.817
A54031,     0.000,    87.506,    56.336,     1.979
B51165,     0.000,   107.960,    44.109,     1.524
F51165,     0.000,   119.800,    61.201,     1.854
F54031,     0.000,    74.582,    55.981,     2.023
A51171,     0.000,    30.725,    36.001,     1.520
A51187,     0.000,    33.091,    25.528,     1.306
F51187,     0.000,    21.766,    25.002,     1.323
A51043,     0.000,    28.988,    26.622,     1.311
A51840,     0.000,    29.857,    28.592,     1.254
A51660,     0.000,    66.630,    82.950,     2.297
F51660,     0.000,   160.711,    77.271,     2.194
B42041,     0.000,    13.628,    47.686,     1.853
B42055,     0.000,    71.502,    64.555,     2.133
A54003,     0.000,    23.966,    51.690,     1.930
A54037,     0.000,    11.307,    45.100,     1.890
F54003,     0.000,   127.151,    69.978,     2.151
A51139,     0.000,    50.022,    43.547,     1.626
F51139,     0.000,    49.700,    43.614,     1.628
A51790,     0.000,    37.694,    22.653,     1.228
F51790,     0.000,   159.215,    68.643,     1.699
A42099,     0.000,   144.032,    68.730,     2.081
A54065,     0.000,    87.702,    48.607,     1.791
A42057,     0.000,   167.498,    64.077,     1.734
C51165,     0.000,    90.767,    61.778,     2.101
A54027,     0.000,    52.433,    49.402,     1.905
A24001,     0.000,   119.255,    57.697,     1.732
C42009,     0.000,   155.413,    59.786,     1.615
F24001,     0.000,    76.435,    39.943,     1.609
F54027,     0.000,    39.031,    44.106,     1.810
B51139,     0.000,    75.187,    61.900,     1.990
B51187,     0.000,    52.940,    34.954,     1.279
F51043,     0.000,    36.556,    33.883,     1.562
F54037,     0.000,    54.512,    45.330,     1.853
A42009,     0.000,    69.403,    52.410,     1.878
A54071,     0.000,    42.156,    50.874,     1.915
F54071,     0.000,   100.558,    58.206,     1.970
A54023,     0.000,   148.218,    71.070,     2.138
A54057,     0.000,    72.373,    62.940,     2.141
B54023,     0.000,    37.152,    50.215,     1.832
B54057,     0.000,    18.151,    43.954,     1.777
B54071,     0.000,    34.046,    69.317,     2.306
B54031,     0.000,    64.232,    45.465,     1.732
A42111,     0.000,   108.474,    57.797,     1.841
B24001,     0.000,    93.467,    68.021,     2.302
B42009,     0.000,   108.048,    57.935,     1.911
A24023,     0.000,   140.463,    64.690,     1.883
F54023,     0.000,   167.574,    71.180,     2.201
A54077,     0.000,   228.751,    69.108,     1.903
A54093,     0.000,   246.511,    69.721,     1.986
F24023,     0.000,   159.825,    65.654,     1.876
F54057,     0.000,   192.330,    69.560,     2.085
F54065,     0.000,   169.161,    65.881,     1.930
A42071,     0.000,    84.036,    76.722,     2.352
A42133,     0.000,    89.637,    72.472,     2.084
A42075,     0.000,    53.334,    76.243,     2.143
A42011,     0.000,   165.860,    66.591,     1.950
F42133,     0.000,    72.636,    50.410,     1.891
F42075,     0.000,   139.571,    62.351,     1.996
F42071,     0.000,   233.118,    68.005,     2.117
A42041,     0.000,    63.763,    58.163,     1.963
F42041,     0.000,    11.496,    43.451,     1.736
F42011,     0.000,   184.861,    64.022,     1.818
A42107,     0.000,   131.594,    72.532,     2.028
F42107,     0.000,   215.352,    70.869,     1.913
A42067,     0.000,    60.848,    49.946,     1.892
A42043,     0.000,    62.716,    29.789,     1.213
F42043,     0.000,   131.307,    55.682,     1.635
A42087,     0.000,   110.755,    63.954,     2.061
A42027,     0.000,    56.212,    78.673,     2.017
A42109,     0.000,    98.797,    52.355,     1.941
F42087,     0.000,   188.498,    68.031,     1.980
A42097,     0.000,   113.862,    77.160,     2.321
A42037,     0.000,   193.423,    69.729,     1.926
A42061,     0.000,   174.522,    68.452,     1.932
A42119,     0.000,   166.685,    68.853,     1.937
B42043,     0.000,    99.077,    44.264,     1.448
A42013,     0.000,   125.147,    71.756,     2.083
A42021,     0.000,    96.991,    43.532,     1.381
B42027,     0.000,   102.469,    73.662,     2.034
B42119,     0.000,    93.966,    51.153,     1.792
A42093,     0.000,   205.732,    60.757,     1.660
B42081,     0.000,    45.563,    57.937,     2.096
A42025,     0.000,   168.307,    69.984,     2.968
A42079,     0.000,    69.655,    71.955,     2.764
F42013,     0.000,    73.909,    44.521,     1.708
F42021,     0.000,    76.779,    33.262,     1.165
A42113,     0.000,   131.319,    69.166,     3.078
B42079,     0.000,   172.246,    71.156,     2.555
B42035,     0.000,    77.773,    44.670,     1.624
A42081,     0.000,   125.580,    71.261,     2.196
F42061,     0.000,    44.754,    42.899,     1.649
A42115,     0.000,   129.953,    69.647,     2.560
A42127,     0.000,   196.790,    70.667,     2.452
A42117,     0.000,    96.843,    58.276,     1.935
F42009,     0.000,   151.733,    66.332,     2.010
B42015,     0.000,   109.349,    54.863,     1.943
B42131,     0.000,   146.973,    67.050,     2.478
A42131,     0.000,    56.017,    64.236,     2.662
A42069,     0.000,    82.513,    74.075,     3.217
F42069,     0.000,    72.876,    72.780,     3.183
A42035,     0.000,    96.654,    56.099,     1.879
A42015,     0.000,    92.340,    51.920,     1.998
A42105,     0.000,    94.102,    38.415,     1.322
A42023,     0.000,   341.440,    51.433,     1.636
A36015,     0.000,   140.046,    46.107,     1.732
A36101,     0.000,   104.690,    51.122,     1.642
F42117,     0.000,   143.815,    48.078,     1.522
A36097,     0.000,   142.788,    60.039,     1.832
A36107,     0.000,   133.482,    53.694,     1.817
A36109,     0.000,   176.225,    59.865,     1.907
A42033,     0.000,   105.959,    53.790,     1.573
F42027,     0.000,    64.904,    51.345,     1.770
A36051,     0.000,   138.953,    44.864,     1.295
A36069,     0.000,   128.739,    60.233,     1.848
A36123,     0.000,   130.938,    57.269,     1.754
F36101,     0.000,   112.075,    51.475,     1.601
A36007,     0.000,   116.764,    61.395,     2.068
A42047,     0.000,   133.154,    45.219,     1.418
A36023,     0.000,   122.773,    71.143,     2.212
A42083,     0.000,   141.345,    43.434,     1.253
A42063,     0.000,   154.449,    63.293,     1.668
A42065,     0.000,   166.492,    65.147,     1.682
F42033,     0.000,   143.743,    68.019,     1.654
A36003,     0.000,   162.040,    51.009,     1.505
F36003,     0.000,   161.017,    51.298,     1.507
A36017,     0.000,   122.801,    69.425,     2.168
A36053,     0.000,    55.945,    56.014,     1.901
F42035,     0.000,   207.769,    68.269,     1.789
F42081,     0.000,   183.999,    69.645,     2.135
A36067,     0.000,    67.993,    73.013,     2.485
F36007,     0.000,    84.287,    63.538,     2.160
F42119,     0.000,   191.951,    68.500,     1.921
A36065,     0.000,    75.838,    71.335,     2.502
A36025,     0.000,   145.435,    71.029,     2.554
A36077,     0.000,   135.758,    70.825,     2.348
F36025,     0.000,   143.119,    72.245,     2.600
A36043,     0.000,    85.973,    71.073,     2.599
F36015,     0.000,   144.815,    47.280,     1.721
A36095,     0.000,   143.134,    73.407,     2.608
F42115,     0.000,   208.225,    66.360,     2.446
F42079,     0.000,   204.714,    69.271,     2.499
F42097,     0.000,   222.422,    69.918,     2.119
end
