TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.000873,0.012068,0,0.000087,0.000873,0.500000,0.000012,0.581E-05
A10003,1,0,0,1,0,1,0,1,0,0.000391,0.005409,0,0.000039,0.000391,0.500000,0.541E-05,0.452E-05
A10005,1,0,0,1,0,1,0,1,0,0.000839,0.011600,0,0.000084,0.000839,0.500000,0.000012,0.425E-05
A11001,1,0,0,1,0,1,0,1,0,0.000882,0.012197,0,0.000088,0.000882,0.500000,0.000012,0.707E-05
A24001,1,0,0,1,0,1,0,1,0,0.000658,0.009096,0,0.000066,0.000658,0.500000,0.910E-05,0.000011
A24003,1,0,0,1,0,1,0,1,0,0.000400,0.005531,0,0.000040,0.000400,0.500000,0.553E-05,0.486E-05
A24005,1,0,0,1,0,1,0,1,0,0.000871,0.012042,0,0.000087,0.000871,0.500000,0.000012,0.479E-05
A24009,1,0,0,1,0,1,0,1,0,0.000484,0.006686,0,0.000048,0.000484,0.500000,0.669E-05,0.576E-05
A24011,1,0,0,1,0,1,0,1,0,0.000339,0.004690,0,0.000034,0.000339,0.500000,0.469E-05,0.516E-05
A24013,1,0,0,1,0,1,0,1,0,0.000624,0.008632,0,0.000062,0.000624,0.500000,0.863E-05,0.610E-05
A24015,1,0,0,1,0,1,0,1,0,0.000657,0.009082,0,0.000066,0.000657,0.500000,0.908E-05,0.575E-05
A24017,1,0,0,1,0,1,0,1,0,0.000370,0.005115,0,0.000037,0.000370,0.500000,0.512E-05,0.720E-05
A24019,1,0,0,1,0,1,0,1,0,0.000309,0.004268,0,0.000031,0.000309,0.500000,0.427E-05,0.574E-05
A24021,1,0,0,1,0,1,0,1,0,0.000603,0.008338,0,0.000060,0.000603,0.500000,0.834E-05,0.612E-05
A24023,1,0,0,1,0,1,0,1,0,0.000301,0.004161,0,0.000030,0.000301,0.500000,0.416E-05,0.452E-05
A24025,1,0,0,1,0,1,0,1,0,0.000654,0.009049,0,0.000066,0.000654,0.500000,0.905E-05,0.441E-05
A24027,1,0,0,1,0,1,0,1,0,0.000719,0.009948,0,0.000072,0.000719,0.500000,0.995E-05,0.537E-05
A24029,1,0,0,1,0,1,0,1,0,0.000394,0.005445,0,0.000039,0.000394,0.500000,0.544E-05,0.458E-05
A24031,1,0,0,1,0,1,0,1,0,0.000829,0.011464,0,0.000083,0.000829,0.500000,0.000011,0.586E-05
A24033,1,0,0,1,0,1,0,1,0,0.000594,0.008218,0,0.000059,0.000594,0.500000,0.822E-05,0.694E-05
A24035,1,0,0,1,0,1,0,1,0,0.000593,0.008206,0,0.000059,0.000593,0.500000,0.821E-05,0.481E-05
A24037,1,0,0,1,0,1,0,1,0,0.000495,0.006839,0,0.000050,0.000495,0.500000,0.684E-05,0.748E-05
A24039,1,0,0,1,0,1,0,1,0,0.000298,0.004114,0,0.000030,0.000298,0.500000,0.411E-05,0.585E-05
A24041,1,0,0,1,0,1,0,1,0,0.000343,0.004744,0,0.000034,0.000343,0.500000,0.474E-05,0.500E-05
A24043,1,0,0,1,0,1,0,1,0,0.002294,0.031725,0,0.000230,0.002294,0.500000,0.000032,0.481E-05
A24045,1,0,0,1,0,1,0,1,0,0.000411,0.005687,0,0.000041,0.000411,0.500000,0.569E-05,0.681E-05
A24047,1,0,0,1,0,1,0,1,0,0.000405,0.005603,0,0.000041,0.000405,0.500000,0.560E-05,0.658E-05
A24510,1,0,0,1,0,1,0,1,0,0.000577,0.007978,0,0.000058,0.000577,0.500000,0.798E-05,0.429E-05
A36003,1,0,0,1,0,1,0,1,0,0.000387,0.005344,0,0.000039,0.000387,0.500000,0.534E-05,0.813E-05
A36007,1,0,0,1,0,1,0,1,0,0.000449,0.006208,0,0.000045,0.000449,0.500000,0.621E-05,0.527E-05
A36015,1,0,0,1,0,1,0,1,0,0.000552,0.007631,0,0.000055,0.000552,0.500000,0.763E-05,0.887E-05
A36017,1,0,0,1,0,1,0,1,0,0.000393,0.005437,0,0.000039,0.000393,0.500000,0.544E-05,0.444E-05
A36023,1,0,0,1,0,1,0,1,0,0.000441,0.006097,0,0.000044,0.000441,0.500000,0.610E-05,0.416E-05
A36025,1,0,0,1,0,1,0,1,0,0.000394,0.005448,0,0.000039,0.000394,0.500000,0.545E-05,0.499E-05
A36043,1,0,0,1,0,1,0,1,0,0.000348,0.004817,0,0.000035,0.000348,0.500000,0.482E-05,0.443E-05
A36051,1,0,0,1,0,1,0,1,0,0.000417,0.005765,0,0.000042,0.000417,0.500000,0.577E-05,0.580E-05
A36053,1,0,0,1,0,1,0,1,0,0.000472,0.006529,0,0.000047,0.000472,0.500000,0.653E-05,0.420E-05
A36065,1,0,0,1,0,1,0,1,0,0.000416,0.005755,0,0.000042,0.000416,0.500000,0.575E-05,0.420E-05
A36067,1,0,0,1,0,1,0,1,0,0.000513,0.007091,0,0.000051,0.000513,0.500000,0.709E-05,0.398E-05
A36069,1,0,0,1,0,1,0,1,0,0.000483,0.006676,0,0.000048,0.000483,0.500000,0.668E-05,0.610E-05
A36077,1,0,0,1,0,1,0,1,0,0.000417,0.005770,0,0.000042,0.000417,0.500000,0.577E-05,0.463E-05
A36095,1,0,0,1,0,1,0,1,0,0.000422,0.005834,0,0.000042,0.000422,0.500000,0.583E-05,0.445E-05
A36097,1,0,0,1,0,1,0,1,0,0.000419,0.005795,0,0.000042,0.000419,0.500000,0.580E-05,0.653E-05
A36101,1,0,0,1,0,1,0,1,0,0.000535,0.007394,0,0.000054,0.000535,0.500000,0.739E-05,0.754E-05
A36107,1,0,0,1,0,1,0,1,0,0.000457,0.006320,0,0.000046,0.000457,0.500000,0.632E-05,0.627E-05
A36109,1,0,0,1,0,1,0,1,0,0.000369,0.005099,0,0.000037,0.000369,0.500000,0.510E-05,0.599E-05
A36123,1,0,0,1,0,1,0,1,0,0.000452,0.006255,0,0.000045,0.000452,0.500000,0.626E-05,0.614E-05
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.000428,0.005921,0,0.000043,0.000428,0.500000,0.592E-05,0.959E-05
A42009,1,0,0,1,0,1,0,1,0,0.000466,0.006441,0,0.000047,0.000466,0.500000,0.644E-05,0.590E-05
A42011,1,0,0,1,0,1,0,1,0,0.000298,0.004121,0,0.000030,0.000298,0.500000,0.412E-05,0.517E-05
A42013,1,0,0,1,0,1,0,1,0,0.000539,0.007457,0,0.000054,0.000539,0.500000,0.746E-05,0.494E-05
A42015,1,0,0,1,0,1,0,1,0,0.000515,0.007125,0,0.000052,0.000515,0.500000,0.713E-05,0.681E-05
A42021,1,0,0,1,0,1,0,1,0,0.000360,0.004972,0,0.000036,0.000360,0.500000,0.497E-05,0.457E-05
A42023,1,0,0,1,0,1,0,1,0,0.000303,0.004185,0,0.000030,0.000303,0.500000,0.419E-05,0.501E-05
A42025,1,0,0,1,0,1,0,1,0,0.000216,0.002991,0,0.000022,0.000216,0.500000,0.299E-05,0.543E-05
A42027,1,0,0,1,0,1,0,1,0,0.000766,0.010591,0,0.000077,0.000766,0.500000,0.000011,0.436E-05
A42029,1,0,0,1,0,1,0,1,0,0.000515,0.007124,0,0.000052,0.000515,0.500000,0.712E-05,0.510E-05
A42033,1,0,0,1,0,1,0,1,0,0.000427,0.005908,0,0.000043,0.000427,0.500000,0.591E-05,0.429E-05
A42035,1,0,0,1,0,1,0,1,0,0.000379,0.005237,0,0.000038,0.000379,0.500000,0.524E-05,0.435E-05
A42037,1,0,0,1,0,1,0,1,0,0.000350,0.004835,0,0.000035,0.000350,0.500000,0.483E-05,0.453E-05
A42041,1,0,0,1,0,1,0,1,0,0.000515,0.007119,0,0.000052,0.000515,0.500000,0.712E-05,0.532E-05
A42043,1,0,0,1,0,1,0,1,0,0.000513,0.007097,0,0.000051,0.000513,0.500000,0.710E-05,0.660E-05
A42047,1,0,0,1,0,1,0,1,0,0.000312,0.004320,0,0.000031,0.000312,0.500000,0.432E-05,0.499E-05
A42055,1,0,0,1,0,1,0,1,0,0.000769,0.010634,0,0.000077,0.000769,0.500000,0.000011,0.497E-05
A42057,1,0,0,1,0,1,0,1,0,0.000551,0.007626,0,0.000055,0.000551,0.500000,0.763E-05,0.792E-05
A42061,1,0,0,1,0,1,0,1,0,0.000502,0.006946,0,0.000050,0.000502,0.500000,0.695E-05,0.579E-05
A42063,1,0,0,1,0,1,0,1,0,0.000367,0.005071,0,0.000037,0.000367,0.500000,0.507E-05,0.477E-05
A42065,1,0,0,1,0,1,0,1,0,0.000336,0.004644,0,0.000034,0.000336,0.500000,0.464E-05,0.486E-05
A42067,1,0,0,1,0,1,0,1,0,0.000532,0.007361,0,0.000053,0.000532,0.500000,0.736E-05,0.615E-05
A42069,1,0,0,1,0,1,0,1,0,0.000478,0.006611,0,0.000048,0.000478,0.500000,0.661E-05,0.454E-05
A42071,1,0,0,1,0,1,0,1,0,0.000803,0.011109,0,0.000080,0.000803,0.500000,0.000011,0.488E-05
A42075,1,0,0,1,0,1,0,1,0,0.000966,0.013351,0,0.000097,0.000966,0.500000,0.000013,0.421E-05
A42079,1,0,0,1,0,1,0,1,0,0.000501,0.006930,0,0.000050,0.000501,0.500000,0.693E-05,0.484E-05
A42081,1,0,0,1,0,1,0,1,0,0.000392,0.005425,0,0.000039,0.000392,0.500000,0.542E-05,0.430E-05
A42083,1,0,0,1,0,1,0,1,0,0.000262,0.003617,0,0.000026,0.000262,0.500000,0.362E-05,0.499E-05
A42087,1,0,0,1,0,1,0,1,0,0.000433,0.005982,0,0.000043,0.000433,0.500000,0.598E-05,0.513E-05
A42093,1,0,0,1,0,1,0,1,0,0.000430,0.005944,0,0.000043,0.000430,0.500000,0.594E-05,0.814E-05
A42097,1,0,0,1,0,1,0,1,0,0.000618,0.008545,0,0.000062,0.000618,0.500000,0.855E-05,0.413E-05
A42099,1,0,0,1,0,1,0,1,0,0.000446,0.006162,0,0.000045,0.000446,0.500000,0.616E-05,0.527E-05
A42105,1,0,0,1,0,1,0,1,0,0.000357,0.004935,0,0.000036,0.000357,0.500000,0.494E-05,0.514E-05
A42107,1,0,0,1,0,1,0,1,0,0.000437,0.006044,0,0.000044,0.000437,0.500000,0.604E-05,0.432E-05
A42109,1,0,0,1,0,1,0,1,0,0.000464,0.006422,0,0.000046,0.000464,0.500000,0.642E-05,0.592E-05
A42111,1,0,0,1,0,1,0,1,0,0.000431,0.005966,0,0.000043,0.000431,0.500000,0.597E-05,0.519E-05
A42113,1,0,0,1,0,1,0,1,0,0.000354,0.004892,0,0.000035,0.000354,0.500000,0.489E-05,0.429E-05
A42115,1,0,0,1,0,1,0,1,0,0.000373,0.005156,0,0.000037,0.000373,0.500000,0.516E-05,0.481E-05
A42117,1,0,0,1,0,1,0,1,0,0.000548,0.007581,0,0.000055,0.000548,0.500000,0.758E-05,0.600E-05
A42119,1,0,0,1,0,1,0,1,0,0.000319,0.004406,0,0.000032,0.000319,0.500000,0.441E-05,0.439E-05
A42127,1,0,0,1,0,1,0,1,0,0.000276,0.003817,0,0.000028,0.000276,0.500000,0.382E-05,0.398E-05
A42131,1,0,0,1,0,1,0,1,0,0.000565,0.007812,0,0.000057,0.000565,0.500000,0.781E-05,0.634E-05
A42133,1,0,0,1,0,1,0,1,0,0.000540,0.007466,0,0.000054,0.000540,0.500000,0.747E-05,0.560E-05
A47091,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A47163,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51001,1,0,0,1,0,1,0,1,0,0.000299,0.004141,0,0.000030,0.000299,0.500000,0.414E-05,0.579E-05
A51003,1,0,0,1,0,1,0,1,0,0.000622,0.008597,0,0.000062,0.000622,0.500000,0.860E-05,0.586E-05
A51005,1,0,0,1,0,1,0,1,0,0.000648,0.008956,0,0.000065,0.000648,0.500000,0.896E-05,0.727E-05
A51007,1,0,0,1,0,1,0,1,0,0.000523,0.007231,0,0.000052,0.000523,0.500000,0.723E-05,0.000010
A51009,1,0,0,1,0,1,0,1,0,0.000652,0.009013,0,0.000065,0.000652,0.500000,0.901E-05,0.520E-05
A51011,1,0,0,1,0,1,0,1,0,0.000637,0.008805,0,0.000064,0.000637,0.500000,0.880E-05,0.704E-05
A51013,1,0,0,1,0,1,0,1,0,0.000350,0.004841,0,0.000035,0.000350,0.500000,0.484E-05,0.561E-05
A51015,1,0,0,1,0,1,0,1,0,0.000789,0.010909,0,0.000079,0.000789,0.500000,0.000011,0.583E-05
A51017,1,0,0,1,0,1,0,1,0,0.000618,0.008549,0,0.000062,0.000618,0.500000,0.855E-05,0.637E-05
A51019,1,0,0,1,0,1,0,1,0,0.000700,0.009678,0,0.000070,0.000700,0.500000,0.968E-05,0.635E-05
A51021,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51023,1,0,0,1,0,1,0,1,0,0.000556,0.007682,0,0.000056,0.000556,0.500000,0.768E-05,0.616E-05
A51025,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51027,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51029,1,0,0,1,0,1,0,1,0,0.000527,0.007290,0,0.000053,0.000527,0.500000,0.729E-05,0.801E-05
A51031,1,0,0,1,0,1,0,1,0,0.000621,0.008580,0,0.000062,0.000621,0.500000,0.858E-05,0.732E-05
A51033,1,0,0,1,0,1,0,1,0,0.000723,0.010000,0,0.000072,0.000723,0.500000,0.000010,0.670E-05
A51035,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51036,1,0,0,1,0,1,0,1,0,0.000472,0.006529,0,0.000047,0.000472,0.500000,0.653E-05,0.700E-05
A51037,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51041,1,0,0,1,0,1,0,1,0,0.000656,0.009074,0,0.000066,0.000656,0.500000,0.907E-05,0.848E-05
A51043,1,0,0,1,0,1,0,1,0,0.000710,0.009821,0,0.000071,0.000710,0.500000,0.982E-05,0.863E-05
A51045,1,0,0,1,0,1,0,1,0,0.000600,0.008295,0,0.000060,0.000600,0.500000,0.829E-05,0.536E-05
A51047,1,0,0,1,0,1,0,1,0,0.000701,0.009692,0,0.000070,0.000701,0.500000,0.969E-05,0.615E-05
A51049,1,0,0,1,0,1,0,1,0,0.000506,0.006997,0,0.000051,0.000506,0.500000,0.700E-05,0.845E-05
A51051,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51053,1,0,0,1,0,1,0,1,0,0.000529,0.007312,0,0.000053,0.000529,0.500000,0.731E-05,0.931E-05
A51057,1,0,0,1,0,1,0,1,0,0.000785,0.010858,0,0.000079,0.000785,0.500000,0.000011,0.536E-05
A51059,1,0,0,1,0,1,0,1,0,0.000708,0.009788,0,0.000071,0.000708,0.500000,0.979E-05,0.705E-05
A51061,1,0,0,1,0,1,0,1,0,0.000501,0.006927,0,0.000050,0.000501,0.500000,0.693E-05,0.882E-05
A51063,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51065,1,0,0,1,0,1,0,1,0,0.000747,0.010328,0,0.000075,0.000747,0.500000,0.000010,0.769E-05
A51067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A51069,1,0,0,1,0,1,0,1,0,0.000684,0.009453,0,0.000068,0.000684,0.500000,0.945E-05,0.898E-05
A51071,1,0,0,1,0,1,0,1,0,0.000526,0.007276,0,0.000053,0.000526,0.500000,0.728E-05,0.560E-05
A51073,1,0,0,1,0,1,0,1,0,0.000335,0.004638,0,0.000034,0.000335,0.500000,0.464E-05,0.470E-05
A51075,1,0,0,1,0,1,0,1,0,0.000549,0.007593,0,0.000055,0.000549,0.500000,0.759E-05,0.815E-05
