TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.009114,0.500000,0,0.000911,0.009114,0.500000,0.000126,0.000097
A10003,1,0,0,1,0,1,0,1,0,0.003774,0.500000,0,0.000377,0.003774,0.500000,0.000052,0.000071
A10005,1,0,0,1,0,1,0,1,0,0.008345,0.500000,0,0.000834,0.008345,0.500000,0.000115,0.000066
A11001,1,0,0,1,0,1,0,1,0,0.008828,0.500000,0,0.000883,0.008828,0.500000,0.000122,0.000123
A24001,1,0,0,1,0,1,0,1,0,0.006762,0.500000,0,0.000676,0.006762,0.500000,0.000093,0.000193
A24003,1,0,0,1,0,1,0,1,0,0.004075,0.500000,0,0.000407,0.004075,0.500000,0.000056,0.000078
A24005,1,0,0,1,0,1,0,1,0,0.011623,0.500000,0,0.001162,0.011623,0.500000,0.000161,0.000077
A24009,1,0,0,1,0,1,0,1,0,0.006198,0.500000,0,0.000620,0.006198,0.500000,0.000085,0.000096
A24011,1,0,0,1,0,1,0,1,0,0.003117,0.500000,0,0.000312,0.003117,0.500000,0.000043,0.000084
A24013,1,0,0,1,0,1,0,1,0,0.006362,0.500000,0,0.000636,0.006362,0.500000,0.000088,0.000103
A24015,1,0,0,1,0,1,0,1,0,0.007069,0.500000,0,0.000707,0.007069,0.500000,0.000098,0.000096
A24017,1,0,0,1,0,1,0,1,0,0.003883,0.500000,0,0.000388,0.003883,0.500000,0.000054,0.000125
A24019,1,0,0,1,0,1,0,1,0,0.002834,0.500000,0,0.000283,0.002834,0.500000,0.000039,0.000096
A24021,1,0,0,1,0,1,0,1,0,0.006725,0.500000,0,0.000673,0.006725,0.500000,0.000093,0.000104
A24023,1,0,0,1,0,1,0,1,0,0.002744,0.500000,0,0.000274,0.002744,0.500000,0.000038,0.000071
