TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.024093,0.105250,0,0.002409,0.024093,0.500000,0.000105,0.249E-05
A10003,1,0,0,1,0,1,0,1,0,0.008994,0.044121,0,0.000900,0.008994,0.500000,0.000044,0.163E-05
A10005,1,0,0,1,0,1,0,1,0,0.066288,0.170917,0,0.006629,0.066288,0.500000,0.000171,0.277E-05
A11001,1,0,0,1,0,1,0,1,0,0.021064,0.105668,0,0.002107,0.021064,0.500000,0.000106,0.278E-05
A24001,1,0,0,1,0,1,0,1,0,0.014517,0.074652,0,0.001452,0.014517,0.500000,0.000075,0.444E-05
A24003,1,0,0,1,0,1,0,1,0,0.007880,0.039679,0,0.000788,0.007880,0.500000,0.000040,0.174E-05
A24005,1,0,0,1,0,1,0,1,0,0.014054,0.071907,0,0.001405,0.014054,0.500000,0.000072,0.165E-05
A24009,1,0,0,1,0,1,0,1,0,0.006321,0.033892,0,0.000632,0.006321,0.500000,0.000034,0.201E-05
A24011,1,0,0,1,0,1,0,1,0,0.017026,0.058153,0,0.001703,0.017026,0.500000,0.000058,0.276E-05
A24013,1,0,0,1,0,1,0,1,0,0.013533,0.068212,0,0.001353,0.013533,0.500000,0.000068,0.233E-05
A24015,1,0,0,1,0,1,0,1,0,0.013799,0.067217,0,0.001380,0.013799,0.500000,0.000067,0.223E-05
A24017,1,0,0,1,0,1,0,1,0,0.006213,0.033188,0,0.000621,0.006213,0.500000,0.000033,0.276E-05
A24019,1,0,0,1,0,1,0,1,0,0.009876,0.043439,0,0.000988,0.009876,0.500000,0.000043,0.249E-05
A24021,1,0,0,1,0,1,0,1,0,0.010803,0.055313,0,0.001080,0.010803,0.500000,0.000055,0.228E-05
A24023,1,0,0,1,0,1,0,1,0,0.006341,0.032821,0,0.000634,0.006341,0.500000,0.000033,0.156E-05
A24025,1,0,0,1,0,1,0,1,0,0.011141,0.058818,0,0.001114,0.011141,0.500000,0.000059,0.143E-05
A24027,1,0,0,1,0,1,0,1,0,0.012483,0.064236,0,0.001248,0.012483,0.500000,0.000064,0.193E-05
A24029,1,0,0,1,0,1,0,1,0,0.009239,0.044292,0,0.000924,0.009239,0.500000,0.000044,0.168E-05
A24031,1,0,0,1,0,1,0,1,0,0.012820,0.066226,0,0.001282,0.012820,0.500000,0.000067,0.214E-05
A24033,1,0,0,1,0,1,0,1,0,0.008252,0.041326,0,0.000825,0.008252,0.500000,0.000041,0.271E-05
A24035,1,0,0,1,0,1,0,1,0,0.012666,0.062633,0,0.001266,0.012666,0.500000,0.000063,0.173E-05
A24037,1,0,0,1,0,1,0,1,0,0.009346,0.049867,0,0.000934,0.009346,0.500000,0.000050,0.282E-05
A24039,1,0,0,1,0,1,0,1,0,0.056508,0.099110,0,0.005651,0.056508,0.500000,0.000100,0.628E-05
A24041,1,0,0,1,0,1,0,1,0,0.007984,0.040469,0,0.000798,0.007984,0.500000,0.000040,0.181E-05
A24043,1,0,0,1,0,1,0,1,0,0.026892,0.139338,0,0.002689,0.026892,0.500000,0.000139,0.157E-05
A24045,1,0,0,1,0,1,0,1,0,0.108300,0.159803,0,0.010830,0.108300,0.500000,0.000160,0.899E-05
A24047,1,0,0,1,0,1,0,1,0,0.030456,0.085623,0,0.003046,0.030456,0.500000,0.000086,0.459E-05
A24510,1,0,0,1,0,1,0,1,0,0.014049,0.065478,0,0.001405,0.014049,0.500000,0.000066,0.158E-05
A36003,1,0,0,1,0,1,0,1,0,0.009072,0.047118,0,0.000907,0.009072,0.500000,0.000047,0.320E-05
A36007,1,0,0,1,0,1,0,1,0,0.009755,0.050747,0,0.000976,0.009755,0.500000,0.000051,0.190E-05
A36015,1,0,0,1,0,1,0,1,0,0.011142,0.061159,0,0.001114,0.011142,0.500000,0.000061,0.339E-05
A36017,1,0,0,1,0,1,0,1,0,0.008915,0.043961,0,0.000891,0.008915,0.500000,0.000044,0.159E-05
A36023,1,0,0,1,0,1,0,1,0,0.010740,0.051396,0,0.001074,0.010740,0.500000,0.000051,0.148E-05
A36025,1,0,0,1,0,1,0,1,0,0.008425,0.043838,0,0.000843,0.008425,0.500000,0.000044,0.172E-05
A36043,1,0,0,1,0,1,0,1,0,0.007288,0.036686,0,0.000729,0.007288,0.500000,0.000037,0.155E-05
A36051,1,0,0,1,0,1,0,1,0,0.007112,0.040249,0,0.000711,0.007112,0.500000,0.000040,0.192E-05
A36053,1,0,0,1,0,1,0,1,0,0.011105,0.052379,0,0.001111,0.011105,0.500000,0.000052,0.151E-05
A36065,1,0,0,1,0,1,0,1,0,0.008189,0.042855,0,0.000819,0.008189,0.500000,0.000043,0.137E-05
A36067,1,0,0,1,0,1,0,1,0,0.012271,0.057973,0,0.001227,0.012271,0.500000,0.000058,0.139E-05
A36069,1,0,0,1,0,1,0,1,0,0.009199,0.049772,0,0.000919,0.009199,0.500000,0.000050,0.213E-05
A36077,1,0,0,1,0,1,0,1,0,0.008706,0.045345,0,0.000871,0.008706,0.500000,0.000045,0.157E-05
A36095,1,0,0,1,0,1,0,1,0,0.007717,0.041949,0,0.000771,0.007717,0.500000,0.000042,0.142E-05
A36097,1,0,0,1,0,1,0,1,0,0.008968,0.048025,0,0.000896,0.008968,0.500000,0.000048,0.235E-05
A36101,1,0,0,1,0,1,0,1,0,0.009544,0.054099,0,0.000954,0.009544,0.500000,0.000054,0.265E-05
A36107,1,0,0,1,0,1,0,1,0,0.011547,0.057400,0,0.001155,0.011547,0.500000,0.000058,0.246E-05
A36109,1,0,0,1,0,1,0,1,0,0.008303,0.043577,0,0.000830,0.008303,0.500000,0.000044,0.221E-05
A36123,1,0,0,1,0,1,0,1,0,0.008641,0.046662,0,0.000864,0.008641,0.500000,0.000047,0.216E-05
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37081,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37131,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37135,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37145,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37157,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37169,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37171,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37181,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37185,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37189,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A42001,1,0,0,1,0,1,0,1,0,0.012531,0.056883,0,0.001254,0.012531,0.500000,0.000057,0.455E-05
A42009,1,0,0,1,0,1,0,1,0,0.008690,0.047159,0,0.000869,0.008690,0.500000,0.000047,0.207E-05
A42011,1,0,0,1,0,1,0,1,0,0.006391,0.032448,0,0.000639,0.006391,0.500000,0.000032,0.191E-05
A42013,1,0,0,1,0,1,0,1,0,0.010280,0.055039,0,0.001028,0.010280,0.500000,0.000055,0.166E-05
A42015,1,0,0,1,0,1,0,1,0,0.009283,0.052163,0,0.000928,0.009283,0.500000,0.000052,0.240E-05
A42021,1,0,0,1,0,1,0,1,0,0.007165,0.037987,0,0.000717,0.007165,0.500000,0.000038,0.153E-05
A42023,1,0,0,1,0,1,0,1,0,0.041765,0.083393,0,0.004176,0.041765,0.500000,0.000084,0.462E-05
A42025,1,0,0,1,0,1,0,1,0,0.004437,0.023952,0,0.000444,0.004437,0.500000,0.000024,0.192E-05
A42027,1,0,0,1,0,1,0,1,0,0.010660,0.060405,0,0.001066,0.010660,0.500000,0.000060,0.129E-05
A42029,1,0,0,1,0,1,0,1,0,0.009189,0.048110,0,0.000919,0.009189,0.500000,0.000048,0.178E-05
A42033,1,0,0,1,0,1,0,1,0,0.007965,0.044843,0,0.000797,0.007965,0.500000,0.000045,0.131E-05
A42035,1,0,0,1,0,1,0,1,0,0.006415,0.037016,0,0.000642,0.006415,0.500000,0.000037,0.131E-05
A42037,1,0,0,1,0,1,0,1,0,0.006089,0.034101,0,0.000609,0.006089,0.500000,0.000034,0.142E-05
A42041,1,0,0,1,0,1,0,1,0,0.010283,0.051336,0,0.001028,0.010283,0.500000,0.000051,0.196E-05
A42043,1,0,0,1,0,1,0,1,0,0.011963,0.058406,0,0.001196,0.011963,0.500000,0.000059,0.267E-05
A42047,1,0,0,1,0,1,0,1,0,0.006328,0.034494,0,0.000633,0.006328,0.500000,0.000035,0.168E-05
A42055,1,0,0,1,0,1,0,1,0,0.015037,0.070946,0,0.001504,0.015037,0.500000,0.000071,0.188E-05
A42057,1,0,0,1,0,1,0,1,0,0.013728,0.067642,0,0.001373,0.013728,0.500000,0.000068,0.330E-05
A42061,1,0,0,1,0,1,0,1,0,0.009083,0.049078,0,0.000908,0.009083,0.500000,0.000049,0.203E-05
A42063,1,0,0,1,0,1,0,1,0,0.007667,0.041279,0,0.000767,0.007667,0.500000,0.000041,0.160E-05
A42065,1,0,0,1,0,1,0,1,0,0.006117,0.034556,0,0.000612,0.006117,0.500000,0.000034,0.156E-05
A42067,1,0,0,1,0,1,0,1,0,0.012718,0.060076,0,0.001272,0.012718,0.500000,0.000060,0.253E-05
A42069,1,0,0,1,0,1,0,1,0,0.009475,0.050824,0,0.000947,0.009475,0.500000,0.000051,0.148E-05
A42071,1,0,0,1,0,1,0,1,0,0.022499,0.085184,0,0.002250,0.022499,0.500000,0.000086,0.227E-05
A42075,1,0,0,1,0,1,0,1,0,0.020430,0.088473,0,0.002043,0.020430,0.500000,0.000088,0.160E-05
A42079,1,0,0,1,0,1,0,1,0,0.009310,0.052000,0,0.000931,0.009310,0.500000,0.000052,0.156E-05
A42081,1,0,0,1,0,1,0,1,0,0.006211,0.035872,0,0.000621,0.006211,0.500000,0.000036,0.129E-05
A42083,1,0,0,1,0,1,0,1,0,0.005498,0.030125,0,0.000550,0.005498,0.500000,0.000030,0.169E-05
A42087,1,0,0,1,0,1,0,1,0,0.007790,0.042598,0,0.000779,0.007790,0.500000,0.000043,0.173E-05
A42093,1,0,0,1,0,1,0,1,0,0.007181,0.040023,0,0.000718,0.007181,0.500000,0.000040,0.299E-05
A42097,1,0,0,1,0,1,0,1,0,0.009344,0.049717,0,0.000934,0.009344,0.500000,0.000050,0.127E-05
A42099,1,0,0,1,0,1,0,1,0,0.010409,0.050760,0,0.001041,0.010409,0.500000,0.000051,0.201E-05
A42105,1,0,0,1,0,1,0,1,0,0.006727,0.038039,0,0.000673,0.006727,0.500000,0.000038,0.168E-05
A42107,1,0,0,1,0,1,0,1,0,0.009717,0.047393,0,0.000972,0.009717,0.500000,0.000047,0.153E-05
A42109,1,0,0,1,0,1,0,1,0,0.011114,0.052710,0,0.001112,0.011114,0.500000,0.000053,0.239E-05
A42111,1,0,0,1,0,1,0,1,0,0.008505,0.046154,0,0.000850,0.008505,0.500000,0.000046,0.176E-05
A42113,1,0,0,1,0,1,0,1,0,0.007416,0.040336,0,0.000742,0.007416,0.500000,0.000040,0.138E-05
A42115,1,0,0,1,0,1,0,1,0,0.008218,0.043843,0,0.000821,0.008218,0.500000,0.000044,0.164E-05
A42117,1,0,0,1,0,1,0,1,0,0.009925,0.056325,0,0.000993,0.009925,0.500000,0.000056,0.200E-05
