TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.024289,0.106108,0,0.002429,0.024289,0.500000,0.000106,0.246E-05
A10003,1,0,0,1,0,1,0,1,0,0.009339,0.045812,0,0.000934,0.009339,0.500000,0.000046,0.162E-05
A10005,1,0,0,1,0,1,0,1,0,0.066363,0.171111,0,0.006637,0.066363,0.500000,0.000171,0.274E-05
A11001,1,0,0,1,0,1,0,1,0,0.021286,0.106783,0,0.002129,0.021286,0.500000,0.000107,0.276E-05
A24001,1,0,0,1,0,1,0,1,0,0.014767,0.075937,0,0.001477,0.014767,0.500000,0.000076,0.439E-05
A24003,1,0,0,1,0,1,0,1,0,0.008174,0.041161,0,0.000817,0.008174,0.500000,0.000041,0.173E-05
A24005,1,0,0,1,0,1,0,1,0,0.014290,0.073116,0,0.001429,0.014290,0.500000,0.000073,0.163E-05
A24009,1,0,0,1,0,1,0,1,0,0.006653,0.035670,0,0.000665,0.006653,0.500000,0.000036,0.199E-05
A24011,1,0,0,1,0,1,0,1,0,0.017497,0.059761,0,0.001750,0.017497,0.500000,0.000060,0.274E-05
A24013,1,0,0,1,0,1,0,1,0,0.013832,0.069722,0,0.001383,0.013832,0.500000,0.000070,0.230E-05
A24015,1,0,0,1,0,1,0,1,0,0.014026,0.068324,0,0.001403,0.014026,0.500000,0.000068,0.221E-05
A24017,1,0,0,1,0,1,0,1,0,0.006533,0.034899,0,0.000653,0.006533,0.500000,0.000035,0.274E-05
A24019,1,0,0,1,0,1,0,1,0,0.010230,0.044994,0,0.001023,0.010230,0.500000,0.000045,0.246E-05
A24021,1,0,0,1,0,1,0,1,0,0.011101,0.056838,0,0.001110,0.011101,0.500000,0.000057,0.226E-05
A24023,1,0,0,1,0,1,0,1,0,0.006619,0.034261,0,0.000662,0.006619,0.500000,0.000034,0.154E-05
A24025,1,0,0,1,0,1,0,1,0,0.011390,0.060130,0,0.001139,0.011390,0.500000,0.000060,0.142E-05
A24027,1,0,0,1,0,1,0,1,0,0.012702,0.065364,0,0.001270,0.012702,0.500000,0.000065,0.191E-05
A24029,1,0,0,1,0,1,0,1,0,0.009576,0.045906,0,0.000958,0.009576,0.500000,0.000046,0.166E-05
A24031,1,0,0,1,0,1,0,1,0,0.013105,0.067699,0,0.001311,0.013105,0.500000,0.000068,0.212E-05
A24033,1,0,0,1,0,1,0,1,0,0.008571,0.042922,0,0.000857,0.008571,0.500000,0.000043,0.268E-05
A24035,1,0,0,1,0,1,0,1,0,0.012942,0.063996,0,0.001294,0.012942,0.500000,0.000064,0.171E-05
A24037,1,0,0,1,0,1,0,1,0,0.009672,0.051606,0,0.000967,0.009672,0.500000,0.000052,0.280E-05
A24039,1,0,0,1,0,1,0,1,0,0.057309,0.100515,0,0.005731,0.057309,0.500000,0.000101,0.622E-05
A24041,1,0,0,1,0,1,0,1,0,0.008291,0.042026,0,0.000829,0.008291,0.500000,0.000042,0.179E-05
A24043,1,0,0,1,0,1,0,1,0,0.027011,0.139955,0,0.002701,0.027011,0.500000,0.000140,0.156E-05
A24045,1,0,0,1,0,1,0,1,0,0.108300,0.159803,0,0.010830,0.108300,0.500000,0.000160,0.899E-05
A24047,1,0,0,1,0,1,0,1,0,0.030898,0.086865,0,0.003090,0.030898,0.500000,0.000087,0.455E-05
A24510,1,0,0,1,0,1,0,1,0,0.014353,0.066894,0,0.001435,0.014353,0.500000,0.000067,0.156E-05
A36003,1,0,0,1,0,1,0,1,0,0.009395,0.048798,0,0.000939,0.009395,0.500000,0.000049,0.317E-05
A36007,1,0,0,1,0,1,0,1,0,0.010020,0.052123,0,0.001002,0.010020,0.500000,0.000052,0.188E-05
A36015,1,0,0,1,0,1,0,1,0,0.011352,0.062310,0,0.001135,0.011352,0.500000,0.000062,0.335E-05
A36017,1,0,0,1,0,1,0,1,0,0.009272,0.045723,0,0.000927,0.009272,0.500000,0.000046,0.157E-05
A36023,1,0,0,1,0,1,0,1,0,0.011060,0.052927,0,0.001106,0.011060,0.500000,0.000053,0.147E-05
A36025,1,0,0,1,0,1,0,1,0,0.008689,0.045210,0,0.000869,0.008689,0.500000,0.000045,0.171E-05
A36043,1,0,0,1,0,1,0,1,0,0.007670,0.038608,0,0.000767,0.007670,0.500000,0.000039,0.154E-05
A36051,1,0,0,1,0,1,0,1,0,0.007405,0.041905,0,0.000740,0.007405,0.500000,0.000042,0.191E-05
A36053,1,0,0,1,0,1,0,1,0,0.011430,0.053911,0,0.001143,0.011430,0.500000,0.000054,0.150E-05
A36065,1,0,0,1,0,1,0,1,0,0.008451,0.044226,0,0.000845,0.008451,0.500000,0.000044,0.135E-05
A36067,1,0,0,1,0,1,0,1,0,0.012533,0.059210,0,0.001253,0.012533,0.500000,0.000059,0.138E-05
A36069,1,0,0,1,0,1,0,1,0,0.009535,0.051592,0,0.000953,0.009535,0.500000,0.000052,0.211E-05
A36077,1,0,0,1,0,1,0,1,0,0.008925,0.046486,0,0.000893,0.008925,0.500000,0.000046,0.155E-05
A36095,1,0,0,1,0,1,0,1,0,0.008045,0.043731,0,0.000804,0.008045,0.500000,0.000044,0.141E-05
A36097,1,0,0,1,0,1,0,1,0,0.009203,0.049284,0,0.000920,0.009203,0.500000,0.000049,0.233E-05
A36101,1,0,0,1,0,1,0,1,0,0.009834,0.055743,0,0.000983,0.009834,0.500000,0.000056,0.263E-05
A36107,1,0,0,1,0,1,0,1,0,0.011848,0.058897,0,0.001185,0.011848,0.500000,0.000059,0.244E-05
A36109,1,0,0,1,0,1,0,1,0,0.008674,0.045522,0,0.000867,0.008674,0.500000,0.000046,0.218E-05
A36123,1,0,0,1,0,1,0,1,0,0.008989,0.048542,0,0.000899,0.008989,0.500000,0.000049,0.214E-05
A37001,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37005,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37009,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37033,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37067,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A37077,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
