TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.040481,0.136406,0,0.004048,0.040481,0.500000,0.000136,0.320E-05
A10003,1,0,0,1,0,1,0,1,0,0.021652,0.068993,0,0.002165,0.021652,0.500000,0.000069,0.250E-05
A10005,1,0,0,1,0,1,0,1,0,0.044134,0.140903,0,0.004413,0.044134,0.500000,0.000141,0.222E-05
A11001,1,0,0,1,0,1,0,1,0,0.042544,0.149708,0,0.004255,0.042544,0.500000,0.000150,0.396E-05
A24001,1,0,0,1,0,1,0,1,0,0.027300,0.101954,0,0.002730,0.027300,0.500000,0.000102,0.607E-05
A24003,1,0,0,1,0,1,0,1,0,0.021389,0.065606,0,0.002139,0.021389,0.500000,0.000066,0.284E-05
A24005,1,0,0,1,0,1,0,1,0,0.033353,0.108105,0,0.003335,0.033353,0.500000,0.000108,0.257E-05
A24009,1,0,0,1,0,1,0,1,0,0.019865,0.060820,0,0.001986,0.019865,0.500000,0.000061,0.350E-05
A24011,1,0,0,1,0,1,0,1,0,0.020648,0.064881,0,0.002065,0.020648,0.500000,0.000065,0.299E-05
A24013,1,0,0,1,0,1,0,1,0,0.029848,0.101308,0,0.002985,0.029848,0.500000,0.000101,0.343E-05
A24015,1,0,0,1,0,1,0,1,0,0.029869,0.098332,0,0.002987,0.029869,0.500000,0.000098,0.326E-05
A24017,1,0,0,1,0,1,0,1,0,0.015208,0.052405,0,0.001521,0.015208,0.500000,0.000052,0.424E-05
