TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.021674,0.200000,0,0.002167,0.021674,0.500000,0.000200,0.100E-06
A10003,1,0,0,1,0,1,0,1,0,0.015726,0.200000,0,0.001573,0.015726,0.500000,0.000200,0.100E-06
A10005,1,0,0,1,0,1,0,1,0,0.033868,0.200000,0,0.003387,0.033868,0.500000,0.000200,0.100E-06
A11001,1,0,0,1,0,1,0,1,0,0.018762,0.200000,0,0.001876,0.018762,0.500000,0.000200,0.100E-06
A24001,1,0,0,1,0,1,0,1,0,0.013726,0.200000,0,0.001373,0.013726,0.500000,0.000200,0.100E-06
A24003,1,0,0,1,0,1,0,1,0,0.019745,0.200000,0,0.001975,0.019745,0.500000,0.000200,0.100E-06
A24005,1,0,0,1,0,1,0,1,0,0.016285,0.200000,0,0.001628,0.016285,0.500000,0.000200,0.100E-06
A24009,1,0,0,1,0,1,0,1,0,0.017921,0.200000,0,0.001792,0.017921,0.500000,0.000200,0.100E-06
A24011,1,0,0,1,0,1,0,1,0,0.027044,0.200000,0,0.002704,0.027044,0.500000,0.000200,0.100E-06
A24013,1,0,0,1,0,1,0,1,0,0.016044,0.200000,0,0.001604,0.016044,0.500000,0.000200,0.100E-06
A24015,1,0,0,1,0,1,0,1,0,0.021332,0.200000,0,0.002133,0.021332,0.500000,0.000200,0.100E-06
A24017,1,0,0,1,0,1,0,1,0,0.017644,0.200000,0,0.001764,0.017644,0.500000,0.000200,0.100E-06
A24019,1,0,0,1,0,1,0,1,0,0.020893,0.200000,0,0.002089,0.020893,0.500000,0.000200,0.100E-06
A24021,1,0,0,1,0,1,0,1,0,0.014274,0.200000,0,0.001427,0.014274,0.500000,0.000200,0.100E-06
A24023,1,0,0,1,0,1,0,1,0,0.015663,0.200000,0,0.001566,0.015663,0.500000,0.000200,0.100E-06
A24025,1,0,0,1,0,1,0,1,0,0.015099,0.200000,0,0.001510,0.015099,0.500000,0.000200,0.100E-06
A24027,1,0,0,1,0,1,0,1,0,0.017614,0.200000,0,0.001761,0.017614,0.500000,0.000200,0.100E-06
A24029,1,0,0,1,0,1,0,1,0,0.019392,0.200000,0,0.001939,0.019392,0.500000,0.000200,0.100E-06
