TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,QSO,VQO,SQO,POTFW,ACQOP,SQOLIM,WSQOP
A10001,1,0,1,0,0.448888,0.282841,0.044888,0.448888,0.500000
A10003,1,0,1,0,0.499928,0.283538,0.049993,0.499928,0.500000
A10005,1,0,1,0,0.522984,0.285681,0.052298,0.522984,0.500000
A11001,1,0,1,0,0.518395,0.290153,0.051840,0.518395,0.500000
A24001,1,0,1,0,0.301717,0.274575,0.030172,0.301717,0.500000
A24003,1,0,1,0,0.503726,0.285676,0.050372,0.503726,0.500000
A24005,1,0,1,0,0.487362,0.285999,0.048736,0.487362,0.500000
A24009,1,0,1,0,0.437819,0.281033,0.043782,0.437819,0.500000
A24011,1,0,1,0,0.505924,0.281257,0.050593,0.505924,0.500000
A24013,1,0,1,0,0.458017,0.283756,0.045801,0.458017,0.500000
A24015,1,0,1,0,0.478335,0.284278,0.047834,0.478335,0.500000
A24017,1,0,1,0,0.401835,0.280974,0.040183,0.401835,0.500000
A24019,1,0,1,0,0.406156,0.276596,0.040615,0.406156,0.500000
A24021,1,0,1,0,0.430147,0.285036,0.043015,0.430147,0.500000
A24023,1,0,1,0,0.490921,0.269853,0.049092,0.490921,0.500000
A24025,1,0,1,0,0.489535,0.283816,0.048954,0.489535,0.500000
A24027,1,0,1,0,0.487519,0.288132,0.048752,0.487519,0.500000
A24029,1,0,1,0,0.481833,0.283278,0.048183,0.481833,0.500000
A24031,1,0,1,0,0.455456,0.288031,0.045545,0.455456,0.500000
A24033,1,0,1,0,0.452785,0.286260,0.045279,0.452785,0.500000
A24035,1,0,1,0,0.464149,0.282472,0.046414,0.464149,0.500000
A24037,1,0,1,0,0.388324,0.278653,0.038833,0.388324,0.500000
A24039,1,0,1,0,0.482369,0.284533,0.048237,0.482369,0.500000
A24041,1,0,1,0,0.443095,0.278959,0.044310,0.443095,0.500000
A24043,1,0,1,0,0.383215,0.282361,0.038322,0.383215,0.500000
A24045,1,0,1,0,0.503768,0.288331,0.050377,0.503768,0.500000
A24047,1,0,1,0,0.442293,0.284566,0.044229,0.442293,0.500000
A24510,1,0,1,0,0.572856,0.289957,0.057285,0.572856,0.500000
A36003,1,0,1,0,0.328057,0.275074,0.032805,0.328057,0.500000
A36007,1,0,1,0,0.342140,0.269527,0.034214,0.342140,0.500000
A36015,1,0,1,0,0.304239,0.274553,0.030423,0.304239,0.500000
A36017,1,0,1,0,0.367760,0.266591,0.036776,0.367760,0.500000
A36023,1,0,1,0,0.396007,0.269139,0.039601,0.396007,0.500000
A36025,1,0,1,0,0.335801,0.267121,0.033580,0.335801,0.500000
A36043,1,0,1,0,0.363694,0.261714,0.036369,0.363694,0.500000
A36051,1,0,1,0,0.329094,0.272000,0.032909,0.329094,0.500000
A36053,1,0,1,0,0.415730,0.270190,0.041573,0.415730,0.500000
A36065,1,0,1,0,0.394610,0.265129,0.039460,0.394610,0.500000
A36067,1,0,1,0,0.437434,0.270933,0.043743,0.437434,0.500000
A36069,1,0,1,0,0.332352,0.274653,0.033236,0.332352,0.500000
A36077,1,0,1,0,0.339777,0.265218,0.033977,0.339777,0.500000
A36095,1,0,1,0,0.342251,0.264883,0.034226,0.342251,0.500000
A36097,1,0,1,0,0.321416,0.274133,0.032142,0.321416,0.500000
A36101,1,0,1,0,0.271869,0.273811,0.027187,0.271869,0.500000
A36107,1,0,1,0,0.320519,0.271490,0.032052,0.320519,0.500000
A36109,1,0,1,0,0.367525,0.270422,0.036753,0.367525,0.500000
A36123,1,0,1,0,0.312112,0.273307,0.031212,0.312112,0.500000
A37001,1,0,1,0,0.1,5,0.1,1,0.64
A37005,1,0,1,0,0.1,5,0.1,1,0.64
A37009,1,0,1,0,0.1,5,0.1,1,0.64
A37033,1,0,1,0,0.1,5,0.1,1,0.64
A37067,1,0,1,0,0.1,5,0.1,1,0.64
A37077,1,0,1,0,0.1,5,0.1,1,0.64
A37081,1,0,1,0,0.1,5,0.1,1,0.64
A37131,1,0,1,0,0.1,5,0.1,1,0.64
A37135,1,0,1,0,0.1,5,0.1,1,0.64
A37145,1,0,1,0,0.1,5,0.1,1,0.64
A37157,1,0,1,0,0.1,5,0.1,1,0.64
A37169,1,0,1,0,0.1,5,0.1,1,0.64
A37171,1,0,1,0,0.1,5,0.1,1,0.64
A37181,1,0,1,0,0.1,5,0.1,1,0.64
A37185,1,0,1,0,0.1,5,0.1,1,0.64
A37189,1,0,1,0,0.1,5,0.1,1,0.64
A42001,1,0,1,0,0.474113,0.288299,0.047411,0.474113,0.500000
A42009,1,0,1,0,0.354158,0.277444,0.035416,0.354158,0.500000
A42011,1,0,1,0,0.514224,0.278603,0.051423,0.514224,0.500000
A42013,1,0,1,0,0.394517,0.273780,0.039452,0.394517,0.500000
A42015,1,0,1,0,0.335382,0.275491,0.033538,0.335382,0.500000
A42021,1,0,1,0,0.476983,0.273587,0.047699,0.476983,0.500000
A42023,1,0,1,0,0.414878,0.266618,0.041488,0.414878,0.500000
A42025,1,0,1,0,0.575220,0.273431,0.057522,0.575220,0.500000
A42027,1,0,1,0,0.386670,0.274725,0.038668,0.386670,0.500000
A42029,1,0,1,0,0.550215,0.283019,0.055022,0.550215,0.500000
A42033,1,0,1,0,0.395569,0.268514,0.039557,0.395569,0.500000
A42035,1,0,1,0,0.399808,0.268239,0.039981,0.399808,0.500000
A42037,1,0,1,0,0.416261,0.271755,0.041626,0.416261,0.500000
A42041,1,0,1,0,0.429380,0.284123,0.042938,0.429380,0.500000
A42043,1,0,1,0,0.437306,0.278512,0.043731,0.437306,0.500000
A42047,1,0,1,0,0.426197,0.268305,0.042620,0.426197,0.500000
A42055,1,0,1,0,0.449252,0.284436,0.044925,0.449252,0.500000
A42057,1,0,1,0,0.362325,0.277470,0.036232,0.362325,0.500000
A42061,1,0,1,0,0.352588,0.273472,0.035259,0.352588,0.500000
A42063,1,0,1,0,0.438550,0.269307,0.043855,0.438550,0.500000
A42065,1,0,1,0,0.409106,0.268004,0.040911,0.409106,0.500000
A42067,1,0,1,0,0.393752,0.276680,0.039376,0.393752,0.500000
A42069,1,0,1,0,0.422971,0.273787,0.042297,0.422971,0.500000
A42071,1,0,1,0,0.580851,0.289020,0.058086,0.580851,0.500000
A42075,1,0,1,0,0.549791,0.285571,0.054979,0.549791,0.500000
A42079,1,0,1,0,0.430000,0.274487,0.043000,0.430000,0.500000
A42081,1,0,1,0,0.370477,0.269545,0.037048,0.370477,0.500000
A42083,1,0,1,0,0.466640,0.268098,0.046664,0.466640,0.500000
A42087,1,0,1,0,0.392449,0.272443,0.039245,0.392449,0.500000
A42093,1,0,1,0,0.390701,0.275160,0.039070,0.390701,0.500000
A42097,1,0,1,0,0.417167,0.277212,0.041716,0.417167,0.500000
A42099,1,0,1,0,0.421724,0.277803,0.042172,0.421724,0.500000
A42105,1,0,1,0,0.390712,0.272466,0.039072,0.390712,0.500000
A42107,1,0,1,0,0.477739,0.275905,0.047774,0.477739,0.500000
A42109,1,0,1,0,0.425253,0.278297,0.042525,0.425253,0.500000
A42111,1,0,1,0,0.424079,0.278791,0.042408,0.424079,0.500000
A42113,1,0,1,0,0.434175,0.272608,0.043417,0.434175,0.500000
A42115,1,0,1,0,0.425649,0.272462,0.042565,0.425649,0.500000
A42117,1,0,1,0,0.319404,0.276612,0.031940,0.319404,0.500000
A42119,1,0,1,0,0.443357,0.272964,0.044336,0.443357,0.500000
A42127,1,0,1,0,0.470701,0.270635,0.047070,0.470701,0.500000
A42131,1,0,1,0,0.334516,0.271722,0.033452,0.334516,0.500000
A42133,1,0,1,0,0.467082,0.285321,0.046708,0.467082,0.500000
A47091,1,0,1,0,0.1,5,0.1,1,0.64
A47163,1,0,1,0,0.1,5,0.1,1,0.64
A51001,1,0,1,0,0.386583,0.274340,0.038659,0.386583,0.500000
A51003,1,0,1,0,0.375137,0.280690,0.037514,0.375137,0.500000
A51005,1,0,1,0,0.256415,0.267042,0.025641,0.256415,0.500000
A51007,1,0,1,0,0.363668,0.278779,0.036367,0.363668,0.500000
A51009,1,0,1,0,0.311833,0.272096,0.031184,0.311833,0.500000
A51011,1,0,1,0,0.353126,0.278955,0.035313,0.353126,0.500000
A51013,1,0,1,0,0.535395,0.286788,0.053539,0.535395,0.500000
A51015,1,0,1,0,0.349171,0.281606,0.034918,0.349171,0.500000
A51017,1,0,1,0,0.259479,0.262743,0.025949,0.259479,0.500000
A51019,1,0,1,0,0.331966,0.274841,0.033197,0.331966,0.500000
A51021,1,0,1,0,0.1,5,0.1,1,0.64
A51023,1,0,1,0,0.272618,0.269776,0.027262,0.272618,0.500000
A51025,1,0,1,0,0.1,5,0.1,1,0.64
A51027,1,0,1,0,0.1,5,0.1,1,0.64
A51029,1,0,1,0,0.325227,0.276654,0.032523,0.325227,0.500000
A51031,1,0,1,0,0.326819,0.277020,0.032681,0.326819,0.500000
A51033,1,0,1,0,0.373919,0.278731,0.037392,0.373919,0.500000
A51035,1,0,1,0,0.1,5,0.1,1,0.64
A51036,1,0,1,0,0.393881,0.280284,0.039388,0.393881,0.500000
A51037,1,0,1,0,0.1,5,0.1,1,0.64
A51041,1,0,1,0,0.391362,0.283011,0.039136,0.391362,0.500000
A51043,1,0,1,0,0.323387,0.280641,0.032338,0.323387,0.500000
A51045,1,0,1,0,0.265780,0.266407,0.026578,0.265780,0.500000
A51047,1,0,1,0,0.343986,0.276291,0.034398,0.343986,0.500000
A51049,1,0,1,0,0.332953,0.277195,0.033295,0.332953,0.500000
A51051,1,0,1,0,0.1,5,0.1,1,0.64
A51053,1,0,1,0,0.373016,0.276867,0.037301,0.373016,0.500000
A51057,1,0,1,0,0.380918,0.279701,0.038093,0.380918,0.500000
A51059,1,0,1,0,0.468090,0.287377,0.046809,0.468090,0.500000
A51061,1,0,1,0,0.356995,0.279105,0.035699,0.356995,0.500000
A51063,1,0,1,0,0.1,5,0.1,1,0.64
A51065,1,0,1,0,0.333134,0.276658,0.033314,0.333134,0.500000
A51067,1,0,1,0,0.1,5,0.1,1,0.64
A51069,1,0,1,0,0.314406,0.278593,0.031441,0.314406,0.500000
A51071,1,0,1,0,0.291821,0.268528,0.029182,0.291821,0.500000
A51073,1,0,1,0,0.398746,0.274681,0.039874,0.398746,0.500000
A51075,1,0,1,0,0.349969,0.279500,0.034996,0.349969,0.500000
A51077,1,0,1,0,0.1,5,0.1,1,0.64
A51079,1,0,1,0,0.392698,0.280485,0.039269,0.392698,0.500000
A51081,1,0,1,0,0.1,5,0.1,1,0.64
A51083,1,0,1,0,0.1,5,0.1,1,0.64
A51085,1,0,1,0,0.390046,0.281792,0.039004,0.390046,0.500000
A51087,1,0,1,0,0.441506,0.286036,0.044151,0.441506,0.500000
A51089,1,0,1,0,0.1,5,0.1,1,0.64
A51091,1,0,1,0,0.312989,0.268600,0.031299,0.312989,0.500000
A51093,1,0,1,0,0.394703,0.275139,0.039470,0.394703,0.500000
A51095,1,0,1,0,0.385431,0.273606,0.038543,0.385431,0.500000
A51097,1,0,1,0,0.374396,0.279855,0.037439,0.374396,0.500000
A51099,1,0,1,0,0.384764,0.276757,0.038476,0.384764,0.500000
A51101,1,0,1,0,0.383247,0.281258,0.038324,0.383247,0.500000
A51103,1,0,1,0,0.413716,0.277927,0.041372,0.413716,0.500000
A51105,1,0,1,0,0.1,5,0.1,1,0.64
A51107,1,0,1,0,0.379954,0.281816,0.037996,0.379954,0.500000
A51109,1,0,1,0,0.347962,0.276714,0.034797,0.347962,0.500000
A51111,1,0,1,0,0.1,5,0.1,1,0.64
A51113,1,0,1,0,0.368278,0.279135,0.036828,0.368278,0.500000
A51115,1,0,1,0,0.349052,0.270654,0.034905,0.349052,0.500000
A51117,1,0,1,0,0.1,5,0.1,1,0.64
A51119,1,0,1,0,0.371941,0.273575,0.037194,0.371941,0.500000
A51121,1,0,1,0,0.275127,0.270732,0.027513,0.275127,0.500000
A51125,1,0,1,0,0.334071,0.271839,0.033408,0.334071,0.500000
A51127,1,0,1,0,0.380977,0.279761,0.038098,0.380977,0.500000
A51131,1,0,1,0,0.353425,0.272247,0.035343,0.353425,0.500000
A51133,1,0,1,0,0.400356,0.276186,0.040036,0.400356,0.500000
A51135,1,0,1,0,0.367638,0.278528,0.036764,0.367638,0.500000
A51137,1,0,1,0,0.362134,0.279068,0.036213,0.362134,0.500000
A51139,1,0,1,0,0.414143,0.289919,0.041415,0.414143,0.500000
A51141,1,0,1,0,0.1,5,0.1,1,0.64
A51143,1,0,1,0,0.1,5,0.1,1,0.64
