TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.133315,0.283295,0,0.013332,0.133315,0.500000,0.000284,0.000102
A10003,1,0,0,1,0,1,0,1,0,0.047885,0.109995,0,0.004789,0.047885,0.500000,0.000110,0.000069
A10005,1,0,0,1,0,1,0,1,0,0.330031,0.438797,0,0.033002,0.330031,0.500000,0.000439,0.000110
A11001,1,0,0,1,0,1,0,1,0,0.122330,0.275934,0,0.012233,0.122330,0.500000,0.000276,0.000121
A24001,1,0,0,1,0,1,0,1,0,0.126066,0.217778,0,0.012607,0.126066,0.500000,0.000217,0.000241
A24003,1,0,0,1,0,1,0,1,0,0.047035,0.105864,0,0.004704,0.047035,0.500000,0.000106,0.000077
A24005,1,0,0,1,0,1,0,1,0,0.151549,0.316567,0,0.015156,0.151549,0.500000,0.000317,0.000082
A24009,1,0,0,1,0,1,0,1,0,0.058586,0.127872,0,0.005859,0.058586,0.500000,0.000128,0.000098
A24011,1,0,0,1,0,1,0,1,0,0.080276,0.132931,0,0.008028,0.080276,0.500000,0.000133,0.000112
A24013,1,0,0,1,0,1,0,1,0,0.102794,0.204618,0,0.010279,0.102794,0.500000,0.000204,0.000115
A24015,1,0,0,1,0,1,0,1,0,0.100921,0.204543,0,0.010092,0.100921,0.500000,0.000204,0.000105
A24017,1,0,0,1,0,1,0,1,0,0.043015,0.097013,0,0.004301,0.043015,0.500000,0.000097,0.000122
A24019,1,0,0,1,0,1,0,1,0,0.041467,0.090878,0,0.004147,0.041467,0.500000,0.000091,0.000096
A24021,1,0,0,1,0,1,0,1,0,0.093421,0.182546,0,0.009342,0.093421,0.500000,0.000182,0.000117
A24023,1,0,0,1,0,1,0,1,0,0.059323,0.105816,0,0.005932,0.059323,0.500000,0.000106,0.000089
A24025,1,0,0,1,0,1,0,1,0,0.093351,0.195812,0,0.009335,0.093351,0.500000,0.000196,0.000073
A24027,1,0,0,1,0,1,0,1,0,0.095063,0.205058,0,0.009506,0.095063,0.500000,0.000205,0.000091
A24029,1,0,0,1,0,1,0,1,0,0.070814,0.134120,0,0.007082,0.070814,0.500000,0.000134,0.000085
A24031,1,0,0,1,0,1,0,1,0,0.108967,0.247329,0,0.010897,0.108967,0.500000,0.000247,0.000097
A24033,1,0,0,1,0,1,0,1,0,0.072170,0.145082,0,0.007218,0.072170,0.500000,0.000145,0.000132
A24035,1,0,0,1,0,1,0,1,0,0.090342,0.190458,0,0.009034,0.090342,0.500000,0.000191,0.000081
A24037,1,0,0,1,0,1,0,1,0,0.062631,0.138180,0,0.006263,0.062631,0.500000,0.000138,0.000130
A24039,1,0,0,1,0,1,0,1,0,0.236351,0.203792,0,0.023635,0.236351,0.500000,0.000203,0.000249
A24041,1,0,0,1,0,1,0,1,0,0.046444,0.102492,0,0.004645,0.046444,0.500000,0.000103,0.000081
A24043,1,0,0,1,0,1,0,1,0,0.378354,0.714968,0,0.037837,0.378354,0.500000,0.000715,0.000092
A24045,1,0,0,1,0,1,0,1,0,0.482266,0.344986,0,0.048227,0.482266,0.500000,0.000345,0.000357
A24047,1,0,0,1,0,1,0,1,0,0.130901,0.185140,0,0.013091,0.130901,0.500000,0.000186,0.000175
A24510,1,0,0,1,0,1,0,1,0,0.097737,0.192868,0,0.009774,0.097737,0.500000,0.000193,0.000075
