TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.105604,0.500000,0,0.010560,0.105604,0.500000,0.000480,0.000077
A10003,1,0,0,1,0,1,0,1,0,0.030596,0.500000,0,0.003059,0.030596,0.500000,0.000155,0.000048
A10005,1,0,0,1,0,1,0,1,0,0.127796,0.500000,0,0.012780,0.127796,0.500000,0.000489,0.000062
A11001,1,0,0,1,0,1,0,1,0,0.016988,0.500000,0,0.001699,0.016988,0.500000,0.000187,0.000040
A24001,1,0,0,1,0,1,0,1,0,0.017574,0.500000,0,0.001757,0.017574,0.500000,0.000158,0.000074
A24003,1,0,0,1,0,1,0,1,0,0.017276,0.500000,0,0.001728,0.017276,0.500000,0.000122,0.000038
A24005,1,0,0,1,0,1,0,1,0,0.082082,0.500000,0,0.008208,0.082082,0.500000,0.000479,0.000047
A24009,1,0,0,1,0,1,0,1,0,0.020011,0.500000,0,0.002001,0.020011,0.500000,0.000169,0.000040
A24011,1,0,0,1,0,1,0,1,0,0.026233,0.500000,0,0.002624,0.026233,0.500000,0.000131,0.000058
A24013,1,0,0,1,0,1,0,1,0,0.049926,0.500000,0,0.004993,0.049926,0.500000,0.000265,0.000068
A24015,1,0,0,1,0,1,0,1,0,0.050504,0.500000,0,0.005050,0.050504,0.500000,0.000285,0.000060
A24017,1,0,0,1,0,1,0,1,0,0.013487,0.500000,0,0.001348,0.013487,0.500000,0.000106,0.000056
A24019,1,0,0,1,0,1,0,1,0,0.009801,0.500000,0,0.000980,0.009801,0.500000,0.000075,0.000042
