TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.030177,0.100000,0.,9.514524,0.030177,na,na,0.030177,0.017294,0.,9.514524,0.030177,na,na,0.000100,0.100000,0.100E-04,0.046190,0.200000,na,na,0.000100,0.040112,0.000018,0.034055,0.000100,48752.54,24465.55,0.001,1.07,19.89098,367.8641,0.001,1.07,0.100000,46.40382,0.001,1.07,0.100000,46.40382,0.001,1.07,na,na,na,na,na,na
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.076435,0.081780,0.,10.00000,0.076435,na,na,0.076435,0.004908,0.,10.00000,0.076435,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,39551.57,20459.41,0.001,1.07,25.28348,439.8954,0.001,1.07,0.100000,31.57967,0.001,1.07,0.100000,31.57967,0.001,1.07,na,na,na,na,na,na
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.024339,0.100000,0.,10.00000,0.024339,na,na,0.024339,0.022476,0.,10.00000,0.024339,na,na,0.000100,0.012674,0.000362,0.010791,0.200000,na,na,0.000100,0.001922,0.000508,0.010791,0.000100,50000.00,46951.32,0.001,1.07,9.508937,165.6240,0.001,1.07,0.147320,59.09095,0.001,1.07,0.147320,59.09095,0.001,1.07,na,na,na,na,na,na
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.041263,0.100000,0.,9.344892,0.041263,na,na,0.041263,0.010930,0.,9.344892,0.041263,na,na,0.000100,0.100000,0.100E-04,0.128663,0.200000,na,na,0.000100,0.100000,0.100E-04,0.026029,0.000100,38435.14,18705.39,0.001,1.07,26.01785,481.1450,0.001,1.07,0.100000,41.76009,0.001,1.07,0.100000,41.76009,0.001,1.07,na,na,na,na,na,na
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.097510,0.059227,0.,10.00000,0.097510,na,na,0.097510,0.003562,0.,10.00000,0.097510,na,na,0.000100,0.100000,0.100E-04,1.142708,0.200000,na,na,0.000100,0.100000,0.100E-04,0.190452,0.000100,27681.62,15256.37,0.001,1.07,36.12505,589.9174,0.001,1.07,0.100000,32.78302,0.001,1.07,0.100000,32.78302,0.001,1.07,na,na,na,na,na,na
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.054125,0.100000,0.,10.00000,0.054125,na,na,0.054125,0.007596,0.,10.00000,0.054125,na,na,0.000100,0.100000,0.100E-04,0.014236,0.200000,na,na,0.000100,0.100000,0.100E-04,0.014236,0.000100,40299.88,19348.99,0.001,1.07,24.81398,465.1405,0.001,1.07,0.100000,38.00930,0.001,1.07,0.100000,38.00930,0.001,1.07,na,na,na,na,na,na
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.015929,0.100000,0.,7.113020,0.015929,na,na,0.012587,0.047641,0.,7.113020,0.012587,na,na,0.000100,0.014311,0.000291,0.067379,0.200000,na,na,0.000100,0.001823,0.000488,0.020005,0.000100,47365.55,25469.90,0.001,1.07,21.11240,353.3583,0.001,1.07,0.153788,64.28356,0.001,1.07,0.153788,64.28356,0.001,1.07,na,na,na,na,na,na
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.048289,0.100000,0.,9.628507,0.048289,na,na,0.048289,0.008883,0.,9.628507,0.048289,na,na,0.000100,0.100000,0.100E-04,0.024767,0.200000,na,na,0.000100,0.100000,0.100E-04,0.024767,0.000100,42311.87,19683.94,0.001,1.07,23.63403,457.2253,0.001,1.07,0.100000,38.80281,0.001,1.07,0.100000,38.80281,0.001,1.07,na,na,na,na,na,na
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.178546,0.027261,0.,10.00000,0.178546,na,na,0.178546,0.001637,0.,10.00000,0.178546,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,41922.60,18521.71,0.001,1.07,23.85349,485.9157,0.001,1.07,0.100000,28.34535,0.001,1.07,0.100000,28.34535,0.001,1.07,na,na,na,na,na,na
