TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.020084,0.,10.00000,1.000000,na,na,0.280818,0.000461,0.003768,0.551791,0.280818,na,na,0.000100,0.000461,0.003768,0.193300,0.000100,1.300408,30624.91,0.0001,1.07,50000.00,5.063865,0.0001,1.07,28.60850,49.51657,0.0001,1.07,28.60850,49.51657,0.0001,1.07,1.067824,0.213567,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.029577,0.003219,0.,10.00000,0.029577,na,na,0.029577,0.000194,0.,10.00000,0.029577,na,na,0.004411,0.001249,0.001263,0.483187,0.004411,na,na,0.000100,0.001249,0.001263,0.181073,0.000100,0.100000,45926.45,0.0001,1.07,50000.00,96.04118,0.0001,1.07,15.05995,78.30300,0.0001,1.07,15.05995,78.30300,0.0001,1.07,0.937041,0.187408,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.015455,0.,10.00000,1.000000,na,na,0.160129,0.000100,0.010000,0.593321,0.160129,na,na,0.000100,0.000100,0.010000,0.098888,0.000100,0.538996,50000.00,0.0001,1.07,50000.00,0.100000,0.0001,1.07,49.79572,63.94831,0.0001,1.07,49.79572,63.94831,0.0001,1.07,2.111630,0.422327,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000100,0.100000,0.,9.836785,1.000000,na,na,0.000100,0.008899,0.,6.369592,1.000000,na,na,0.000100,0.000426,0.002642,0.174489,0.200000,na,na,0.000100,0.000426,0.002642,0.069899,0.000100,11873.59,35343.98,0.0001,1.07,84.22049,77.84378,0.0001,1.07,14.15735,114.3750,0.0001,1.07,14.15735,114.3750,0.0001,1.07,0.020954,0.004191,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.004696,0.027460,0.,10.00000,0.004696,na,na,0.004493,0.001645,0.,10.00000,0.004493,na,na,0.000449,0.004131,0.000265,0.714634,0.000449,na,na,0.000100,0.004131,0.000265,0.544515,0.000100,0.262622,44114.40,0.0001,1.07,50000.00,130.6801,0.0001,1.07,6.655447,90.15502,0.0001,1.07,6.655447,90.15502,0.0001,1.07,2.798944,0.559790,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.011516,0.003230,0.,10.00000,0.011516,na,na,0.011516,0.000194,0.,10.00000,0.011516,na,na,0.001476,0.001403,0.001625,0.243117,0.001476,na,na,0.000100,0.001403,0.001625,0.040519,0.000100,0.203973,46645.32,0.0001,1.07,50000.00,144.9838,0.0001,1.07,16.44357,119.8335,0.0001,1.07,16.44357,119.8335,0.0001,1.07,0.815947,0.163189,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.969996,0.100000,0.,10.00000,0.969996,na,na,0.969996,0.031081,0.,10.00000,0.969996,na,na,0.121605,0.000100,0.010000,0.453983,0.121605,na,na,0.000100,0.000100,0.010000,0.127607,0.000100,2.400611,50000.00,0.0001,1.07,50000.00,58.60144,0.0001,1.07,45.62731,96.68543,0.0001,1.07,45.62731,96.68543,0.0001,1.07,0.829406,0.165880,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.035588,0.051761,0.,8.075795,0.035588,na,na,0.035588,0.003107,0.,8.075795,0.035588,na,na,0.003990,0.000205,0.006030,0.154264,0.003990,na,na,0.000100,0.000205,0.006030,0.108943,0.000100,8.453362,41868.95,0.0001,1.07,50000.00,214.9561,0.0001,1.07,17.86065,94.30077,0.0001,1.07,17.86065,94.30077,0.0001,1.07,0.290184,0.058037,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.003416,0.005009,0.,10.00000,0.003416,na,na,0.003277,0.000300,0.,10.00000,0.003277,na,na,0.000327,0.000898,0.001932,0.285733,0.000327,na,na,0.000100,0.000898,0.001932,0.074875,0.000100,0.100000,36922.56,0.0001,1.07,50000.00,85.98834,0.0001,1.07,12.42625,68.55299,0.0001,1.07,12.42625,68.55299,0.0001,1.07,0.710229,0.142046,0,0,1.07,20
