TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.102140,0.292894,0,0.010215,0.102140,0.500000,0.000293,0.748E-05
A10003,1,0,0,1,0,1,0,1,0,0.029614,0.094924,0,0.002961,0.029614,0.500000,0.000095,0.499E-05
A10005,1,0,0,1,0,1,0,1,0,0.129682,0.307574,0,0.012969,0.129682,0.500000,0.000308,0.625E-05
A11001,1,0,0,1,0,1,0,1,0,0.017300,0.118737,0,0.001730,0.017300,0.500000,0.000119,0.440E-05
A24001,1,0,0,1,0,1,0,1,0,0.016616,0.095199,0,0.001662,0.016616,0.500000,0.000095,0.714E-05
A24003,1,0,0,1,0,1,0,1,0,0.017143,0.076296,0,0.001714,0.017143,0.500000,0.000076,0.416E-05
A24005,1,0,0,1,0,1,0,1,0,0.068067,0.250610,0,0.006807,0.068067,0.500000,0.000251,0.494E-05
A24009,1,0,0,1,0,1,0,1,0,0.018411,0.098444,0,0.001841,0.018411,0.500000,0.000098,0.436E-05
A24011,1,0,0,1,0,1,0,1,0,0.027178,0.084135,0,0.002718,0.027178,0.500000,0.000084,0.589E-05
A24013,1,0,0,1,0,1,0,1,0,0.046097,0.154504,0,0.004610,0.046097,0.500000,0.000155,0.669E-05
A24015,1,0,0,1,0,1,0,1,0,0.048145,0.171050,0,0.004814,0.048145,0.500000,0.000171,0.604E-05
A24017,1,0,0,1,0,1,0,1,0,0.013472,0.066699,0,0.001347,0.013472,0.500000,0.000067,0.569E-05
A24019,1,0,0,1,0,1,0,1,0,0.010146,0.049003,0,0.001015,0.010146,0.500000,0.000049,0.457E-05
A24021,1,0,0,1,0,1,0,1,0,0.059176,0.175395,0,0.005918,0.059176,0.500000,0.000175,0.747E-05
A24023,1,0,0,1,0,1,0,1,0,0.010609,0.048913,0,0.001061,0.010609,0.500000,0.000049,0.377E-05
A24025,1,0,0,1,0,1,0,1,0,0.047037,0.168583,0,0.004703,0.047037,0.500000,0.000169,0.456E-05
A24027,1,0,0,1,0,1,0,1,0,0.038976,0.147150,0,0.003898,0.038976,0.500000,0.000147,0.539E-05
A24029,1,0,0,1,0,1,0,1,0,0.019086,0.077330,0,0.001908,0.019086,0.500000,0.000077,0.421E-05
A24031,1,0,0,1,0,1,0,1,0,0.062662,0.228971,0,0.006266,0.062662,0.500000,0.000229,0.613E-05
A24033,1,0,0,1,0,1,0,1,0,0.031784,0.135863,0,0.003179,0.031784,0.500000,0.000136,0.629E-05
A24035,1,0,0,1,0,1,0,1,0,0.038624,0.144933,0,0.003862,0.038624,0.500000,0.000145,0.480E-05
A24037,1,0,0,1,0,1,0,1,0,0.021586,0.098172,0,0.002159,0.021586,0.500000,0.000098,0.626E-05
A24039,1,0,0,1,0,1,0,1,0,0.036898,0.089090,0,0.003690,0.036898,0.500000,0.000089,0.831E-05
A24041,1,0,0,1,0,1,0,1,0,0.016032,0.065265,0,0.001603,0.016032,0.500000,0.000065,0.459E-05
A24043,1,0,0,1,0,1,0,1,0,0.178564,0.628171,0,0.017856,0.178564,0.500000,0.000628,0.527E-05
A24045,1,0,0,1,0,1,0,1,0,0.087566,0.166267,0,0.008756,0.087566,0.500000,0.000166,0.000013
A24047,1,0,0,1,0,1,0,1,0,0.028152,0.095178,0,0.002815,0.028152,0.500000,0.000095,0.724E-05
A24510,1,0,0,1,0,1,0,1,0,0.010825,0.073725,0,0.001083,0.010825,0.500000,0.000074,0.279E-05
A36003,1,0,0,1,0,1,0,1,0,0.009373,0.052322,0,0.000937,0.009373,0.500000,0.000052,0.559E-05
A36007,1,0,0,1,0,1,0,1,0,0.010786,0.061835,0,0.001078,0.010786,0.500000,0.000062,0.372E-05
A36015,1,0,0,1,0,1,0,1,0,0.012190,0.072637,0,0.001219,0.012190,0.500000,0.000073,0.579E-05
A36017,1,0,0,1,0,1,0,1,0,0.009503,0.054190,0,0.000950,0.009503,0.500000,0.000054,0.320E-05
A36023,1,0,0,1,0,1,0,1,0,0.011302,0.062940,0,0.001130,0.011302,0.500000,0.000063,0.308E-05
A36025,1,0,0,1,0,1,0,1,0,0.008964,0.052937,0,0.000896,0.008964,0.500000,0.000053,0.348E-05
A36043,1,0,0,1,0,1,0,1,0,0.009140,0.050321,0,0.000914,0.009140,0.500000,0.000050,0.329E-05
A36051,1,0,0,1,0,1,0,1,0,0.014758,0.070234,0,0.001476,0.014758,0.500000,0.000070,0.469E-05
A36053,1,0,0,1,0,1,0,1,0,0.015336,0.078261,0,0.001534,0.015336,0.500000,0.000078,0.331E-05
A36065,1,0,0,1,0,1,0,1,0,0.011863,0.063114,0,0.001186,0.011863,0.500000,0.000063,0.323E-05
A36067,1,0,0,1,0,1,0,1,0,0.024743,0.101715,0,0.002474,0.024743,0.500000,0.000102,0.368E-05
A36069,1,0,0,1,0,1,0,1,0,0.020509,0.088346,0,0.002051,0.020509,0.500000,0.000088,0.535E-05
A36077,1,0,0,1,0,1,0,1,0,0.009100,0.052999,0,0.000910,0.009100,0.500000,0.000053,0.328E-05
A36095,1,0,0,1,0,1,0,1,0,0.011317,0.062079,0,0.001132,0.011317,0.500000,0.000062,0.330E-05
A36097,1,0,0,1,0,1,0,1,0,0.009620,0.056270,0,0.000962,0.009620,0.500000,0.000056,0.444E-05
A36101,1,0,0,1,0,1,0,1,0,0.012758,0.075359,0,0.001276,0.012758,0.500000,0.000075,0.508E-05
A36107,1,0,0,1,0,1,0,1,0,0.010806,0.061180,0,0.001081,0.010806,0.500000,0.000061,0.440E-05
A36109,1,0,0,1,0,1,0,1,0,0.012287,0.058238,0,0.001229,0.012287,0.500000,0.000058,0.481E-05
A36123,1,0,0,1,0,1,0,1,0,0.016455,0.077724,0,0.001645,0.016455,0.500000,0.000078,0.499E-05
A37001,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37005,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37009,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37033,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37067,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37077,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37081,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37131,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37135,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37145,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37157,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37169,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A37171,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
