TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A10003,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A10005,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A11001,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24001,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24003,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24005,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24009,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24011,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24013,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24015,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24017,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24019,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24021,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24023,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24025,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24027,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24029,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24031,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24033,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24035,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24037,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24039,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24041,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24043,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24045,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24047,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A24510,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36003,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36007,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36015,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36017,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36023,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36025,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36043,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36051,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36053,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36065,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36067,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36069,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36077,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36095,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36097,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
A36101,1,0,0,1,0,1,0,1,0,0.205479,0.500000,0,0.020548,0.205479,0.500000,0.000500,0.000500
