TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
YM1_6370_6620,1,1,0.419340,9.961476
YM2_6120_6430,1,1,1.296920,1.843664
YM3_6430_6620,1,1,0.419340,9.126010
YM4_6620_0001,1,1,5.000000,2.000000
GY0_3800_3801,1,1,21.00689,8.385926
GY0_3950_3952,1,1,5.000000,2.000000
GY0_4240_3951,1,1,51.54460,0.003111
GY0_4530_4532,1,1,12.54626,0.001000
GY0_4531_4532,1,1,65.89280,0.706425
GY0_4532_3951,1,1,67.65355,0.001182
GY0_3951_3952,1,1,67.65355,0.001182
XU0_4090_4270,1,1,3.293905,0.024933
XU0_4130_4070,1,1,2.568348,23.36309
XU0_4091_4270,1,1,6.070748,0.011806
XU2_4270_4650,1,1,19.20557,2.098503
XU2_4070_4330,1,1,31.08565,0.148772
XU2_4330_4480,1,1,31.08565,0.050542
XU2_4480_4650,1,1,19.20557,2.098503
XU3_4650_0001,1,1,19.20557,2.098503
YP1_6570_6680,1,1,5.549600,0.072099
YP3_6470_6690,1,1,3.688204,0.224383
YP2_6390_6330,1,1,25.94374,2.303202
YP1_6680_6670,1,1,3.688204,0.224383
YP3_6690_6720,1,1,3.688204,0.224383
YP3_6330_6700,1,1,7.452052,0.728223
YP3_6700_6670,1,1,3.688204,0.224383
YP3_6670_6720,1,1,3.688204,0.224383
YP4_6720_6750,1,1,3.688204,0.224383
YP4_6750_0001,1,1,5.000000,2.000000
JA1_7600_7570,1,1,0.250679,0.001000
JA2_7410_7470,1,1,11.39328,0.021158
JA2_7570_7480,1,1,11.39328,0.021158
JA1_7640_7280,1,1,11.39328,0.021158
JA2_7550_7280,1,1,4.562471,0.869316
JA4_7280_7340,1,1,11.39328,0.021158
JA4_7340_7470,1,1,11.39328,0.021158
JA4_7470_7480,1,1,11.39328,0.021158
JA5_7480_0001,1,1,11.39328,0.021158
RU2_5220_5640,1,1,3.527436,0.869633
RU2_5940_6200,1,1,1.653360,25.65041
RU2_5500_5610,1,1,2.672524,0.099957
RU2_5810_5610,1,1,2.672524,0.099957
RU2_6090_6220,1,1,5.971762,3.398010
RU3_5610_5640,1,1,3.527436,0.869633
RU4_5640_6030,1,1,21.98153,0.069794
RU2_6200_6170,1,1,1.847068,0.107058
RU2_6220_6170,1,1,3.623562,0.205190
RU3_6170_6040,1,1,1.057487,0.069684
RU4_6040_6030,1,1,21.98153,0.069794
RU5_6030_0001,1,1,21.98153,0.069794
SU1_1630_1610,1,1,4.328579,0.431696
SU2_1550_1620,1,1,3.352352,0.336226
SU2_1200_1310,1,1,2.067570,0.220761
SU1_1480_1500,1,1,4.328579,0.620046
SU2_1210_1310,1,1,2.067570,0.138930
SU2_0670_0810,1,1,43.17805,50.00000
SU2_1290_1500,1,1,3.352352,0.230845
SU3_1310_1280,1,1,5.393615,0.620046
SU3_1280_1590,1,1,5.393615,0.620046
SU3_1500_1420,1,1,5.393615,0.620046
SU2_1020_0980,1,1,5.248705,6.663851
SU3_0810_0970,1,1,43.17805,50.00000
SU1_0660_0710,1,1,3.721507,0.069326
SU2_0990_0950,1,1,5.248705,4.260845
SU3_0970_1120,1,1,43.17805,50.00000
SU2_0780_0710,1,1,3.721507,0.069326
SU2_0760_0960,1,1,5.248705,18.93227
SU2_0700_0860,1,1,5.248705,18.93227
SU3_0710_0910,1,1,3.721507,0.069326
SU3_0910_1010,1,1,5.248705,35.43044
SU1_0940_0900,1,1,5.248705,0.001000
SU2_0800_0850,1,1,1.952259,0.100291
SU2_0890_0900,1,1,5.248705,0.001000
