TABLE->,SANDFG,SED-GENPARM,SED-GENPARM,SED-GENPARM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SAND-PM,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#1,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SILT-CLAY-PM#2,SSED-INIT,SSED-INIT,SSED-INIT,BED-INIT,BED-INIT,BED-INIT,BED-INIT
VARS->,SNDFG,BEDWID,BEDWRN,POR,D,W,RHO,KSAND,EXPSND,SD,SW,SRHO,STAUCD,STAUCS,SM,CD,CW,CRHO,CTAUCD,CTAUCS,CM,SAND,SILT,CLAY,BEDDEP,SAND,SILT,CLAY
YM1_6370_6620,3,78.57173615,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.139110,0.202750,0.200000,0.0001,0.001000,2.65,0.118840,0.171140,0.400000,0,10,10,50,0.47,0.36,0.17
YM2_6120_6430,3,119.0623651,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.335790,0.443060,0.200000,0.0001,0.001000,2.65,0.282990,0.404380,0.400000,0,10,10,50,0.47,0.36,0.17
YM3_6430_6620,3,127.4048243,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.060213,0.079149,0.200000,0.0001,0.001000,2.65,0.051230,0.072499,0.400000,0,10,10,50,0.47,0.36,0.17
YM4_6620_0001,3,151.1582741,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.075381,0.099901,0.200000,0.0001,0.001000,2.65,0.063332,0.091630,0.400000,0,10,10,50,0.47,0.36,0.17
GY0_3800_3801,3,67.15319454,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.743820,0.921730,0.200000,0.0001,0.001000,2.65,0.666160,0.843230,0.400000,0,10,10,6,0.47,0.36,0.17
GY0_3950_3952,3,58.54093338,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.707630,1.022700,0.200000,0.0001,0.001000,2.65,0.580820,0.890270,0.400000,0,10,10,6,0.47,0.36,0.17
GY0_4240_3951,3,1296.480833,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.248E-05,0.684E-05,0.200000,0.0001,0.001000,2.65,0.137E-05,0.490E-05,0.400000,0,10,10,6,0.47,0.36,0.17
GY0_4530_4532,3,53.591174,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.236760,0.327920,0.200000,0.0001,0.001000,2.65,0.192210,0.291290,0.400000,0,10,10,6,0.47,0.36,0.17
GY0_4531_4532,3,80.09261306,100,0.5,0.005,0.25,2.5,0.001000,4.000000,0.0004,0.010000,2.65,0.313530,0.423030,0.200000,0.0001,0.001000,2.65,0.259800,0.378330,0.400000,0,10,10,6,0.47,0.36,0.17
