TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
YM1_6370_6620,0,na,na,0118,-0053,0.10,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
YM2_6120_6430,0,na,na,0235,-0055,0.20,12.31250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
YM3_6430_6620,0,na,na,0075,-0096,0.30,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
YM4_6620_0001,0,na,na,0025,-0086,0.40,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_3800_3801,0,na,na,2306,-0157,0.10,12.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_3950_3952,0,na,na,1999,-0464,0.10,13,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_4240_3951,0,na,na,2112,-0351,0.85,6.187500,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_4530_4532,0,na,na,2444,-0020,0.10,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_4531_4532,0,na,na,2509,-0146,0.10,12.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_4532_3951,0,na,na,2237,-0226,0.10,12.43750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
GY0_3951_3952,0,na,na,1789,-0674,0.10,12.43750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
XU0_4090_4270,0,na,na,0310,-0142,0.10,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
XU0_4130_4070,0,na,na,0435,-0018,0.10,13.31250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
XU0_4091_4270,0,na,na,0331,-0121,0.10,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
