 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
JL3_7020_7100,p53_1985                 , 0.21074E+08, 0.16667E+08, 0.58616E+05, 0.36144E+06, 0.39860E+07,p53cal                   , 0.19459E+08, 0.15264E+08, 0.64242E+05, 0.38208E+06, 0.37491E+07
SJ2_2150_2130,p53_1985                 , 0.13647E+08, 0.10738E+08, 0.33429E+06, 0.20137E+06, 0.23732E+07,p53cal                   , 0.12802E+08, 0.10133E+08, 0.32548E+06, 0.22291E+06, 0.21211E+07
PS1_4790_4830,p53_1985                 , 0.10063E+08, 0.93896E+07, 0.22953E+06, 0.98617E+05, 0.34486E+06,p53cal                   , 0.96861E+07, 0.90225E+07, 0.23014E+06, 0.11328E+06, 0.32013E+06
PU0_3000_3090,p53_1985                 , 0.30075E+08, 0.26859E+08, 0.19039E+07, 0.67630E+06, 0.63597E+06,p53cal                   , 0.28732E+08, 0.25836E+08, 0.16008E+07, 0.70669E+06, 0.58830E+06
SW1_1570_1640,p53_1985                 , 0.25546E+08, 0.23528E+08, 0.38688E+06, 0.57143E+06, 0.10602E+07,p53cal                   , 0.24437E+08, 0.22612E+08, 0.26579E+06, 0.60960E+06, 0.94943E+06
SU1_1630_1610,p53_1985                 , 0.16327E+08, 0.13558E+08, 0.65050E+04, 0.24478E+06, 0.25176E+07,p53cal                   , 0.15163E+08, 0.12592E+08, 0.53734E+05, 0.25336E+06, 0.22639E+07
PU0_3751_3752,p53_1985                 , 0.64271E+07, 0.60308E+07, 0.55952E+05, 0.14800E+06, 0.19233E+06,p53cal                   , 0.59096E+07, 0.54687E+07, 0.57692E+05, 0.20905E+06, 0.17418E+06
SJ2_2110_2170,p53_1985                 , 0.52645E+07, 0.49193E+07, 0.00000E+00, 0.10043E+06, 0.24473E+06,p53cal                   , 0.50080E+07, 0.46796E+07, 0.00000E+00, 0.10648E+06, 0.22197E+06
JL1_7170_6800,p53_1985                 , 0.67135E+07, 0.50066E+07, 0.92806E+02, 0.10976E+06, 0.15970E+07,p53cal                   , 0.61616E+07, 0.45082E+07, 0.16171E+03, 0.13014E+06, 0.15231E+07
PS2_6730_6660,p53_1985                 , 0.24195E+08, 0.21393E+08, 0.51892E+06, 0.46520E+06, 0.18171E+07,p53cal                   , 0.23999E+08, 0.21098E+08, 0.67613E+06, 0.51580E+06, 0.17089E+07
SW1_1560_1460,p53_1985                 , 0.27341E+07, 0.26909E+07, 0.22929E+02, 0.43133E+05, 0.00000E+00,p53cal                   , 0.26118E+07, 0.25635E+07, 0.22929E+02, 0.48316E+05, 0.00000E+00
SU2_1550_1620,p53_1985                 , 0.23322E+08, 0.13578E+08, 0.27325E+07, 0.56070E+06, 0.64507E+07,p53cal                   , 0.21932E+08, 0.12831E+08, 0.27332E+07, 0.55283E+06, 0.58148E+07
SJ2_1900_1930,p53_1985                 , 0.38911E+08, 0.35186E+08, 0.19077E+07, 0.69168E+06, 0.11261E+07,p53cal                   , 0.37150E+08, 0.33616E+08, 0.17869E+07, 0.72097E+06, 0.10264E+07
SW1_1180_1190,p53_1985                 , 0.21301E+07, 0.19462E+07, 0.00000E+00, 0.19423E+05, 0.16445E+06,p53cal                   , 0.18883E+07, 0.17239E+07, 0.00000E+00, 0.19880E+05, 0.14444E+06
